iter	Passed	Remaining
0	75	75366
1	82	41146
2	89	29876
3	96	23924
4	101	20145
5	107	17779
6	111	15876
7	118	14718
8	125	13821
9	131	13012
10	136	12247
11	144	11917
12	149	11380
13	159	11222
14	167	10986
15	171	10570
16	178	10349
17	186	10190
18	193	10001
19	202	9940
20	210	9814
21	215	9569
22	220	9348
23	228	9286
24	238	9283
25	246	9235
26	252	9113
27	259	9005
28	268	8977
29	276	8953
30	283	8856
31	288	8734
32	295	8648
33	301	8566
34	308	8506
35	316	8488
36	322	8400
37	330	8375
38	336	8296
39	342	8230
40	349	8182
41	358	8180
42	365	8126
43	371	8074
44	379	8044
45	385	7991
46	391	7931
47	396	7867
48	406	7885
49	413	7853
50	418	7794
51	426	7768
52	433	7746
53	440	7710
54	447	7690
55	454	7663
56	461	7636
57	469	7620
58	476	7600
59	482	7564
60	488	7524
61	497	7520
62	502	7476
63	513	7502
64	523	7527
65	528	7486
66	536	7476
67	544	7459
68	554	7483
69	562	7473
70	567	7426
71	574	7400
72	584	7423
73	591	7401
74	597	7374
75	600	7298
76	606	7269
77	612	7234
78	621	7245
79	627	7216
80	634	7204
81	640	7175
82	646	7146
83	654	7137
84	662	7133
85	672	7142
86	677	7112
87	683	7080
88	689	7057
89	697	7052
90	706	7056
91	714	7055
92	722	7050
93	732	7057
94	740	7050
95	745	7023
96	752	7007
97	758	6982
98	765	6965
99	771	6943
100	778	6927
101	787	6936
102	795	6930
103	802	6916
104	810	6905
105	817	6895
106	824	6881
107	833	6880
108	840	6869
109	846	6852
110	855	6854
111	861	6828
112	870	6836
113	876	6810
114	880	6776
115	887	6761
116	895	6757
117	902	6746
118	908	6723
119	913	6696
120	923	6710
121	932	6713
122	939	6700
123	945	6681
124	954	6684
125	967	6711
126	974	6699
127	982	6696
128	993	6704
129	1003	6713
130	1010	6699
131	1016	6682
132	1022	6663
133	1028	6644
134	1036	6642
135	1043	6629
136	1049	6614
137	1064	6648
138	1075	6662
139	1085	6670
140	1092	6655
141	1097	6632
142	1108	6643
143	1116	6635
144	1122	6621
145	1128	6601
146	1134	6583
147	1140	6564
148	1146	6549
149	1153	6534
150	1160	6527
151	1167	6513
152	1173	6498
153	1179	6480
154	1190	6488
155	1196	6474
156	1203	6460
157	1212	6459
158	1226	6488
159	1235	6488
160	1240	6467
161	1247	6452
162	1254	6440
163	1260	6427
164	1267	6413
165	1277	6418
166	1284	6407
167	1289	6386
168	1294	6365
169	1302	6357
170	1308	6341
171	1319	6349
172	1325	6335
173	1332	6324
174	1339	6316
175	1345	6299
176	1353	6295
177	1359	6276
178	1369	6281
179	1376	6271
180	1385	6267
181	1391	6256
182	1401	6255
183	1406	6237
184	1417	6243
185	1422	6223
186	1430	6218
187	1437	6209
188	1442	6191
189	1451	6187
190	1458	6178
191	1468	6178
192	1477	6178
193	1483	6162
194	1488	6143
195	1493	6126
196	1500	6117
197	1510	6119
198	1515	6098
199	1519	6078
200	1526	6069
201	1535	6067
202	1542	6057
203	1548	6041
204	1558	6044
205	1566	6039
206	1572	6024
207	1580	6016
208	1586	6002
209	1594	6000
210	1604	5999
211	1610	5987
212	1620	5986
213	1627	5977
214	1633	5965
215	1640	5953
216	1647	5944
217	1654	5935
218	1661	5923
219	1668	5914
220	1675	5904
221	1684	5903
222	1696	5912
223	1703	5902
224	1708	5884
225	1719	5887
226	1724	5873
227	1735	5877
228	1742	5865
229	1752	5865
230	1756	5847
231	1765	5845
232	1772	5833
233	1779	5826
234	1785	5812
235	1795	5811
236	1801	5800
237	1808	5791
238	1818	5791
239	1828	5788
240	1836	5782
241	1844	5778
242	1853	5773
243	1861	5766
244	1868	5756
245	1878	5758
246	1887	5753
247	1893	5741
248	1899	5730
249	1908	5726
250	1915	5717
251	1924	5713
252	1932	5705
253	1938	5694
254	1947	5689
255	1954	5679
256	1959	5666
257	1964	5650
258	1970	5638
259	1978	5629
260	1987	5626
261	1993	5614
262	1998	5600
263	2006	5593
264	2014	5587
265	2022	5581
266	2029	5571
267	2037	5565
268	2044	5555
269	2049	5540
270	2055	5530
