일자,현재지수,대비,등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원)
2021/09/27,"3,133.64",8.40,0.27,1.75,15.03,1.24,"3,121.70","3,146.35","3,119.26","883,229","12,266,967","2,279,894,818"
2021/09/28,"3,097.92",-35.72,-1.14,1.77,14.86,1.22,"3,133.40","3,134.46","3,095.72","894,913","14,658,731","2,254,315,886"
2021/09/29,"3,060.27",-37.65,-1.22,1.80,14.68,1.21,"3,055.50","3,069.04","3,030.60","821,558","15,137,008","2,226,722,697"
2021/09/30,"3,068.82",8.55,0.28,1.79,14.72,1.21,"3,054.87","3,079.43","3,046.43","885,819","14,942,854","2,231,957,338"
2021/10/01,"3,019.18",-49.64,-1.62,1.82,14.48,1.19,"3,056.21","3,062.60","3,015.01","855,482","12,944,006","2,195,489,102"
2021/10/05,"2,962.17",-57.01,-1.89,1.86,14.21,1.17,"2,998.17","2,998.17","2,940.59","840,557","15,315,537","2,153,672,546"
2021/10/06,"2,908.31",-53.86,-1.82,1.89,13.95,1.15,"2,986.06","2,993.47","2,908.30","901,722","15,668,592","2,114,932,681"
2021/10/07,"2,959.46",51.15,1.76,1.86,14.20,1.17,"2,936.87","2,961.53","2,927.60","595,382","11,906,737","2,151,410,767"
2021/10/08,"2,956.30",-3.16,-0.11,1.86,14.18,1.17,"2,977.82","2,978.08","2,949.01","668,947","12,634,091","2,150,115,811"
2021/10/12,"2,916.38",-39.92,-1.35,1.88,13.99,1.15,"2,950.22","2,950.94","2,901.51","660,181","12,767,650","2,120,560,982"
2021/10/13,"2,944.41",28.03,0.96,1.87,14.12,1.16,"2,913.34","2,953.33","2,909.47","752,132","12,294,514","2,141,374,217"
2021/10/14,"2,988.64",44.23,1.50,1.84,14.34,1.18,"2,968.87","2,988.97","2,962.33","617,170","12,064,564","2,172,764,571"
2021/10/15,"3,015.06",26.42,0.88,1.82,14.47,1.19,"3,012.62","3,021.90","2,999.33","857,798","12,540,973","2,192,125,725"
2021/10/18,"3,006.68",-8.38,-0.28,1.83,14.43,1.19,"3,017.48","3,021.17","2,990.44","926,369","10,649,949","2,186,010,002"
2021/10/19,"3,029.04",22.36,0.74,1.81,14.54,1.20,"3,022.23","3,034.53","3,014.19","845,704","10,112,026","2,202,301,797"
