date,식료품업 코스피,유통업 코스피,운수창고업 코스피
2021/09/27,"4,198.29",418.95,"2,520.72"
2021/09/28,"4,136.14",414.82,"2,484.12"
2021/09/29,"4,079.47",408.50,"2,438.60"
2021/09/30,"4,093.83",409.67,"2,378.64"
2021/10/01,"4,029.14",401.19,"2,322.32"
2021/10/05,"4,038.51",403.96,"2,277.49"
2021/10/06,"3,986.79",396.95,"2,188.14"
2021/10/07,"4,064.66",401.98,"2,264.74"
2021/10/08,"4,060.14",400.11,"2,194.85"
2021/10/12,"4,012.37",393.29,"2,176.60"
2021/10/13,"4,058.05",397.82,"2,194.45"
2021/10/14,"4,109.67",401.08,"2,225.07"
2021/10/15,"4,129.23",406.36,"2,246.63"
2021/10/18,"4,146.17",403.48,"2,203.73"
2021/10/19,"4,153.96",402.10,"2,211.16"
2021/10/20,"4,167.55",400.29,"2,187.10"
2021/10/21,"4,152.67",400.50,"2,187.91"
2021/10/22,"4,149.86",401.51,"2,163.15"
2021/10/25,"4,166.97",406.30,"2,208.23"
2021/10/26,"4,165.02",407.00,"2,212.67"
2021/10/27,"4,121.14",403.01,"2,141.12"
2021/10/28,"4,072.06",395.23,"2,125.47"
2021/10/29,"4,013.68",390.62,"2,098.85"
2021/11/01,"4,043.45",389.53,"2,105.85"
2021/11/02,"4,059.27",393.10,"2,132.93"
2021/11/03,"4,008.68",390.79,"2,086.09"
2021/11/04,"3,987.27",389.27,"2,088.52"
2021/11/05,"3,948.56",385.00,"2,073.67"
2021/11/08,"3,947.80",389.24,"2,106.34"
2021/11/09,"3,928.76",388.15,"2,086.24"
2021/11/10,"3,858.21",380.20,"2,062.06"
2021/11/11,"3,839.20",375.12,"2,058.91"
2021/11/12,"3,867.49",381.49,"2,070.67"
2021/11/15,"3,907.10",385.31,"2,085.74"
2021/11/16,"3,888.85",383.47,"2,063.27"
2021/11/17,"3,840.73",377.28,"2,008.66"
2021/11/18,"3,797.14",373.27,"1,985.80"
2021/11/19,"3,811.70",376.75,"1,994.43"
2021/11/22,"3,812.37",380.07,"1,996.11"
2021/11/23,"3,833.36",383.21,"1,966.90"
2021/11/24,"3,850.06",380.91,"1,954.79"
2021/11/25,"3,819.21",375.87,"1,932.98"
2021/11/26,"3,759.12",367.31,"1,880.56"
2021/11/29,"3,707.44",357.12,"1,865.27"
2021/11/30,"3,551.91",348.09,"1,811.52"
2021/12/01,"3,596.23",354.84,"1,875.83"
2021/12/02,"3,675.74",365.12,"1,943.90"
2021/12/03,"3,713.78",368.43,"1,977.41"
2021/12/06,"3,717.59",370.03,"2,001.05"
2021/12/07,"3,780.37",373.95,"2,032.91"
2021/12/08,"3,741.42",374.40,"2,025.10"
2021/12/09,"3,771.11",379.31,"2,051.67"
2021/12/10,"3,767.91",382.74,"2,036.92"
2021/12/13,"3,801.04",378.50,"2,054.39"
2021/12/14,"3,868.55",377.22,"2,042.60"
2021/12/15,"3,865.50",376.82,"2,004.75"
2021/12/16,"3,857.85",377.47,"2,040.34"
2021/12/17,"3,901.57",380.24,"2,080.05"
2021/12/20,"3,872.54",372.07,"2,024.94"
2021/12/21,"3,875.14",373.70,"2,039.02"
2021/12/22,"3,842.48",375.13,"2,039.90"
2021/12/23,"3,845.79",376.51,"2,036.77"
2021/12/24,"3,847.13",377.42,"2,028.78"
2021/12/27,"3,858.63",377.28,"1,996.08"
2021/12/28,"3,875.32",380.23,"1,983.19"
2021/12/29,"3,854.12",376.92,"2,054.72"
2021/12/30,"3,826.86",379.42,"2,018.65"
2022/01/03,"3,808.89",376.50,"2,048.98"
2022/01/04,"3,804.33",377.58,"2,038.72"
2022/01/05,"3,786.97",375.51,"2,029.12"
2022/01/06,"3,771.93",370.65,"2,009.48"
2022/01/07,"3,843.69",373.49,"2,018.53"
2022/01/10,"3,863.07",368.46,"2,001.22"
2022/01/11,"3,824.62",365.98,"1,973.47"
2022/01/12,"3,857.39",373.81,"2,001.22"
2022/01/13,"3,852.57",374.07,"1,995.96"
2022/01/14,"3,822.28",368.91,"1,963.03"
2022/01/17,"3,785.90",364.82,"1,930.42"
2022/01/18,"3,741.72",359.46,"1,900.11"
2022/01/19,"3,717.31",360.89,"1,879.83"
2022/01/20,"3,736.20",362.27,"1,896.05"
2022/01/21,"3,708.51",359.87,"1,893.28"
2022/01/24,"3,751.18",351.90,"1,838.20"
2022/01/25,"3,663.01",343.29,"1,764.04"
2022/01/26,"3,649.54",342.62,"1,792.72"
2022/01/27,"3,498.56",327.64,"1,752.53"
2022/01/28,"3,630.62",341.64,"1,798.87"
2022/02/03,"3,706.36",347.48,"1,841.94"
2022/02/04,"3,845.40",355.27,"1,907.26"
2022/02/07,"3,908.38",353.63,"1,914.76"
2022/02/08,"3,914.59",355.41,"1,952.78"
2022/02/09,"3,939.04",358.24,"1,980.06"
2022/02/10,"3,953.48",360.17,"2,001.90"
2022/02/11,"3,904.37",354.65,"1,989.10"
2022/02/14,"3,862.15",351.43,"1,979.76"
2022/02/15,"3,812.52",348.26,"1,965.77"
2022/02/16,"3,864.23",354.33,"2,001.27"
2022/02/17,"3,850.83",355.89,"2,059.26"
2022/02/18,"3,885.98",357.65,"2,103.23"
2022/02/21,"3,912.89",357.31,"2,120.72"
2022/02/22,"3,877.22",351.60,"2,121.18"
2022/02/23,"3,867.29",354.78,"2,129.95"
2022/02/24,"3,806.13",349.75,"2,096.74"
2022/02/25,"3,776.37",353.15,"2,084.71"
2022/02/28,"3,781.33",357.80,"2,082.84"
2022/03/02,"3,792.64",359.59,"2,082.27"
2022/03/03,"3,796.20",365.82,"2,142.42"
2022/03/04,"3,794.09",362.63,"2,234.57"
2022/03/07,"3,676.38",357.62,"2,158.07"
2022/03/08,"3,601.37",353.10,"2,140.45"
2022/03/10,"3,674.20",364.39,"2,154.83"
2022/03/11,"3,668.87",370.82,"2,186.60"
2022/03/14,"3,627.06",365.31,"2,217.51"
2022/03/15,"3,616.38",363.04,"2,153.54"
2022/03/16,"3,647.79",369.21,"2,203.19"
2022/03/17,"3,699.08",369.17,"2,209.70"
2022/03/18,"3,710.01",370.48,"2,262.92"
2022/03/21,"3,726.76",369.88,"2,228.28"
2022/03/22,"3,735.76",371.49,"2,203.73"
2022/03/23,"3,754.45",371.95,"2,196.80"
2022/03/24,"3,831.97",370.11,"2,220.45"
2022/03/25,"3,802.67",368.57,"2,179.59"
2022/03/28,"3,819.52",368.17,"2,159.51"
2022/03/29,"3,816.87",369.96,"2,170.24"
2022/03/30,"3,833.97",370.21,"2,181.94"
2022/03/31,"3,848.52",373.53,"2,184.30"
2022/04/01,"3,880.32",372.99,"2,190.46"
2022/04/04,"3,930.72",376.41,"2,196.85"
2022/04/05,"3,943.71",376.89,"2,196.24"
2022/04/06,"3,942.01",373.85,"2,186.43"
2022/04/07,"3,933.53",368.09,"2,128.23"
2022/04/08,"3,921.17",368.20,"2,126.45"
2022/04/11,"3,955.99",369.34,"2,123.89"
2022/04/12,"3,919.52",366.52,"2,128.21"
2022/04/13,"3,930.64",370.36,"2,149.42"
2022/04/14,"3,955.93",373.55,"2,159.36"
2022/04/15,"3,936.68",370.50,"2,152.01"
2022/04/18,"4,004.54",374.90,"2,134.85"
2022/04/19,"4,050.48",376.66,"2,161.98"
2022/04/20,"4,160.14",376.22,"2,155.78"
2022/04/21,"4,123.95",378.38,"2,173.45"
2022/04/22,"4,169.02",375.33,"2,147.53"
2022/04/25,"4,190.18",367.51,"2,080.55"
2022/04/26,"4,212.58",369.73,"2,117.07"
2022/04/27,"4,133.20",365.39,"2,097.77"
2022/04/28,"4,119.24",375.02,"2,145.28"
2022/04/29,"4,074.08",375.98,"2,164.55"
2022/05/02,"4,144.57",378.12,"2,177.81"
2022/05/03,"4,062.80",375.64,"2,162.52"
2022/05/04,"4,014.48",374.11,"2,162.68"
2022/05/06,"3,972.51",368.87,"2,186.21"
2022/05/09,"3,907.51",363.46,"2,153.95"
2022/05/10,"3,936.03",361.59,"2,123.25"
2022/05/11,"3,939.14",362.52,"2,178.19"
2022/05/12,"3,896.42",360.79,"2,185.81"
2022/05/13,"3,945.06",367.96,"2,219.01"
2022/05/16,"3,999.49",370.76,"2,195.11"
2022/05/17,"3,936.83",372.96,"2,185.30"
2022/05/18,"3,956.09",370.05,"2,200.17"
2022/05/19,"3,892.02",364.58,"2,155.52"
2022/05/20,"3,936.32",366.43,"2,185.20"
2022/05/23,"3,932.90",367.82,"2,208.81"
2022/05/24,"3,868.59",362.62,"2,222.42"
2022/05/25,"3,896.65",366.02,"2,221.09"
2022/05/26,"3,876.09",363.96,"2,231.93"
2022/05/27,"3,926.07",368.30,"2,292.93"
2022/05/30,"3,949.62",375.23,"2,237.25"
2022/05/31,"3,943.06",375.45,"2,253.70"
2022/06/02,"3,944.28",371.74,"2,200.87"
2022/06/03,"3,924.54",376.22,"2,234.62"
2022/06/07,"3,887.31",370.91,"2,204.93"
2022/06/08,"3,869.22",375.03,"2,178.04"
2022/06/09,"3,820.97",373.61,"2,149.74"
2022/06/10,"3,799.96",370.44,"2,122.67"
2022/06/13,"3,715.92",357.77,"2,040.34"
2022/06/14,"3,686.37",356.18,"2,052.25"
2022/06/15,"3,715.56",350.50,"2,012.86"
2022/06/16,"3,720.43",350.01,"2,003.74"
2022/06/17,"3,725.78",346.19,"1,983.42"
2022/06/20,"3,704.44",338.27,"1,909.55"
2022/06/21,"3,717.54",344.05,"1,955.92"
2022/06/22,"3,660.68",334.71,"1,891.13"
2022/06/23,"3,624.69",328.95,"1,823.03"
2022/06/24,"3,684.34",337.50,"1,847.31"
2022/06/27,"3,749.52",343.81,"1,902.07"
2022/06/28,"3,776.32",348.80,"1,924.63"
2022/06/29,"3,725.43",352.72,"1,903.92"
2022/06/30,"3,684.11",351.67,"1,871.05"
2022/07/01,"3,736.00",349.82,"1,851.40"
2022/07/04,"3,767.58",346.91,"1,844.09"
2022/07/05,"3,760.79",349.46,"1,885.20"
2022/07/06,"3,745.17",334.34,"1,831.31"
2022/07/07,"3,763.92",338.74,"1,861.44"
2022/07/08,"3,752.24",339.04,"1,872.62"
2022/07/11,"3,728.35",334.12,"1,819.08"
2022/07/12,"3,738.49",331.36,"1,779.85"
2022/07/13,"3,791.61",331.60,"1,812.97"
2022/07/14,"3,767.17",330.46,"1,814.62"
2022/07/15,"3,733.89",328.46,"1,772.90"
2022/07/18,"3,710.54",333.94,"1,811.46"
2022/07/19,"3,778.66",336.58,"1,824.03"
2022/07/20,"3,733.04",339.08,"1,843.06"
2022/07/21,"3,736.48",343.40,"1,849.07"
2022/07/22,"3,713.74",341.22,"1,834.26"
2022/07/25,"3,728.94",342.68,"1,845.00"
2022/07/26,"3,756.28",344.27,"1,846.45"
2022/07/27,"3,742.26",343.26,"1,850.61"
2022/07/28,"3,727.51",345.53,"1,832.56"
2022/07/29,"3,736.33",348.87,"1,863.70"
2022/08/01,"3,691.87",346.83,"1,864.11"
2022/08/02,"3,713.82",344.88,"1,853.05"
2022/08/03,"3,760.05",345.72,"1,863.82"
2022/08/04,"3,718.46",346.40,"1,898.46"
2022/08/05,"3,748.38",347.46,"1,896.21"
2022/08/08,"3,809.02",351.79,"1,870.90"
2022/08/09,"3,933.52",354.43,"1,885.41"
2022/08/10,"3,918.82",353.49,"1,878.94"
2022/08/11,"3,919.95",356.71,"1,912.40"
2022/08/12,"3,899.17",358.53,"1,909.56"
2022/08/16,"3,903.73",357.43,"1,902.49"
2022/08/17,"3,897.67",356.00,"1,903.72"
2022/08/18,"3,934.76",355.07,"1,878.09"
2022/08/19,"3,933.79",354.45,"1,856.85"
2022/08/22,"3,893.97",353.24,"1,825.57"
2022/08/23,"3,799.71",348.31,"1,792.27"
2022/08/24,"3,853.01",352.93,"1,808.38"
2022/08/25,"3,854.72",357.31,"1,852.68"
2022/08/26,"3,846.63",356.12,"1,855.61"
2022/08/29,"3,785.60",347.56,"1,787.49"
2022/08/30,"3,792.14",350.24,"1,778.92"
2022/08/31,"3,794.48",351.92,"1,805.18"
2022/09/01,"3,741.25",343.92,"1,755.23"
2022/09/02,"3,741.72",343.11,"1,746.03"
2022/09/05,"3,710.65",342.44,"1,707.55"
2022/09/06,"3,720.23",343.96,"1,694.49"
2022/09/07,"3,660.73",338.40,"1,649.07"
2022/09/08,"3,679.62",342.00,"1,657.58"
2022/09/13,"3,735.91",347.31,"1,725.10"
2022/09/14,"3,699.99",342.01,"1,708.07"
2022/09/15,"3,686.04",341.54,"1,718.64"
2022/09/16,"3,700.88",337.63,"1,711.53"
2022/09/19,"3,689.57",334.96,"1,659.69"
2022/09/20,"3,777.02",339.98,"1,701.21"
2022/09/21,"3,785.81",338.58,"1,718.88"
2022/09/22,"3,849.85",337.21,"1,690.18"
2022/09/23,"3,794.28",329.23,"1,622.41"
2022/09/26,"3,699.05",318.44,"1,550.16"
2022/09/27,"3,804.89",323.22,"1,601.56"
2022/09/28,"3,731.87",316.14,"1,559.58"
2022/09/29,"3,723.30",317.45,"1,527.93"
2022/09/30,"3,688.26",312.22,"1,506.93"
