구분,보통휘발유,자동차용경유
2021. 9. 27,1643.93,1438.49
2021. 9. 28,1644.44,1439.03
2021. 9. 29,1645.12,1439.76
2021. 9. 30,1645.99,1440.85
2021. 10. 1,1648.21,1443.14
2021. 10. 2,1649.52,1444.57
2021. 10. 3,1650.24,1445.08
2021. 10. 4,1651.18,1446.28
2021. 10. 5,1652.92,1448.18
2021. 10. 6,1656.81,1452.28
2021. 10. 7,1661.16,1456.8
2021. 10. 8,1667.13,1462.87
2021. 10. 9,1673.01,1468.94
2021. 10. 10,1676.42,1472.26
2021. 10. 11,1680.13,1476.01
2021. 10. 12,1685.07,1481.2
2021. 10. 13,1693.57,1490.26
2021. 10. 14,1700.95,1498.15
2021. 10. 15,1709.17,1506.65
2021. 10. 16,1716.93,1514.39
2021. 10. 17,1720.83,1518.34
2021. 10. 18,1725.89,1523.77
2021. 10. 19,1732.45,1530.43
2021. 10. 20,1739.15,1537.28
2021. 10. 21,1743.99,1542.25
2021. 10. 22,1748.7,1547.04
2021. 10. 23,1753.22,1551.4
2021. 10. 24,1755.49,1553.43
2021. 10. 25,1758.42,1556.69
2021. 10. 26,1762.66,1560.93
2021. 10. 27,1766.7,1564.79
2021. 10. 28,1770.89,1568.88
2021. 10. 29,1774.44,1572.22
2021. 10. 30,1778.82,1576.42
2021. 10. 31,1780.9,1578.31
2021. 11. 1,1784.53,1582.01
2021. 11. 2,1788.16,1585.36
2021. 11. 3,1791.29,1588.34
2021. 11. 4,1794.95,1591.63
2021. 11. 5,1797.95,1594.42
2021. 11. 6,1801.25,1597.58
2021. 11. 7,1802.96,1598.84
2021. 11. 8,1805.18,1600.87
2021. 11. 9,1807.47,1602.98
2021. 11. 10,1809.12,1604.52
2021. 11. 11,1810.16,1605.64
2021. 11. 12,1767.74,1575.03
2021. 11. 13,1751.17,1562.4
2021. 11. 14,1742.5,1555.81
2021. 11. 15,1724.87,1542.16
2021. 11. 16,1711.92,1531.96
2021. 11. 17,1704.62,1526.24
2021. 11. 18,1699.1,1521.82
2021. 11. 19,1695.39,1518.74
2021. 11. 20,1692.72,1516.5
2021. 11. 21,1691.38,1515.15
2021. 11. 22,1688.88,1513.22
2021. 11. 23,1687.02,1511.62
2021. 11. 24,1685.6,1510.35
2021. 11. 25,1684.46,1509.16
2021. 11. 26,1683.16,1508.23
2021. 11. 27,1681.57,1506.77
2021. 11. 28,1680.79,1505.83
2021. 11. 29,1679.52,1504.95
2021. 11. 30,1678.25,1503.76
2021. 12. 1,1675.88,1501.52
2021. 12. 2,1673.98,1499.73
2021. 12. 3,1672.11,1497.83
2021. 12. 4,1670.22,1495.88
2021. 12. 5,1669.44,1494.93
2021. 12. 6,1667.87,1493.43
2021. 12. 7,1664.87,1489.98
2021. 12. 8,1662.05,1486.87
2021. 12. 9,1659.45,1483.64
2021. 12. 10,1656.65,1480.84
2021. 12. 11,1654.4,1478.23
2021. 12. 12,1653.53,1477.06
2021. 12. 13,1651.59,1475.23
2021. 12. 14,1649.23,1472.46
2021. 12. 15,1646.71,1469.52
2021. 12. 16,1643.44,1466.11
2021. 12. 17,1641.08,1463.39
2021. 12. 18,1639.44,1461.35
2021. 12. 19,1638.75,1460.26
2021. 12. 20,1636.81,1458.47
2021. 12. 21,1634.46,1455.64
2021. 12. 22,1632.31,1453.08
2021. 12. 23,1630.71,1451.15
2021. 12. 24,1629.16,1449.37
2021. 12. 25,1628.1,1447.97
2021. 12. 26,1627.82,1447.53
2021. 12. 27,1627.07,1446.92
2021. 12. 28,1626.06,1445.68
2021. 12. 29,1625.31,1444.7
2021. 12. 30,1624.93,1444
2021. 12. 31,1624.47,1443.58
2022. 1. 1,1623.79,1442.42
2022. 1. 2,1623.4,1442.09
2022. 1. 3,1623.03,1441.82
2022. 1. 4,1622.32,1440.91
2022. 1. 5,1621.79,1440.23
2022. 1. 6,1621.22,1439.42
2022. 1. 7,1620.98,1439.13
2022. 1. 8,1621.4,1439.46
2022. 1. 9,1621.3,1439.18
2022. 1. 10,1621.45,1439.54
2022. 1. 11,1621.56,1439.59
2022. 1. 12,1622.04,1439.93
2022. 1. 13,1623.2,1441.22
2022. 1. 14,1624.78,1442.77
2022. 1. 15,1626.33,1444.25
2022. 1. 16,1627.47,1445.13
2022. 1. 17,1629.3,1447.28
2022. 1. 18,1631.44,1449.5
2022. 1. 19,1634.23,1452.22
2022. 1. 20,1637.65,1455.85
2022. 1. 21,1641.46,1459.98
2022. 1. 22,1644.44,1462.91
2022. 1. 23,1645.89,1464.12
2022. 1. 24,1648.45,1466.92
2022. 1. 25,1650.81,1469.52
2022. 1. 26,1653.39,1472.22
2022. 1. 27,1656.26,1475.31
2022. 1. 28,1659.44,1478.31
2022. 1. 29,1662.55,1481.21
2022. 1. 30,1664.47,1483
2022. 1. 31,1666.03,1484.35
2022. 2. 1,1667.71,1485.89
2022. 2. 2,1668.81,1487.05
2022. 2. 3,1671.13,1489.71
2022. 2. 4,1674.67,1493.54
2022. 2. 5,1680.26,1499
2022. 2. 6,1682.78,1501.32
2022. 2. 7,1686.54,1505.56
2022. 2. 8,1691.81,1511.18
2022. 2. 9,1697.01,1516.69
2022. 2. 10,1700.89,1521.1
2022. 2. 11,1704.32,1524.75
2022. 2. 12,1708.23,1528.91
2022. 2. 13,1710.46,1531.22
2022. 2. 14,1714.12,1535.33
2022. 2. 15,1718.64,1540.24
2022. 2. 16,1722.69,1545.08
2022. 2. 17,1726.09,1549.04
2022. 2. 18,1729.39,1552.79
2022. 2. 19,1732.31,1555.98
2022. 2. 20,1733.84,1557.47
2022. 2. 21,1736.48,1560.65
2022. 2. 22,1739.36,1563.99
2022. 2. 23,1743.05,1568.31
2022. 2. 24,1746.2,1572.03
2022. 2. 25,1750.84,1577.05
2022. 2. 26,1754.75,1581.41
2022. 2. 27,1756.31,1582.87
2022. 2. 28,1758.87,1585.96
2022. 3. 1,1763.32,1590.62
2022. 3. 2,1767.09,1594.81
2022. 3. 3,1774.18,1602.22
2022. 3. 4,1786.04,1615.37
2022. 3. 5,1803.2,1634.99
2022. 3. 6,1812.9,1646.01
2022. 3. 7,1828.34,1665.13
2022. 3. 8,1860.61,1706.45
2022. 3. 9,1892.4,1750.15
2022. 3. 10,1913.73,1781.84
2022. 3. 11,1938.97,1818.45
2022. 3. 12,1965.03,1857.08
2022. 3. 13,1975.36,1872.63
2022. 3. 14,1988.04,1892.42
2022. 3. 15,2000.95,1912.14
2022. 3. 16,2004.23,1917.89
2022. 3. 17,2003.42,1917.35
2022. 3. 18,2002.56,1917.35
2022. 3. 19,2002.13,1917.14
2022. 3. 20,2002.18,1917.39
2022. 3. 21,2002.12,1917.82
2022. 3. 22,2001.84,1917.89
2022. 3. 23,2001.72,1918.25
2022. 3. 24,2001.81,1918.92
2022. 3. 25,2001.92,1919.65
2022. 3. 26,2000.65,1919.15
2022. 3. 27,2000.85,1919.61
2022. 3. 28,2001.15,1920.44
2022. 3. 29,2000.45,1920.32
