date,보통휘발유,자동차용경유
2021-09-27,1643.93,1438.49
2021-09-28,1644.44,1439.03
2021-09-29,1645.12,1439.76
2021-09-30,1645.99,1440.85
2021-10-01,1648.21,1443.14
2021-10-05,1652.92,1448.18
2021-10-06,1656.81,1452.28
2021-10-07,1661.16,1456.8
2021-10-08,1667.13,1462.87
2021-10-12,1685.07,1481.2
2021-10-13,1693.57,1490.26
2021-10-14,1700.95,1498.15
2021-10-15,1709.17,1506.65
2021-10-18,1725.89,1523.77
2021-10-19,1732.45,1530.43
2021-10-20,1739.15,1537.28
2021-10-21,1743.99,1542.25
2021-10-22,1748.7,1547.04
2021-10-25,1758.42,1556.69
2021-10-26,1762.66,1560.93
2021-10-27,1766.7,1564.79
2021-10-28,1770.89,1568.88
2021-10-29,1774.44,1572.22
2021-11-01,1784.53,1582.01
2021-11-02,1788.16,1585.36
2021-11-03,1791.29,1588.34
2021-11-04,1794.95,1591.63
2021-11-05,1797.95,1594.42
2021-11-08,1805.18,1600.87
2021-11-09,1807.47,1602.98
2021-11-10,1809.12,1604.52
2021-11-11,1810.16,1605.64
2021-11-12,1767.74,1575.03
2021-11-15,1724.87,1542.16
2021-11-16,1711.92,1531.96
2021-11-17,1704.62,1526.24
2021-11-18,1699.1,1521.82
2021-11-19,1695.39,1518.74
2021-11-22,1688.88,1513.22
2021-11-23,1687.02,1511.62
2021-11-24,1685.6,1510.35
2021-11-25,1684.46,1509.16
2021-11-26,1683.16,1508.23
2021-11-29,1679.52,1504.95
2021-11-30,1678.25,1503.76
2021-12-01,1675.88,1501.52
2021-12-02,1673.98,1499.73
2021-12-03,1672.11,1497.83
2021-12-06,1667.87,1493.43
2021-12-07,1664.87,1489.98
2021-12-08,1662.05,1486.87
2021-12-09,1659.45,1483.64
2021-12-10,1656.65,1480.84
2021-12-13,1651.59,1475.23
2021-12-14,1649.23,1472.46
2021-12-15,1646.71,1469.52
2021-12-16,1643.44,1466.11
2021-12-17,1641.08,1463.39
2021-12-20,1636.81,1458.47
2021-12-21,1634.46,1455.64
2021-12-22,1632.31,1453.08
2021-12-23,1630.71,1451.15
2021-12-24,1629.16,1449.37
2021-12-27,1627.07,1446.92
2021-12-28,1626.06,1445.68
2021-12-29,1625.31,1444.7
2021-12-30,1624.93,1444
2022-01-03,1623.03,1441.82
2022-01-04,1622.32,1440.91
2022-01-05,1621.79,1440.23
2022-01-06,1621.22,1439.42
2022-01-07,1620.98,1439.13
2022-01-10,1621.45,1439.54
2022-01-11,1621.56,1439.59
2022-01-12,1622.04,1439.93
2022-01-13,1623.2,1441.22
2022-01-14,1624.78,1442.77
2022-01-17,1629.3,1447.28
2022-01-18,1631.44,1449.5
2022-01-19,1634.23,1452.22
2022-01-20,1637.65,1455.85
2022-01-21,1641.46,1459.98
2022-01-24,1648.45,1466.92
2022-01-25,1650.81,1469.52
2022-01-26,1653.39,1472.22
2022-01-27,1656.26,1475.31
2022-01-28,1659.44,1478.31
2022-02-03,1671.13,1489.71
2022-02-04,1674.67,1493.54
2022-02-07,1686.54,1505.56
2022-02-08,1691.81,1511.18
2022-02-09,1697.01,1516.69
2022-02-10,1700.89,1521.1
2022-02-11,1704.32,1524.75
2022-02-14,1714.12,1535.33
2022-02-15,1718.64,1540.24
2022-02-16,1722.69,1545.08
2022-02-17,1726.09,1549.04
2022-02-18,1729.39,1552.79
2022-02-21,1736.48,1560.65
2022-02-22,1739.36,1563.99
2022-02-23,1743.05,1568.31
2022-02-24,1746.2,1572.03
2022-02-25,1750.84,1577.05
2022-02-28,1758.87,1585.96
2022-03-02,1767.09,1594.81
2022-03-03,1774.18,1602.22
2022-03-04,1786.04,1615.37
2022-03-07,1828.34,1665.13
2022-03-08,1860.61,1706.45
2022-03-10,1913.73,1781.84
2022-03-11,1938.97,1818.45
2022-03-14,1988.04,1892.42
2022-03-15,2000.95,1912.14
2022-03-16,2004.23,1917.89
2022-03-17,2003.42,1917.35
2022-03-18,2002.56,1917.35
2022-03-21,2002.12,1917.82
2022-03-22,2001.84,1917.89
2022-03-23,2001.72,1918.25
2022-03-24,2001.81,1918.92
2022-03-25,2001.92,1919.65
2022-03-28,2001.15,1920.44
2022-03-29,2000.45,1920.32
2022-03-30,1999.44,1919.72
2022-03-31,1998.39,1918.84
2022-04-01,1996.11,1916.89
2022-04-04,1992.3,1913.19
2022-04-05,1990.23,1911.37
2022-04-06,1988.81,1910.43
2022-04-07,1987.04,1909.18
