date,label,diff,동행종합지수(2015=100),광공업생산지수(전월비)(%),소매판매액지수(전월비)(%),후행종합지수(2015=100),소비재수입액(전월비)(%),소비자물가지수,농축수산물_물가,기타농산물_물가,내구재_물가,kospi전일대비월평균,kospi거래대금_m,kospi거래량_m,전일대비등락률_월평균,상장시가총액_m,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
2018-01,1,0.07830009006,109.4,-0.2,1,108.6,2.1,98.106,92.106,100.976,99.686,4.498636364,7142576.591,375160.5455,0.1813636364,1638788275,2.19,2.44,2.63,2.72,1.66,1.49,1.5
2018-02,1,0.07830009006,109.9,0.3,0.1,109,2.4,98.855,96.765,103.595,99.489,-7.727777778,6886748.222,404512,-0.3022222222,1607400127,2.28,2.54,2.77,2.82,1.65,1.49,1.5
2018-03,1,0.05194681742,110.2,0.4,1.3,109.3,0.7,98.751,93.794,101.234,100.208,0.8804761905,6883677.857,384709.7619,0.04,1628916156,2.27,2.5,2.71,2.83,1.65,1.49,1.5
2018-04,1,0.001830150565,110.3,0.7,0.5,109.6,0,98.931,94.18,98.93,100.405,3.310952381,7812027,497135.7619,0.1361904762,1638803401,2.19,2.44,2.66,2.79,1.65,1.47,1.5
2018-05,0,-0.07614629951,110.5,0.6,-0.2,109.9,-0.7,98.979,92.509,100.458,100.887,-3.639047619,9039654.81,639217.4762,-0.1438095238,1643732872,2.25,2.53,2.76,2.86,1.65,1.5,1.5
2018-06,0,-0.1011166263,110.7,1.2,-0.5,110.2,1.8,98.779,90.217,98.817,100.316,-5.098947368,7546209.263,497413.4737,-0.2105263158,1599775900,2.18,2.44,2.66,2.81,1.65,1.49,1.5
2018-07,1,0.03181847529,110.8,0.4,0,110.5,0.9,98.59,90.771,97.184,99.567,-1.403181818,5510769.182,341343.5909,-0.05818181818,1527309146,2.1,2.34,2.55,2.75,1.65,1.49,1.5
2018-08,0,-0.03016668745,110.9,0.3,0.3,110.7,-0.6,99.462,99.166,100.345,99.459,1.255454545,5226406.636,282026.0909,0.05772727273,1527952909,2.02,2.24,2.46,2.66,1.65,1.5,1.5
2018-09,1,0.06192815325,110.8,-0.7,-0.5,110.9,-1.1,100.221,104.874,104.816,99.548,1.187647059,6069409.294,319601.5294,0.05411764706,1542969296,1.95,2.13,2.32,2.4,1.65,1.54,1.5
2018-10,0,-0.1000652178,110.8,-0.2,-0.2,111.3,3,100.041,100.207,104.226,99.626,-14.92285714,6101581.952,334385.4762,-0.6723809524,1441967974,2.01,2.16,2.34,2.45,1.68,1.52,1.5
2018-11,0,-0.09477820168,110.8,-1,0.2,111.7,0.4,99.33,94.641,103.66,99.252,3.053181818,5292702,317225.3636,0.1527272727,1396110029,1.94,2.05,2.21,2.4,1.71,1.51,1.75
2018-12,0,-0.003608113239,110.8,-0.7,0.9,112.1,1.8,98.988,94.7,104.986,99.144,-2.937894737,5249589.158,401677.8947,-0.1378947368,1371269442,1.83,1.89,1.99,2.3,1.91,1.77,1.75
2019-01,1,0.03253458351,111.3,-0.8,1.3,112.4,0.1,98.884,94.406,106.158,99.902,7.445909091,5603161.364,429781.7273,0.3563636364,1386157414,1.81,1.88,1.99,2.26,1.87,1.75,1.75
2019-02,1,0.09084583034,110.9,-1.1,-0.8,112.7,-1.4,99.311,95.397,105.439,99.873,-0.5535294118,5618904.588,404856.1765,-0.02294117647,1458848751,1.8,1.87,1.99,2.25,1.87,1.76,1.75
2019-03,0,-0.0009846222752,111.1,0.1,0.8,112.9,0.9,99.121,93.525,103.749,99.764,-2.7385,4921997.25,322902.8,-0.1245,1428377201,1.79,1.84,1.95,2.24,1.9,1.76,1.75
2019-04,1,0.05083297816,111.1,0.2,-0.6,113.1,-0.7,99.481,94.801,102.399,100.523,2.86,5378292.227,440443.0455,0.1336363636,1465638151,1.74,1.77,1.89,2.21,1.89,1.75,1.75
2019-05,1,0.04519587599,111.7,1.2,1.3,113.5,3.9,99.652,93.634,103.692,99.873,-7.707142857,5382849,535375.8095,-0.3576190476,1384116389,1.68,1.72,1.83,2.15,1.84,1.75,1.75
2019-06,1,0.009475041063,112,0.7,-0.8,113.7,-1.9,99.491,91.804,102.447,99.617,4.677894737,4600446.789,592457.1579,0.2263157895,1401948766,1.5,1.53,1.62,2,1.8,1.76,1.75
2019-07,1,0.000900704952,112.3,0.8,-0.4,114,0,99.187,90.511,100.773,99.991,-4.61173913,4429029.478,517780.5652,-0.2186956522,1386277749,1.38,1.42,1.51,1.89,1.68,1.63,1.5
2019-08,1,0.08996575983,112.7,0.2,0.6,114.3,0.6,99.425,91.955,99.989,99.804,-2.702857143,4662803.333,498672.9048,-0.130952381,1297011945,1.16,1.2,1.25,1.69,1.49,1.51,1.5
2019-09,1,0.1104213166,112.9,0.5,0.2,114.6,2.6,99.794,96.32,98.429,99.755,5.013684211,4520648.368,453725.3158,0.2510526316,1366227667,1.29,1.35,1.42,1.79,1.54,1.52,1.5
2019-10,1,0.05567860035,112.9,-0.5,0.5,114.9,-0.3,100.041,96.421,96.707,100.001,0.9728571429,4421096.381,423066.2381,0.05,1382344362,1.36,1.44,1.58,1.86,1.46,1.35,1.25
2019-11,0,-0.05370450227,113,0.3,0.3,115.1,-3.3,99.481,92.064,95.365,98.976,0.2133333333,5317097.81,511316.619,0.01380952381,1429027490,1.49,1.59,1.75,2,1.52,1.28,1.25
2019-12,1,0.01601934359,113.5,0.7,1.4,115.4,0.9,99.719,93.953,96.1,99.085,5.4855,5065497.6,509437.6,0.2585,1442768031,1.39,1.48,1.65,1.95,1.53,1.28,1.25
2020-01,1,0.05903399236,114,0.5,0.3,115.6,-0.8,100.09,95.63,97.59,99.68,-3.933,6434673,654803.4,-0.1745,1482796764,1.37,1.48,1.66,1.96,1.47,1.27,1.25
2020-02,0,-0.0996595024,113.3,-0.6,-2.8,115.9,-0.6,100.16,94.73,95.82,100.21,-6.6,7582885.65,697988.3,-0.308,1460014517,1.25,1.36,1.54,1.85,1.42,1.24,1.25
2020-03,0,-0.1018593076,112.3,-0.3,-3.5,116,-2.9,99.94,96.57,93.74,98.77,-10.56227273,10096721.45,776864.7727,-0.4790909091,1203158163,1.09,1.27,1.49,1.84,1.23,0.98,0.75
2020-04,0,-0.04581422744,111,-1.3,-1.1,116.1,-0.7,99.5,95.78,92.73,99.17,9.646,10802955.45,1052256.15,0.5395,1243969280,1.02,1.26,1.5,2.15,1.1,0.74,0.75
2020-05,0,-0.135951712,110.4,-2.9,2.7,116.4,2.9,99.44,96.98,94.32,99.57,4.317894737,9957334.474,852973.5263,0.2236842105,1320678067,0.88,1.13,1.39,2.18,1.02,0.7,0.5
2020-06,0,-0.003140641518,110.8,-1.9,3.6,116.7,1.2,99.71,97.4,92.6,99.87,3.578636364,13074635.41,902895.5909,0.1922727273,1435652800,0.85,1.13,1.39,2.22,0.79,0.48,0.5
2020-07,0,-0.1755968149,111.1,0.5,0.2,116.9,-0.1,99.63,98.45,93.83,100.59,6.132173913,13033438.3,820295,0.2856521739,1487005704,0.83,1.09,1.36,2.22,0.79,0.48,0.5
2020-08,0,-0.06209848638,112,3.2,-0.1,117.2,1.7,100.19,103.3,96.18,100.42,3.84,16197444.3,882156.25,0.1785,1596772035,0.83,1.09,1.37,2.19,0.68,0.5,0.5
2020-09,1,0.1052864258,112.6,1.9,-0.5,117.5,1.6,100.74,108.68,106.09,100.32,0.0819047619,14195647.19,933661.619,0.01095238095,1613102538,0.91,1.19,1.5,2.24,0.63,0.48,0.5
2020-10,1,0.009504414733,113.4,1.1,1,117.7,4.1,100.18,108.45,109.78,100.59,-3.196842105,10847027,826609.2105,-0.1352631579,1611789924,0.91,1.2,1.51,2.24,0.63,0.51,0.5
2020-11,1,0.1659644866,114.2,0.9,0.2,117.9,1.3,100.09,101.74,113.03,100.56,15.43761905,15249273.67,1160855.381,0.6442857143,1717620790,0.97,1.3,1.61,2.25,0.66,0.49,0.5
2020-12,1,0.1641974066,114.4,0.5,-0.1,118.2,1.4,100.33,102.3,114.3,100.25,13.4347619,18199005.33,1169573.857,0.4980952381,1896654000,0.97,1.32,1.68,2.21,0.66,0.51,0.5
2021-01,0,-0.02070279176,114.3,0.8,0.9,118.6,0.2,101.04,105.7,115.25,99.71,5.137,26477822.2,1304698.8,0.1935,2129149293,0.98,1.32,1.73,2.14,0.68,0.49,0.5
2021-02,1,0.0002414740763,114.6,1.8,0.3,119,2.6,101.58,109.97,115.63,99.44,2.041111111,19095421.89,1668311.111,0.08222222222,2133992453,1,1.35,1.85,2.06,0.73,0.49,0.5
2021-03,1,0.04250880138,115.3,1.1,0.6,119.4,1.8,101.84,109.41,116.45,99.33,2.203181818,15133624.5,1268271.864,0.07772727273,2102071782,1.13,1.55,2.04,2.09,0.75,0.49,0.5
2021-04,1,0.09666301086,116.3,0.4,0.7,120,2.4,101.98,108.4,115.3,99.5,3.929090909,15736822.45,1412114.091,0.1286363636,2207460320,1.14,1.58,2.04,1.98,0.74,0.48,0.5
2021-05,0,-0.1600568595,116.6,-0.8,0.9,120.4,1.3,102.05,107.94,116.47,99.16,2.950526316,15976395.79,988963.8947,0.09631578947,2217874507,1.13,1.65,2.13,1.89,0.68,0.48,0.5
2021-06,1,0.01899551344,116.9,-0.2,0.7,120.8,0.3,102.05,106.63,114.31,99.22,4.216363636,16947706.77,1607024.636,0.1309090909,2279987060,1.3,1.7,2.1,1.91,0.66,0.51,0.5
2021-07,1,1.46E-03,117.3,5.00E-01,0.2,121.2,-0.5,102.26,106.81,112.99,99.74,-4.289090909,13814302.18,1005320.727,-0.1286363636,2283967308,1.42,1.69,1.98,1.89,0.69,0.53,0.5
2021-08,0,-0.03454603391,117.6,0.9,0.3,121.5,-2.2,102.75,109.06,112.16,99.84,-0.1452380952,15521821.1,657187.0476,0,2282889808,1.41,1.65,1.91,1.84,0.77,0.56,0.75
2021-09,1,0.06762816865,117.8,-0.4,0.4,122,-0.5,103.17,112.01,110.95,100.14,-6.865789474,14061364.42,751027.4211,-0.2168421053,2278255780,1.52,1.79,2.06,1.95,0.98,0.77,0.75
2021-10,1,0.04925952336,118.1,-0.4,0.4,122.6,-0.2,103.35,109.01,109,100.54,-5.165263158,11753813.79,732196.6316,-0.1663157895,2173605748,1.84,2.15,2.4,2.3,1.08,0.74,0.75
2021-11,1,0.08174052383,118.5,-0.2,0.1,123.2,2.3,103.87,109.47,108.16,101.4,-5.985,11717785.82,626776,-0.2018181818,2182238705,1.95,2.17,2.36,2.49,1.17,0.8,1
2021-12,0,-0.02331460083,119.5,1.8,0.6,123.8,1.9,104.04,110.3,109.16,101.96,6.301818182,9919548.955,484800.6364,0.2218181818,2210272304,1.8,1.98,2.19,2.41,1.27,1.01,1
2022-01,0,-0.03544468576,120.4,1.8,-0.2,124.3,4.4,104.69,112.31,112.36,102.47,-15.7155,11282725.35,546281,-0.5475,2134283114,2.06,2.28,2.49,2.63,1.39,1.19,1.25
