date,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
2008-01,100.38,99.6,106.12,0.0,108.04,73.2,93.35
2008-02,105.13,104.25,111.27,0.0,113.43,73.17,95.32
2008-03,109.82,109.25,125.31,0.0,128.81,77.49,97.79
2008-04,118.07,117.09,138.85,0.0,142.37,84.02,102.84
2008-05,131.21,130.1,159.82,0.0,161.87,94.36,113.9
2008-06,140.34,138.82,165.05,0.0,169.65,99.61,125.52
2008-07,135.35,134.74,167.3,0.0,168.02,112.96,125.75
2008-08,115.57,114.21,137.88,0.0,135.61,103.76,108.87
2008-09,107.13,104.96,121.81,0.0,121.0,90.88,92.43
2008-10,79.8,77.41,90.38,0.0,88.65,61.79,51.77
2008-11,48.43,47.5,75.3,0.0,73.46,37.59,29.47
2008-12,41.08,38.93,59.28,0.0,61.9,35.34,31.15
2009-01,52.31,49.1,60.24,0.0,59.9,39.48,42.63
2009-02,58.11,55.49,52.98,0.0,52.45,39.67,46.86
2009-03,54.24,53.17,53.41,0.0,54.48,37.92,46.58
2009-04,60.41,58.32,59.18,0.0,60.23,44.7,49.35
2009-05,68.54,65.53,64.21,0.0,65.64,53.35,54.21
2009-06,77.2,75.04,76.59,0.0,77.17,61.84,65.94
2009-07,72.85,70.89,72.5,0.0,72.06,61.98,63.01
2009-08,82.25,80.21,78.8,0.0,79.94,67.38,70.52
2009-09,75.66,73.89,74.77,0.0,75.14,65.51,66.93
2009-10,77.78,76.11,80.23,0.0,80.55,68.31,69.35
2009-11,81.98,79.99,85.02,0.0,84.63,72.38,76.28
2009-12,81.86,78.99,83.3,0.0,81.84,72.16,78.38
2010-01,88.1,84.92,85.96,0.0,85.21,74.87,80.73
2010-02,86.59,83.83,82.35,0.0,82.84,71.25,75.86
2010-03,91.03,88.54,87.69,0.0,88.34,72.44,80.88
2010-04,94.07,91.96,94.89,0.0,95.63,75.71,83.27
2010-05,85.13,83.06,88.2,0.0,88.74,70.8,77.56
2010-06,83.44,81.69,86.81,0.0,86.91,67.9,72.63
2010-07,82.44,80.46,85.43,0.0,85.87,68.63,68.74
2010-08,82.74,80.91,87.26,0.0,87.71,69.89,73.47
2010-09,82.68,80.64,87.89,0.0,87.73,68.72,74.65
2010-10,89.71,87.66,94.32,0.0,93.64,73.35,82.96
2010-11,93.28,91.16,97.88,0.0,97.47,76.35,87.27
2010-12,102.08,100.01,103.53,0.0,103.66,78.78,93.83
2011-01,106.38,104.34,109.9,0.0,109.48,82.48,95.14
2011-02,111.84,109.63,120.17,0.0,118.93,93.99,97.9
2011-03,120.97,118.87,131.92,0.0,132.29,99.41,107.83
2011-04,129.97,127.85,138.69,0.0,139.96,105.25,115.38
2011-05,124.82,121.68,127.76,0.0,128.26,99.81,108.34
2011-06,120.33,117.76,126.89,0.0,127.73,101.31,101.9
2011-07,126.15,123.0,129.23,0.0,129.83,103.17,105.92
2011-08,122.7,119.75,124.89,0.0,125.29,100.55,103.0
2011-09,124.36,122.06,123.52,0.0,124.38,100.85,103.48
2011-10,121.93,119.9,123.25,0.0,122.89,101.43,96.19
2011-11,112.86,111.15,127.99,0.0,129.39,106.26,95.25
2011-12,113.86,111.5,122.87,0.0,125.12,102.99,98.61
2012-01,124.01,120.69,126.7,0.0,129.98,111.01,104.82
2012-02,130.7,128.63,132.46,0.0,134.55,112.63,114.3
2012-03,136.64,134.48,136.18,0.0,137.99,115.12,119.33
2012-04,134.99,131.37,133.27,0.0,135.02,112.37,114.45
2012-05,121.57,118.19,123.38,0.0,124.89,103.73,98.41
2012-06,104.45,101.16,110.29,0.0,111.98,91.85,80.72
2012-07,113.38,110.2,117.52,0.0,119.31,95.61,91.13
2012-08,127.19,123.78,129.5,0.0,130.74,103.53,102.89
2012-09,125.98,122.25,132.59,0.0,132.65,105.31,106.81
2012-10,124.07,120.43,130.17,0.0,129.88,100.02,104.9
2012-11,119.61,116.45,125.21,0.0,125.69,94.49,102.64
2012-12,118.85,115.9,124.75,126.5,125.07,94.12,103.19
2013-01,122.77,120.07,128.09,128.34,127.01,97.44,105.55
2013-02,132.97,129.77,133.77,134.55,132.83,100.2,111.89
2013-03,124.0,120.78,123.5,125.3,123.64,97.96,102.07
2013-04,113.95,110.77,116.19,118.55,116.76,94.81,93.43
2013-05,114.4,111.08,115.37,118.05,116.72,94.2,93.56
2013-06,117.85,114.75,116.75,119.59,119.28,95.68,94.16
2013-07,121.73,118.79,121.18,124.43,123.15,93.07,97.7
2013-08,117.11,114.67,124.73,126.37,124.14,93.29,101.01
2013-09,117.31,114.28,123.87,126.09,123.57,93.89,102.76
2013-10,114.35,111.6,123.04,125.58,123.88,94.84,100.2
2013-11,114.89,111.94,122.63,125.59,123.34,93.1,103.69
