month,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
2000-01,9.28,10.02,-,10.25,7.28,4.78,4.75
2000-02,8.99,9.54,-,10.01,7.13,5.02,5.00
2000-03,9.06,9.54,-,10.00,7.00,5.10,5.00
2000-04,8.95,9.30,-,9.97,7.06,5.10,5.00
2000-05,8.96,9.29,-,9.91,7.14,5.12,5.00
2000-06,8.66,8.95,-,9.72,7.17,5.12,5.00
2000-07,8.00,8.28,-,9.13,7.15,5.14,5.00
2000-08,7.85,8.17,-,9.00,7.04,5.14,5.00
2000-09,7.96,8.31,-,9.00,7.05,5.13,5.00
2000-10,7.84,8.19,8.25,8.72,7.04,5.33,5.25
2000-11,7.31,7.56,7.86,8.42,6.99,5.35,5.25
2000-12,6.79,6.92,7.18,8.12,6.89,5.37,5.25
2001-01,5.99,6.20,6.65,7.76,6.43,5.32,5.25
2001-02,5.43,5.76,6.41,6.79,5.73,5.15,5.00
2001-03,5.84,6.40,7.00,7.16,5.68,5.05,5.00
2001-04,6.59,7.24,7.74,7.91,5.84,5.03,5.00
2001-05,6.46,7.05,7.58,7.70,5.85,5.03,5.00
2001-06,6.04,6.49,7.14,7.24,5.65,5.03,5.00
2001-07,5.75,6.17,6.83,7.00,5.32,4.81,4.75
2001-08,5.15,5.43,6.29,6.51,4.92,4.61,4.50
2001-09,4.89,5.21,6.19,6.32,4.66,4.33,4.00
2001-10,4.74,5.65,6.54,6.31,4.36,4.03,4.00
2001-11,5.34,6.20,6.88,6.79,4.53,4.03,4.00
2001-12,5.93,6.66,7.01,7.11,4.84,4.01,4.00
2002-01,6.08,6.85,7.10,7.07,4.79,3.98,4.00
2002-02,5.92,6.66,7.00,6.89,4.54,4.01,4.00
2002-03,6.30,6.97,7.17,7.05,4.64,4.01,4.00
2002-04,6.47,7.06,7.30,7.20,4.79,4.01,4.00
2002-05,6.30,6.80,7.09,7.07,4.81,4.25,4.25
2002-06,5.93,6.33,6.76,6.76,4.85,4.30,4.25
2002-07,5.70,6.11,6.54,6.59,4.91,4.28,4.25
2002-08,5.37,5.79,6.24,6.23,4.80,4.29,4.25
2002-09,5.37,5.77,6.16,6.06,4.81,4.30,4.25
2002-10,5.39,5.71,6.11,6.01,4.91,4.30,4.25
2002-11,5.29,5.52,5.80,5.90,4.91,4.30,4.25
