,총지수 (2015=100),　　　원재료 (2015=100),　　　　　　원재료국내 (2015=100),　　　　　　원재료수입 (2015=100),　　　　　　원재료제조용 (2015=100),　　　　　　　　　원재료제조용(국내) (2015=100),　　　　　　　　　원재료제조용(수입) (2015=100),　　　　　　원재료건설용(국내) (2015=100),　　　　　　원재료연료 (2015=100),　　　　　　　　　원재료연료(국내) (2015=100),　　　　　　　　　원재료연료(수입) (2015=100),　　　　　　원재료기타 (2015=100),　　　중간재 (2015=100),　　　　　　중간재국내 (2015=100),　　　　　　중간재수입 (2015=100),　　　　　　중간재제조용 (2015=100),　　　　　　　　　중간재제조용(국내) (2015=100),　　　　　　　　　중간재제조용(수입) (2015=100),　　　　　　중간재건설용 (2015=100),　　　　　　　　　중간재건설용(국내) (2015=100),　　　　　　　　　중간재건설용(수입) (2015=100),　　　　　　중간재연료・동력 (2015=100),　　　　　　　　　중간재연료・동력(국내) (2015=100),　　　　　　　　　중간재연료・동력(수입) (2015=100),　　　　　　중간재기타 (2015=100),　　　　　　　　　중간재기타(국내) (2015=100),　　　　　　　　　중간재기타(수입) (2015=100),　　　최종재 (2015=100),　　　　　　최종재국내 (2015=100),　　　　　　최종재수입 (2015=100),　　　　　　최종재자본재 (2015=100),　　　　　　　　　최종재자본재(국내) (2015=100),　　　　　　　　　최종재자본재(수입) (2015=100),　　　　　　최종재소비재 (2015=100),　　　　　　　　　최종재소비재(국내) (2015=100),　　　　　　　　　최종재소비재(수입) (2015=100),　　　　　　최종재내구재 (2015=100),　　　　　　　　　최종재내구재(국내) (2015=100),　　　　　　　　　최종재내구재(수입) (2015=100),　　　　　　최종재비내구재 (2015=100),　　　　　　　　　최종재비내구재(국내) (2015=100),　　　　　　　　　최종재비내구재(수입) (2015=100),　　　생산재(원재료+중간재) (2015=100),　　　　　　생산재국내 (2015=100),　　　　　　생산재수입 (2015=100),　　　　　　생산재제조용재료 (2015=100),　　　　　　　　　생산재제조용재료(국내) (2015=100),　　　　　　　　　생산재제조용재료(수입) (2015=100),　　　　　　생산재건설용재료 (2015=100),　　　　　　　　　생산재건설용재료(국내) (2015=100),　　　　　　　　　생산재건설용재료(수입) (2015=100),　　　　　　생산재연료・동력 (2015=100),　　　　　　　　　생산재연료・동력(국내) (2015=100),　　　　　　　　　생산재연료・동력(수입) (2015=100),　　　　　　생산재기타 (2015=100),　　　　　　　　　생산재기타(국내) (2015=100),　　　　　　　　　생산재기타(수입) (2015=100),　　　　　　　　　원재료기타(국내) (2016.12=100),　　　　　　　　　원재료기타(수입) (2016.12=100),　　　　　　최종재서비스 (2015=100)
2000.01,75.31,43.95,58.16,41.23,42.49,54.63,41.1,39.02,45.82,48.46,44.95,68.96,79.0,74.36,96.75,95.18,93.21,98.79,57.37,55.43,86.99,49.85,48.7,48.77,56.8,56.98,61.14,84.27,82.66,98.07,97.36,91.21,111.13,82.81,82.85,84.46,183.44,190.32,143.23,65.1,65.34,63.78,72.68,75.5,71.26,80.64,91.31,70.16,57.22,55.28,86.99,50.51,48.74,46.88,58.38,58.6,62.82,,,
2000.02,75.23,44.73,57.29,42.3,43.47,54.08,42.31,39.02,45.97,48.46,45.12,66.88,78.91,74.36,96.67,95.09,93.21,98.69,57.52,55.58,86.6,50.14,48.83,51.53,56.73,56.98,60.45,83.76,82.15,96.92,96.38,90.36,109.19,82.46,82.41,84.13,181.69,188.64,141.23,64.95,65.03,64.13,72.86,75.42,71.85,80.91,91.22,70.72,57.36,55.43,86.6,50.8,48.88,47.95,58.11,58.39,62.15,,,
2000.03,75.14,44.59,56.22,42.36,43.4,53.25,42.31,39.02,46.36,48.46,45.59,64.96,78.91,74.36,96.57,94.9,93.21,98.23,57.37,55.51,85.81,50.56,48.83,59.88,56.8,57.05,60.9,83.58,81.98,96.83,96.01,90.1,108.71,82.38,82.25,84.86,180.67,187.61,139.55,65.02,65.03,65.5,72.86,75.32,71.77,80.73,91.22,70.56,57.22,55.35,85.81,51.17,48.95,50.82,58.04,58.25,62.57,,,
2000.04,74.31,41.8,54.63,39.37,40.38,52.16,39.11,39.62,46.36,48.46,45.51,62.08,78.65,74.28,95.47,94.51,93.11,97.31,57.23,55.43,85.2,50.14,48.7,54.03,56.8,57.12,60.57,82.91,81.3,95.85,95.65,89.76,108.13,81.5,81.46,82.92,178.92,185.8,138.72,64.25,64.4,63.34,71.93,75.16,69.66,79.58,91.02,68.43,57.14,55.28,85.2,50.8,48.74,48.93,57.83,57.97,62.45,,,
2000.05,74.56,44.88,56.28,42.58,43.62,53.11,42.66,40.45,45.26,48.46,44.32,65.92,78.22,73.69,95.75,94.23,92.43,97.77,57.45,55.51,85.61,48.65,47.25,52.19,56.87,57.18,60.28,82.91,81.39,95.6,95.29,89.41,107.93,81.68,81.72,82.67,177.67,184.49,137.98,64.71,64.87,63.2,72.35,74.73,71.42,80.38,90.45,70.48,57.29,55.43,85.61,49.25,47.3,47.54,58.24,58.46,62.21,,,
2000.06,75.06,46.68,56.93,44.57,45.58,53.74,44.79,40.15,46.13,48.46,45.27,66.56,78.56,74.03,96.21,94.23,92.24,98.04,57.52,55.72,85.2,50.77,49.31,55.79,56.8,57.12,60.28,82.99,81.39,96.39,94.84,88.64,108.81,82.02,81.98,83.24,175.41,181.91,137.98,65.34,65.5,63.91,73.03,75.07,72.78,80.91,90.25,71.71,57.44,55.57,85.2,51.38,49.3,49.34,58.24,58.46,62.27,,,
2000.07,74.81,45.53,56.58,43.36,44.32,53.25,43.37,40.8,47.08,48.46,46.22,66.48,78.56,74.11,95.75,94.04,92.14,97.59,57.82,55.94,85.0,50.92,49.52,54.53,56.87,57.32,59.71,82.82,81.22,95.68,94.3,88.21,107.65,81.93,81.9,83.4,173.9,180.36,137.14,65.5,65.57,64.42,72.68,75.16,71.93,80.47,90.25,70.72,57.67,55.86,85.0,51.6,49.5,49.59,58.3,58.66,61.54,,,
2000.08,74.81,46.31,56.22,44.28,45.16,53.19,44.37,43.83,47.0,48.46,46.22,64.56,78.48,74.2,95.11,93.75,92.04,97.04,57.97,56.01,85.4,51.84,50.41,55.04,56.8,57.26,59.26,82.65,81.13,95.06,94.04,87.96,107.06,81.77,81.81,82.75,172.14,178.55,134.83,65.57,65.73,64.28,72.86,75.16,72.02,80.47,90.06,70.97,57.81,55.94,85.4,52.48,50.46,49.76,57.96,58.39,61.12,,,
2000.09,75.64,48.97,55.78,47.42,48.12,53.46,47.77,42.35,47.4,48.46,46.53,62.24,78.82,74.54,95.93,93.94,92.04,97.59,58.04,56.22,85.31,53.34,51.65,59.63,56.73,57.26,58.01,83.25,81.82,95.68,94.13,88.13,107.25,82.72,82.76,83.73,171.39,177.65,135.14,66.74,66.91,65.5,73.79,75.5,74.05,81.53,90.16,73.03,57.97,56.08,85.31,53.8,51.69,51.47,57.7,58.18,60.03,,,
2000.10,75.72,49.26,53.83,48.13,48.47,51.67,48.42,41.93,49.45,48.46,48.76,60.24,79.08,74.7,96.21,93.75,91.56,97.86,58.27,56.3,86.6,55.39,53.64,63.88,56.8,57.52,57.38,82.99,81.48,95.68,93.95,87.78,107.25,82.38,82.34,83.81,170.01,176.09,134.83,66.51,66.68,65.78,74.04,75.58,74.56,81.45,89.68,73.36,58.11,56.15,86.6,55.93,53.62,54.34,57.62,58.11,59.6,,,
