,titles,links,dates,contents
0,[제목 : [두나무] 거래대금 13조 복귀 ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=793,2021-10-06,어제부로 거래대금 13조 복귀하네요...10월 한달 불장이 될듯...10월 실적만가지고도 3조 시대진입할지도 모르것네요물량 간수 잘하시길.배당금 공시가 언제 쯤 나올려는지..
1,[제목 : [두나무] 에이티넘이 보유 중인 두나무 주식을 알토스에게 매도 ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=794,2021-10-06,글쓴이 입니다. 투자 유치가 아니라 구주를 거래한 것이었군요 ㅎㅎ답변 감사합니다 !! 
2,[제목 : [두나무] 솔직히  무섭습니다... ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=795,2021-10-06,한마디로 불장입니다 너무 불장도 시기질투하는 사람들이 있을것 같아서 불안합니다 ㅎ
3,"[제목 : [두나무] 업비트, 지금 현재 거래대금 20조 돌파 ㄷㄷㄷ ]",https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=796,2021-10-06,"2021.10.06일 19시20분 현재 코인마켓캡 기준 거래대금업비트 20조빗썸 1조9천억코인원 3,894억코빗 451억"
4,[제목 : [두나무] 기득권에서 주식 부동산 자금이 코인으로 넘어갈까봐... ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=797,2021-10-06,부들부들 하네요.하지만 선거도 얼마안남았고 mz세대들에사다리를 걷어차면  선거때 본때를...
5,"[코멘트 : [두나무] 맞습니다^^

박빙의 대통령 선거가 진행되면

 MZ ]",https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=798,2021-10-06,맞습니다^^박빙의 대통령 선거가 진행되면 MZ 세대 표를 얻기 위해서결국은 어느 한쪽이가상화폐 양도세를 주식 양도세 시기인2023년으로 유예하는 공약을 걸지 않을까 예상합니다
6,[제목 : [두나무] '꽃'이 되고 있는 비트코인 ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=799,2021-10-06,"'꽃'이 되고 있는 비트코인'내가 그의 이름을 불러주기 전에는 그는 다만 하나의 몸짓에 지나지 않았다. 내가 그의 이름을 불러주었을 때 그는 나에게로 와서 꽃이 되었다.'최근 가상자산과 비트코인(BTC)에 대한 긍정적인 평가가 쏟아지는 가운데 존재의 본질에 대해 탐구하는 김춘수 시인의 시 '꽃'의 한 구절이가장 먼저 떠오른 이유는 뭘까. 바로 하나의 '몸짓'에 지나지 않던 비트코인이 '꽃'이 되는 순간을 직접 경험하고 있다는 생각이 강하게 일고 있기 때문이다.미국 대표 상업은행인 뱅크오브아메리카(BoA)는 최근 연구보고서를 통해 ""가상자산을 기반으로 하는 디지털자산은 완전히 새로운 자산 클래스를 형성할 수 있다고 믿는다""며 ""더 이상 비트코인에 국한되지 않는 주류로서 새로운 기업들, 새로운 기회들, 새로운 응용사례로 구성된 생태계를 만들고 있다""고 전했다.실제 전체 가상자산 시가총액은 현재 2조2200억달러(약 2600조원)에 달한다. 약 1년 반만에 10배 가량 증가했다. 시가총액 1위인 비트코인의 시총은 1조달러(약 1200조원)에 이른다. 미국 증시에서 시가총액이 5위인 페이스북보다 많다.1년 전만해도 비트코인에 대한 세간의 평가는 인색하기 그지 없었다. 여전히 일부 '이상한 사람'들이 투자하는, 가치를 가늠할 수 없는, 투기 수단에 불과하다는 의견이 지배적이었다. 그런데 최근 들어 비트코인을 바라보는 시각이 달라지기 시작한 것이다. '비트코인은 투기'라는 주장이 여전히 나오지만, 자산으로서의 가치를 인정하는 시각이 더 큰 관심을 받고 있다.모든 재화의 가치는 수요에서 생긴다. 현재 굳건한 안전자산으로 가치를 인정받는 '금'도 따지고 보면 돌덩어리에 불과하다. 금이라는 돌덩어리에 가치를 부여한 것은 수요다. 예쁜 장신구를 만드는 데에 국한됐던 금의 수요는 현대 사회에 들어 인플레이션 헤지 수단으로써 가치를 올렸고, 이제 사람들은 실물 금을 볼 필요 없이 투자수단으로 금을 대하게 됐다.비트코인도 최근 들어 투자수요가 많아지며 가치를 높이고 있다. 달러와 달리 무한정 찍어낼 수 없고, 금처럼 채굴량이 정해져 있는 비트코인이 명실상부한 '디지털 금'이 될 지 자산시장의 관심이 쏠리는 것이다. 비트코인의 높은 변동성이 발목을 잡지만, 금 또한 다른 자산에 비해 높은 변동성을 가진다는 점을 상기해 볼 필요가 있다. 실제 1975년부터 2015년까지 금의 변동성은 S&P500, 미국 단기국채, 미국 장기국채 연 수익률 표준편차보다 높았다. 높은 변동성만으로 비트코인을 깎아 내리기엔 역부족으로 보인다.비트코인은 연초 급격히 오르던 시세가 결국 폭락으로 이어졌지만, 여기서 그치지 않고 차곡 차곡 다시 가치를 쌓아 올리고 있다. 미국에선 곧 비트코인 상장지수펀드(ETF)가 나올 분위기다. 이더리움(ETH), 테더(USDT), 리플(XRP) 등 비트코인과는 또 다른 형태로 이전에는 없던 가치를 만드는 가상자산들도 각광받고 있다. '비트코인은 투기 수단에 불과하다'는 여전한 일각의 주장이 조만간 고릿적 얘기가 될 것이란 강한 확신이 드는 때다."
7,[제목 : [두나무] 조심해라 ~~  주가 폭락한다~~~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=800,2021-10-07,응
8,[코멘트 : [두나무] 사고싶냐? ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=801,2021-10-07,사고싶냐?
9,[제목 : [두나무] 장외대장주 됩니다~똥파리들 꼬이는거보니 ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=802,2021-10-07,이제 슬슬 어그로들 똥파리들꼬이는거보니주가는 계속 우상향 합니다
10,[제목 : [두나무] 비트코인  급등 ],https://www.38.co.kr/html/forum/board/?o=v&code=389930&no=803,2021-10-07,왜 그런가요?비트코인 오르면두나무는 왜 날라가나요.비트코인 앞으로 6배 더 오른다는데그럼 두나무 장투해야 하나요.미국에 곧 상장한다는데한국에 상장하는것 보다유리한가요.
