,titles,links,dates,contents
0,[제목 : [바이오노트] COVID 19  관련 매출이 엄청 나네요~ ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=4,2020-07-09,2020년은  바이오노트에최고의 해가 되지 않을까생각합니다.팬데믹 홀덤의  발빠른 대처로전세계적인 큰 매출을 이뤘으니말이죠...적극 지지 합니다.
1,[제목 : [바이오노트] 바이오노트 향후 예상 시나리오 ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=5,2020-12-26,"1. 매출    -  에스디 바이오센서 모회사(지분 26.1%)    -  에스디 바이오센서 2020년 매출 1조 5,000억, 영업이익: 8,000억    - 지분 26.1%에 해당하는 영업이익만 가져오더라도이익 2,000억상승    - 코로나 19 항원 및 항체 키트(자사) 식약처 승인으로 판매.    - 휴온스 자회사 휴메딕스와 항원 진단키트 독점 공급으로  매출 상승.    - 에스디 바이오센서 2021년 매출 예상액은  2조 이상~    - 자체적으로 원료 부터 완제품까지 생산능력 보유로 2021년은 새 도약의해.    - 현재 가치로 상장 시  15만~ 20만원의   Value   가능.   2021년을  기대해 봅시다.   화이팅~~  "
2,[제목 : [바이오노트] 코로나 백신 개발 이후에도 진단 키트가 필요한 이유.... ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=6,2020-12-26,"-최근 코로나19 백신 출시에 관심이 높아지고 있다. 백신 출시로 진단키트 시장은 위축되지 않나. ▲백신이나 치료제, 그리고 진단키트는 상호보완관계라고 봐야한다. 하지만 코로나19의 경우에는 그 특성상 상당기간 오히려 진단키트 시장은 급성장할 것으로 본다. 일단 코로나19 백신이 나와도 안심하긴 이르다. 코로나19는 매우 강하고 돌연변이도 많다. 백신으로 확산되면 그 자체로 생존을 위해 다양한 변종을 불러올 것이고 변종 발생 사이클도 빨라질 것이다. 그러면 그 변종을 위한 백신과 치료제는 다시 개발해야 한다. 그동안 백신과 전****의 역사가 그렇게 진행돼왔다. 또 현재 개발되고 출시되기 시작한 코로나19 백신들은 초기 접종 결과에선 아주 훌륭하지만 6개월 이상 진행된 뒤에도 이런 면역 효과가 유지될 지 아직 데이터가 없다. 결코 아직 안심할 단계가 아니란 의미다.-코로나19 백신 확대에도 진단키트 수요가 커질 것이란 전망의 근거는. ▲우선 코로나19 백신 접종의 효율성을 높이기 위해선 사전에 감염 여부를 진단하는게    바람직하다.  또 코로나19 백신 접종 이후에도 과연 면역력이 생겼는지 확인하기 위해선 진단 검사가 필요하다. 또 향후 변종의 코로나19가 계속 발생하면 그에 맞는 진단 키트는 다시 공급돼야 한다.   미국 보건당국과 의료계에서도 향후 코로나19 통제를 위해선 백신과 진단 확대가 함께 필요하다는 입장이다. 실제로 최근 하버드대의 한 연구소는 전국민에 대한 코로나19 진단 검사가 가능하면 2주일내 전**** 통제가 가능할 것이란 전망을 내놓기도 했다. 내년에 집중할 진단 제품도 여기에 초점이 맞춰져 있다. 그동안 사람들은 병원 등 의료기관까지 찾아가 진단검사를 해야했다. 그중 감염자도 포함돼 있었다. 하지만 앞으론 집이나 약국 등에서 간편하게 혼자 검사하고 결과를 확인할 수 있는 진단키트가 확대돼야한다. 관련 제품에 대해선 개발을 마치고 FDA의 긴급사용승인 절차를 진행중이다.  -내년을 포함한 향후 사업 방향은. ▲올해 코로나19 사태를 맞아 회사가 근본적인 변화와 함께 큰 호황을 맞은 것이 사실이다. 하지만 코로나19 사태로 인한 깜짝 호황에 안주하면 안 된다고 생각한다. 마침 코로나19 충격으로 미국을 중심으로 한 의료현장과 관련 산업에도 엄청난 변화가 다가오고 있다. 미국은 그동안 환자 개인이 책임지는 '프라이빗 헬스케어'(private healthcare) 시스템이었다. 하지만 코로나19 사태와 같은 대규모 전**** 앞에서 의료체계가 처참히 붕괴되는 현실을 경험했다. 미국 보건당국과 의료시장은 이제 대규모 공중 보건 시스템을 갖추는 '퍼블릭 헬스케어(public healthcare)'에 눈을 돌리고 있다.  이게 성공하려면 의료기기의 대량생산과 대량 검진이 필수조건이다. 미국에선 앞으로 온라인을 통한 비대면 의료와 함께 개인이 집에서 손쉽게 각종 질병을 진단하고 결과를 확인한 뒤 이를 의료종사자가 관리해주는 시스템이 확산될 전망이다. 이른바 정보통신(IT) 기술을 접목시킨 헬스케어 4차 산업의 시대가 앞당겨진 셈이다."
3,[코멘트 : [바이오노트] 코로나 매출전에 에스디센서의 지분법이익이 600억대 ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=7,2020-12-26,"코로나 매출전에 에스디센서의 지분법이익이 600억대로 잡혔었는데, 에스디센서가 시총5조가된다치면, 단순계산으로 1조 3천억의 지분법 이익(에스디센서 지분보유율 26%)이 나겠죠?이것만 놓고봐둬 지금 매수 희망가보다야 최소 5배는 더 업되야되겠죠?"
4,"[제목 : [바이오노트] 오르비텍, 자회사  바이오노트에 168억 투자하다. ]",https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=8,2020-12-27,"지난해 오비트파트너스는 다른 기관투자자들과 함께 투자 조합 형태로 바이오노트에 168억원을 투자했다.2003년 설립된 바이오노트는 동물용 진단시약 개발업체다. 지난 9월 15~20분 이내 신종 코로나바이러스 감염증(코로나19) 결과를 확인할 수 있는 '항원진단키트(NowCheck COVID-19 Ag Test)'를 출시했다.여기에 더해 바이오노트가 지분 26.41%(2019년 기준)를 보유해 2대 주주로 있는 SD바이오센서도 비슷한 시기 상장을 예고하고 있다. SD바이오센서는 올해 매출 1조원에 육박할 것으로 전망되는 초대형 진단키트 기업이다.바이오노트의 상장 주관사는 NH투자증권이며, SD바이오센서의 상장 주관사는 NH투자증권과 한국투자증권으로, 바이오노트보다 앞서 상장할 것으로 예상되고 있다."
5,[제목 : [바이오노트] 바이오노트  코로나 19항원 키트 수출 호재 ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=9,2020-12-27,"휴메딕스 코로나19 항원진단키트 러시아 누적 주문 100만개 ‘돌파’ 휴메딕스는 러시아 정부로부터 코로나19 항원진단키트(NowCheck COVID-19 Ag Test) 긴급사용승인(EUA, Emergency Use Authorization)을 받은 지 한 달여 만에 누적 주문 100만개를 넘어섰다. 이번 수출은 현재 코로나19 확진자가 급증하고 있는 러시아는 정부 차원에서 초기 단계 환자를 신속하게 확인할 수 있는 항원진단키트 도입을 적극적으로 도입하고 있어 휴메딕스 코로나19 항원진단키트에 대한 주문이 빠르게 늘고 있다고 설명했다. 이 진단키트는 항체진단키트로는 진단이 어려웠던 코로나19 바이러스 감염 초기 단계의 환자도 별도의 장비 없이 빠르고 편리하게, 확진 여부를 판단할 수 있는 것이 특징이다. 이러한 장점 때문에 신규 확진자가 급증하는 국가들이나 의료 인프라가 취약한 국가들에서 적극적으로 도입하고 있다. 휴메딕스의 항원진단키트는 국내 진단키트 연구개발 전문 기업 ‘바이오노트’가 생산하는 제품이다. 휴메딕스는 지난 6월 해외공동판권을 확보했으며, 이탈리아, 콜롬비아,호주,러시아,독일 등지로  수출하고 있다."
6,[제목 : [바이오노트] 어린이 마저 감염시키는 변이 코로나 ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=10,2020-12-29,이와 같은 변종 바이러스 문제에서 바이러스를 검사하는 진단키트의 검사 유효성에 대한 문제가 가장 주요한 문제로 제기되었다. 이에 영국 정부와 함께 스위스 바젤에 본사를 둔 글로벌 제약 로슈(Roche)가 지난 23일 변종 바이러스에 대하여 대량 검사 시스템의 유효성 검사를 시행하였다. 세계의 주목 속에 이루어진 검사에서 변종 바이러스의 정확한 검사가 이루어졌다. 로슈 기업은 이와 같은 결과를 밝히면서 다양한 방식의 개별 진단 키트에 대한 변종 바이러스 유효 진단 시험을 추가로 진행할 것임을 밝혔다. 여기서 주목되는 내용은 이와 같은 발표에서 한국의 진단키트 개발 기업 (SD바이오센서)와 제휴하여 신속 항원진단키트와 항체 진단키트를 통한 추가 검사를 진행할 것이라고 밝힌 내용이다.   국내 진단키트 개발 기업 (SD바이오센서)는 비상장 중소기업으로 지난 4월 오상헬스케어와 씨젠에 이어 미국 FDA 긴급사용승인(EUA)을 받았다. 이어 지난 9월 세계보건기구(WHO) 최초로 20여 분만에 검사가 확인되는 (신속항원진단키트)의 긴급사용승인 허가를 받았다. 로슈 기업에 OEM(주문자상표부착생산) 진단키트를 수출하여온 국내 기업의 진가가 강력한 전파력을 가진 변종 바이러스에 의하여 새롭게 확인된 것이다.
7,"[제목 : [바이오노트] 순이익 5500억 , 배당 주당 8500원, 무상증자 1: 15주 ]",https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=11,2021-03-18,주주로서 감사할 따름.^^
8,[코멘트 : [바이오노트] 배당  무상 전? 무상 후? 어디인가요 ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=12,2021-03-19,배당  무상 전? 무상 후? 어디인가요
9,[코멘트 : [바이오노트] 배당금이 총 500억 정도니까..무증전입니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=377740&no=13,2021-03-19,배당금이 총 500억 정도니까..무증전입니다.
