,titles,links,dates,contents
0,"[제목 : [씨유박스] 씨유박스 얼굴인식 알고리즘, 에러율 0%로 KISA 인증서 획득 ]",https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=1,2020-09-07,"씨유박스 얼굴인식 알고리즘, 에러율 0%로 KISA 인증서 획득2020-07-31씨유박스는 한국인터넷진흥원(KISA)로부터 얼굴인식 알고리즘(K-Face i) 성능 기준에서 에러율 0%로 통과하여 최고 성능의 알고리즘임을 입증하며, 인증서를 획득.◎ 테스트 결과"
1,"[제목 : [씨유박스] 씨유박스, 국내 기술로 열화상ㆍ얼굴인식ㆍ마스크디텍션을 한 번에! ]",https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=2,2020-09-11,"코로나19 장기화로 열화상 얼굴인식기에 대한 수요가 크게 늘어나고 있다. 그러나 최근 조사에 따르면 이미 대거 유통된 열화상 얼굴인식기는 성능 미달로 방역에 큰 구멍이 뚫릴 수 있다는 불안감을 가중시키고 있다.이에 인천국제공항 자동출입국심사대와 4대 정부청사를 비롯한 다양한 ‘가’급 보안 시설에 얼굴인식 솔루션을 제공한 인공지능 얼굴인식 전문기업 씨유박스는 9월 말 고성능 열화상 얼굴인식기기 출시를 밝혔다.이번에 출시를 밝힌 열화상 얼굴인식기기는 워크스루에 특화된 K-Face ST와, 사무실 등에서 쉽고 간편하게 활용할 수 있는 K-Face RT를 토대로 설계했기 때문에 시장에서 거는 기대가 크다.K-Face ST는 작년 한아세안특별정상회의에서 사용한 얼굴인식기기로, 국내 최고 수준의 워크스루를 구현한다. 따라서 신속한 얼굴인식을 요구함과 동시에 높은 보안이 필요한 공항, 관공서 등에서 주로 활용한다.K-Face RT는 사무실 또는 공장, 학교 등에서 쉽고 간편하게 활용할 수 있도록 설계한 제품으로, 1:N(N=100,000)얼굴 인증을 지원하며, 초보자도 쉽게 운영할 수 있도록 설계됐다. 해당 기기에 열화상 카메라와 마스크 디텍션 알고리즘을 추가하여 국내 출시된 그 어떤 제품보다 명확하게 발열 체크를 할 수 있으며, 마스크 착용여부 및 얼굴인식을 통한 신원확인까지 가능하다또한 본 제품에 탑재된 얼굴인식 알고리즘은 씨유박스가 자체 개발한 'K-Face i'로, 본 알고리즘은 올 7월 말 한국인터넷진흥원에서 에러율 0%로 최고 수준의 성능을 기록하며 인증서를 획득했다.남운성 씨유박스 대표는 “외국산 저성능 열화상 얼굴인식기기는 오히려 코로나19 사태를 악화시킬 수 있다.”며, “판매처에서는 기기의 성능과 알고리즘의 이해가 부족하기 때문에 오히려 소비자가 가장 큰 피해를 보는 상황”이라고 말했다.또한 남 대표는 “씨유박스 K-Face (ST&RT) thermal은 더욱 편리하고 확실하게 발열체크, 마스크디텍션, 그리고 얼굴인식을 할 수 있으며, 씨유박스에서 직접 관리하기 때문에 공공기관 및 다양한 민간 기업, 업체에서 크게 각광을 받을 것”이라고 밝혔다.서울경제 김동호 기자 (2020.09.10)"
2,[제목 : [씨유박스] 러시아 IT 선도기업인 라닛과 JV ],https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=3,2020-11-15,"러시아 IT 선도기업인 라닛(Lanit Integration)과 JV를 설립하고 JV는 러시아와 독립국가연합내 스마트시티구축, 공항 스마트 솔루션의 제조및 판매를 담당하게 된다이어 러시아 칼루가주에 조성될 스마트 스페이스 플랫폼(SSP) 공동사업자로 선정됐다"
3,[제목 : [씨유박스] 알체라 상장으로 씨유도 상장 예상 ],https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=4,2020-12-11,경쟁기업과 비교시 기업인지도 향상 위하여조만간 상장 추진 할 듯 합니다~
4,[제목 : [씨유박스] 상장사와 비상장사는 하늘과 땅차이 ],https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=5,2020-12-12,
5,"[제목 : [씨유박스] CUBOX K-Face XT therma, 코로나19 최적화 출입통제 솔루션 ]",https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=6,2020-12-13,"코로나19 장기화로 인해 출입자 관리 트렌드가 크게 바뀌었다. 불과 1년 전에는 RF카드 태깅, 지문인식 등이 주된 출입 관리 수단이었지만, 코로나19 이후 대중은 접촉을 극도로 기피하게 되었다. 이로 인해 언택트라는 새로운 트렌드가 생겨났고, 출입통제 솔루션도 언택트 기반의 얼굴인식 방식이 각광받기 시작했다. 또한, 언제 어디서든 마스크 착용이 의무화됐고, 건물, 사무실, 음식점 및 근린생활시설 출입 시 체온 측정도 필수가 되면서, 이러한 기능을 통합한 출입통제 시스템의 수요가 급증하고 있다. 그러나 실제로 유통되고 있는 대부분의 얼굴인식 솔루션에는 몇 가지의 치명적인 단점이 있다. 기존 얼굴인식 솔루션의 단점• 안면인식(마스크 디텍션)은 구현되지만, 얼굴인식(신원인증)에 대한 기능 검증은 불분명하다.• 현재 유통되고 있는 안면인식 단말기는 대다수 중국산이지만, 법의 허점을 이용해 국산으로 유통되는 제품이 많다. 즉, 현재 얼굴인식 솔루션을 판매하는 국내 업체 대다수가 단순 유통사로, 제품에 문제가 발생할 시 후속 조치와 관리에 한계가 있다.• 알고리즘 및 운영 소프트웨어 또한 대다수 외산으로 백도어(back door) 등 개인정보 유출의 불안감에서 자유롭지 않다. 중국산 얼굴인식 솔루션이 국내산으로 둔갑해 무분별하게 유통되면서 위와 같은 문제점을 노출하고 있다. 주요 언론에서도 이런 문제들을 지적하면서 공공기관을 중심으로 실제로 국내에서 개발된 국산 제품에 대한 수요가 확대되기 시작했다. 인공지능 얼굴인식 전문 기업 씨유박스(CUBOX)의 ‘K-Face XT Thermal’는 이러한 시장 수요에 최적화된 얼굴인식 솔루션이다.K-Face XT Thermal은 현재 정부 '가'급 보안 시설에서 운영되고 있는 씨유박스의 워크스루 얼굴인식 단말기 ‘K-Face ST’, 그리고 오피스용 얼굴인식 단말기 ‘K-Face RT’와 동일한 성능을 갖고 있다. 따라서 보안성과 안전성은 담보되어 있으며, 출입통제 및 얼굴인식을 필요로 하는 모든 사이트에서 빠르게 설치 및 적용이 가능하다."
6,[제목 : [씨유박스] 알체라 따따상 ],https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=7,2020-12-22,대표이사님 회사 매출도 좀  더 올리고홍보도 잘 해주시고상장도 빨리 합시다.알체라 좀 벤치마킹 하세요!
7,"[코멘트 : [씨유박스] 알체라 시가총액 5천억 넘어감.
씨유박스 장외기준 ]",https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=8,2020-12-23,알체라 시가총액 5천억 넘어감.씨유박스 장외기준 시총 650억씨유박스 알체라  보다 못할게 없는 회사빨리 상장 해서 가치 인정 받읍시다~
8,[제목 : [씨유박스] 10만원 되면 시총 2200억 입니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=10,2020-12-29,아직 한참 더 가야합니다.코로나로 광대한 안면인식 보안 시장이 열리고 있습니다.
9,"[제목 : [씨유박스] 씨유박스, 美'얼굴인식 알고리즘 테스트' 글로벌24위 올라 ]",https://www.38.co.kr/html/forum/board/?o=v&code=340810&no=11,2020-12-31,"씨유박스 남운성 대표는 “자동출입국심사대로부터 시작된 10년 이상의 공항 비즈니스 노하우를 기반으로 얼굴인식 인공지능 기술 연구 개발에 공격적으로 투자한 결과""라며 ""내년에는 글로벌 톱10 진입을 목표로 하고 있다""고 말했다."
