,titles,links,dates,contents
0,[제목 : [에이피알] 제가 일등이네요~ ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=1,2020-07-08,에이피알 주주동호회가 없어서 언제 생기나 하고 있었는데오랜만에 와서 그냥 검색 해봤더니 생겼네요~에이피알 날아가자~~~상장하는 그날까지~
1,"[제목 : [에이피알] 미디어커머스 1위 '에이피알', 9월 예심…IPO 출사표 ]",https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=2,2020-07-21,[팍스넷뉴스 전경진 기자] 미디어커머스 업계 1위 기업 에이피알(APR)이 오는 9월 한국거래소에 상장 예비심사를 청구한다. 코스닥 입성을 목표로 기업공개(IPO) 절차에 본격적으로 뛰어든다.
2,[코멘트 : [에이피알] 그럼 예상 공모가는 얼마정도 될까요? ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=3,2020-07-21,그럼 예상 공모가는 얼마정도 될까요?
3,[제목 : [에이피알] 작년에도 상장한다고 했다가 안했음. ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=4,2020-07-21,실적도 별로고 소송건이 있어서.....
4,[제목 : [에이피알] 작년에도 상장한다고 했다가 안했음. ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=5,2020-07-21,1분기 실적 엄청나고소송건 3억에 끝났음
5,"[제목 : [에이피알] 에이피알, 해외서도 통한다…매출 6배 껑충 ]",https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=6,2020-07-21,"에이피알이 지난해 미디어커머스 최초로 매출 1600억원 고지를 밟은 비결 중 하나는 해외사업에 있었다. 사업진출 1~2년 만에 대만과 싱가포르, 일본, 미국 등 전역에서 고르게 큰 폭으로 성장했다.에이피알 특유의 SNS(소셜네트워크서비스) 마케팅과 화장품 브랜드 경쟁력이 해외에서도 통한다는 것을 입증했다. 해외시장은 국내보다 훨씬 크다. 중장기 성장까지 기대하게 하는 대목이다.◇작년 해외법인 매출 총 250억…전년대비 470% 증가사업보고서에 따르면 에이피알 6개 해외법인은 지난해 총 매출 249억원, 당기순이익 19억원을 기록했다. 전년에 비해 매출(43억원)은 470.5%, 당기순이익(-16억원)은 흑자전환한 수치다. 지난해 전체 매출(1590억원)의 15.6%%를 해외법인들이 담당했다. 전년 전체 매출(1026억원)에서 차지했던 비중(4.2%)보다 11%포인트 가량 상승했다.에이피알은 2014년 말 국내 설립된 국내 최초 미디어커머스 업체다. 페이스북과 인스타그램 등 SNS플랫폼을 통한 마케팅으로 제품을 파는 사업모델을 도입해 안착시켰다. 제품은 뷰티와 패션에 특화돼 있다. '에이프릴스킨'과 '유재석 화장품'으로 유명한 '메디큐브'가 간판 브랜드다.업력이 짧은 탓에 해외시장에 도전한 것도 얼마되지 않는다. 미국법인(APR US)은 지난해, 대만(APR TW)과 싱가포르(APR SG), 홍콩(APR HK), 상하이(SHANGHAI APR)법인은 2018년에 설립했다. 일본법인은 (APR JAPAN) 2017년이다.매출이 가장 큰 곳은 홍콩법인으로 지난해 83억원이다. 이어 싱가포르 57억원, 대만 57억원, 일본 25억원, 미국 19억원 순이다. 순이익은 대만이 작년 13억원으로 기여도가 가장 컸다. 이어 홍콩 9.8억원, 미국 3.5억원이다. 싱가포르와 상하이는 아직 순손실을 기록하고 있다.해외진출 1~2년 만에 상하이를 제외하고 5개 법인이 모두 매출이 크게 늘고 3개 법인은 흑자전환까지 달성했다. 특히 거대 소비시장에 있는 미국법인이 설립 첫해에 적잖은 매출(19억원)과 순이익(3.4억원)까지 달성했다는 점이 고무적이다.◇화장품, 재구매 많은 소모품…해외진출로 중장기 성장해외법인은 중장기 성장을 담보한다는 점에서 의미가 있다. 우선 화장품은 재구매율이 높은 특성이 있다. 소모품이기 때문에 제품이 만족스럽고 자신의 피부에 맞으면 계속 쓰게 된다. 에이피알의 경우 간판브랜드 에이프릴스킨 매직스노우 쿠션(2.0)은 국내 재구매율이 39.1%에 이른다. 매직스노우 픽싱파운데이션은 30%, 매직스노우쿠션 화이트 (2.0)는 20,3%다.설립 이후 지난해까지 4년 동안 매출곡선이 우상향만 지속했던 이유다. 업계에선 해외법인 역시 비슷한 흐름을 보일 것으로 기대하고 있다. 해외시장은 훨씬 크다. 한국보건산업진흥원에 따르면 지난해 세계 화장품 시장 규모는 4135억달러(약 508조원)에 이른다. 더불어 2022년 4487억달러(552조원)로 시장도 더 커질 것으로 전망된다. 에이피알 해외사업을 긍정적으로 기대하게 하는 배경이다.해외시장 개척은 철저한 현지화 전략을 구사한 덕분이다. 특정 국가에서 성공한 미디어커머스가 반드시 다른 나라에서도 성공하는 것은 아니라는 의미다. 에이피알이 고유 경쟁력을 갖췄다고 볼 수 있다.에이피알 관계자는 “해외 진출 초기에는 시행착오를 많이 겪었다”며 “현지화 노력을 정말 많이 한 결과”라고 말했다."
6,[제목 : [에이피알] 에이피알 상표 분쟁 끝… “3억 배상” 2심 판결 확정 ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=7,2020-07-21,"미디어커머스 기업 에이피알이 미용비누 ‘매직스톤’을 둘러싼 5년간의 법적 분쟁을 마무리했다. 업계에선 “국내 화장품 스타트업의 대표적 성공 사례로 꼽히는 기업이 법적 리스크를 말끔히 해소했다”는 평가가 나온다.24일 법조계에 따르면 특허법원 특허24부(부장판사 윤성식)는 최근 A사 전 대표 B씨가 “상표 침해로 손해를 입었으니 배상하라”며 에이피알을 상대로 낸 20억원대 손해배상 청구소송 항소심에서 “에이피알이 B씨에게 3억원을 지급하라”는 취지의 판결을 선고했다. 이 판결에 대해 원·피고 모두 상고를 포기하면서 5년간 이어 온 법적 분쟁이 종결됐다. 항소심 재판부가 인정한 손해배상액 3억원은 1심 당시의 6억원과 비교해 절반이다. B씨 측이 최초로 제기한 손해배상 청구액 22억원의 약 14% 수준이다. 재판부는 미용비누 ‘매직스톤’ 상표 침해와 관련해 기존에 유명하지 않았던 ‘매직스톤’ 상표의 가치 등을 고려할 때 원고 측에 발생한 피해가 미미할 뿐 아니라 에이피알의 이익 역시 미미하다는 점을 감안해 이같은 판결을 내린 것으로 분석됐다. 에이피알 측 대리인은 “이번 판결은 재판부가 피고 에이피알 측이 제출한 ‘매직스톤’의 실제 매출액과 판매 단가, 판매 기간 등을 두루 검토한 결과 1심의 배상액 산정 방법에 오류가 있었음을 일부 받아들인 것으로 해석된다”고 말했다. ‘매직스톤’ 관련 상표권 분쟁은 5년 전인 2015년으로 거슬러 올라간다. 에이피알이 출시한 미용비누 ‘매직스톤’이 기존에 A사가 내놓은 제품명과 비슷하다는 점을 들어 A사 전 대표 B씨가 이의를 제기한 것이다. 에이피알 측이 “우리가 확인한 결과 ‘매직스톤’ 상표 등록 당시 A사는 폐업 상태였다”고 주장했으나 타협점을 찾기 힘들었고 결국 2017년 양측은 소송전에 돌입했다.1심은 B씨 주장을 상당 부분 인정해 “에이피알이 B씨에게 6억원을 지급하라”고 원고 일부승소 판결을 내렸다. 항소심도 B씨 주장을 일부 받아들이긴 했으나 배상액을 3억원으로 대폭 깎았다.에이피알 관계자는 “’매직스톤’ 상표는 사용하지 않은 지 오래됐고 전체 매출에서 비누가 차지하는 비중도 1%가 안 된다”며 “손해배상액 지급이 영업이나 재무에 미치는 영향은 전혀 없다”고 말했다. 이어 “5년을 끌어온 분쟁이 원만하게 마무리되면서 앞으로 신규 사업 및 해외 진출 등에 더욱 집중할 수 있게 됐다”고 덧붙였다.2014년 설립된 에이피알은 지난해까지 5년간 연평균 90%가 넘는 실적 성장세를 구가해왔다. 올 1분기는 연결 기준 매출 494억원, 영업이익 61억원의 실적을 올려 영업이익률 12.3%를 기록했다. "
7,[제목 : [에이피알] 예상 공모가? ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=8,2020-07-21,시총 적게는 3천억에서 많게는 1****지 예상한다면5만원 이상은 넘지 않을까 싶은데 주주님들은?
8,[제목 : [에이피알] 현재 거래되는 가격은 얼마정도인가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=9,2020-07-22,
9,[제목 : [에이피알] 현재 거래되는 가격은 얼마정도인가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=278470&no=10,2020-07-24,4마넌 정되 되지 않을까요?
