,titles,links,dates,contents
0,"[제목 : [오아시스]
 팬데믹시대에 내마음의 표준을 바꾸는 유통 ]",https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=1,2020-09-04,"이번 코로나가 유통시장의 판도를 5년이상 앞당겨진 변화를 가져 왔다?매장에서 인테넷의 힘을 제대로 변화 시킨것이다. 선진국도 사재기를 하는데,  우리나라의 경우는 배달민족의 후손이라서 그런지 생필품 유통에 전혀문제가 없었고 오히려 폭발적으로 물량이 증가하는것이 눈에 보였다. 온라인의 힘이 점점 거세지고 오프라인의 시대는 저물어가는 시점에 오아시스는 미리 선점을 잘한 업체인것이다. 앞으로 대박 날 것이여!"
1,[제목 : [오아시스] 오아시스 매수 했습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=2,2021-04-17,"오아이스 주식 중  pe가 보유한 물량이 시장에서 움직이는 듯 하네요.어제, 아시는 분과 함께 조금 담아보았습니다.마켓컬리에 비해 성장성이 떨어지고, 거래섹터가 작아서 아쉬운 부분은 있지만, 수혈받은 자금을 가지고, 견실한 성장 기대하고 있습니다.회사 창문 넘어로, 성남공단 내 오아시스 물류센터가 보이네요.같은 성남산업단지 기업들의 성장을 기도합니다."
2,[제목 : [오아시스] 오아시스 매수 했습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=3,2021-04-17,얼마에 사셨어요? 저도 관심이 있는데요.
3,"[제목 : [오아시스]
 오아시스 주식이요 ]",https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=4,2021-04-17,오아시스 주식을 사고싶어게시판에 올려봅니다파실분 계시면**** 팔육일팔 삼육사일로연락주세요
4,[제목 : [오아시스] 70만원이면 비싼건가요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=5,2021-04-19,"30주 70만원에 살려고하는데, 비싼건가요"
5,[제목 : [오아시스] 70만원이면 비싼건가요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=6,2021-04-22,어디서 70만원에 살수있어요?나도 사고 싶다
6,[코멘트 : [오아시스] pe가뭐에요? ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=7,2021-04-23,pe가뭐에요?
7,[제목 : [오아시스] 망설이다가 못 샀네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=8,2021-04-23,"70만원에 살까 말까 고민하고 있는데,팔렸다고 하네요.""빨간색매물검색""해서, 인천 딜러가 매도한다고 했었거든요"
8,[제목 : [오아시스] 위에글 바이럴 기가 막히네요. ㅋㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=9,2021-04-26,지금 매물 seoul거래소 밖에 없는 듯.
9,[제목 : [오아시스] 오아시스 아직 모를 때 빨리 사야지~~~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=10,2021-04-26,고고고
10,[제목 : [오아시스] 비싸도 너무 비싸네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=11,2021-04-28,"750,000원이면, 너무 비싸네요액면가 5,000원이라고는 하지만, 총각네 오픈마켓 버전 정도의 회사를. . 마켓컬리와 비교는 . . 좀 많이 다르네요"
11,[코멘트 : [오아시스] 그래도 지금이  제일 싼겁니다~ ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=12,2021-04-28,그래도 지금이  제일 싼겁니다~
12,[제목 : [오아시스] 비싸도 너무 비싸네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=13,2021-05-05,마켓컬리가 너무 비싼거죠적자에 뭐 남들 다하는 새벽배송컬리야 말로 뭐가 있나요없어질 회사 1위입니다
13,[제목 : [오아시스] 오아시스상장 언제 하나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=14,2021-05-06,오아시스상장계획 언제쯤 일까요
14,[제목 : [오아시스] 옆   집  수수수지~~ 그렇게 할 일 없냐?? ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=15,2021-05-11,옆 집 수수수지~~ 그렇게 할 일 없냐??  꼴랑 몇 주 갖고 팔지도 않을꺼면서 며칠전부터 계속 장난질이나 치고~~ 아휴~~ 인생이 불쌍타.   
15,[제목 : [오아시스] 거래는 뜸하네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=16,2021-05-13,"오아시스 개인 물량은 없고기관 물량만 있어서, 그런지  매도물량이 많지 않네요거래가능한 물량이 있어야사든 팔든, 거래가 있을텐데누가 좀 파세요"
16,[코멘트 : [오아시스] ㅋㅋㅋ 그놈 싸게 올렸길래 함 사볼라고 했더니 거래 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=17,2021-05-14,ㅋㅋㅋ 그놈 싸게 올렸길래 함 사볼라고 했더니 거래취소도 안하고 시간지연으로 취소되게끔 놔두더만요.ㅋㅋ담날 또올리길래 또 매수 걸고 했는데도 또 올려놨네요.ㅋㅋㅋㅋㅋ
17,[제목 : [오아시스] 옆   집  수수수지~~ 그렇게 할 일 없냐?? ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=18,2021-05-16,그러니까요 이런 놈을 처음봤네요. 양아X가 이런 경우에 쓰는 단어같네요
18,[제목 : [오아시스] 무상증자 안하나요(?) ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=19,2021-05-18,"1주당 1,000,000원 넘 비싸요무상증자 10,000%는 배정하면, 거래도 활발해질 듯 합니다.사장님 꼭 무상증자 해주세요아니면, 액면가 100원으로 변경해 주세요"
19,[제목 : [오아시스] 옆   집  수수수지~~ 그렇게 할 일 없냐?? ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=20,2021-06-02,"옆 집 플랫폼에 시정 조치를 요청해 경고 조치를 했다 하는데도, 계속 싸지르고 있네요. 노처녀의 히스테리로 그 주식으로라도 남들한테 관심 받고 싶은건감?? 참으로 알 수가 없는 노릇일세~~"
20,[제목 : [오아시스] 1백만원은 거래가 되는듯 합니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=21,2021-06-03,"오아시스 거래가격이 1백만원은 되는 듯 합니다.최근 오아시스 주식 매도의사를 물어오시는 딜러분이 2명 있었는데,매입 가격이 급속히 올라오고 있고, 예비 매수자들도 많이 늘었다고 하네요.참고 하세요"
21,[제목 : [오아시스] 매도가에 거래가 된다고 하네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=23,2021-06-24,"매도/매수호가 중 매도 가격으로 거래가 되고 있다고 합니다.물량을 가지고 계시는 분들이 한정되어 있고,기관 물량은 추가로 나오지 않고 있어서, 매도자 우위 시장형성 중이랍니다.파실 분들 참고하세요"
22,[제목 : [오아시스] 오늘 매수했어요~ ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=24,2021-07-01,현재 거래가로 배팅했어요.기업의 성장에 맡겨야겠지요?
23,[제목 : [오아시스] 중소기업 여부 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=26,2021-07-02,"오아시스는 중소기업인지, 중소기업외에 속하는지 아시는 분 계실까요"
24,[코멘트 : [오아시스] 오아시스도 예상말고 올해실적으로 보면 2400억정도인 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=29,2021-07-03,오아시스도 예상말고 올해실적으로 보면 2400억정도인가요?마켓컬리 1/4정도되겠네요 마켓이 3조면 오아시스는7500억정도?
25,[코멘트 : [오아시스] 7.1 샀어요. 크래** 판돈으로 일부샀네요. ㅎㅎ 잘 갈 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=30,2021-07-03,7.1 샀어요. 크래** 판돈으로 일부샀네요. ㅎㅎ 잘 갈겁니다.
26,"[제목 : [오아시스] 년 매출 3천억도 안 되는고, 영억이익 년 100억 남짓 ]",https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=31,2021-07-03,올해 반기매출은 이미 나왔고 올해 연간기준 45백억 내외 충분히찍을 겁니다. 작년 매출대비 성장율이 어마무시하죠하반기 TV커머셜도 시작한다고 하니 본격적인 외형성장에도 불이 붙을 겁니다.100조 가치 운운하는 쿠팡도 아직 적자죠1년에 40~50%씩  성장하면서 영업이익 내는건 대단한 겁니다
27,[제목 : [오아시스] 항상 지금이 가장 저렴할거임 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=33,2021-07-06,너무 잴 필요없어.어차피 지금이 가장 쌀거임.알려주는거임~~~
28,[제목 : [오아시스] 유상증자 공시네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=34,2021-07-07,"보통주 36,691신주 발행가 13627323자 배정이고 500억 정도네요신주권교부 8월 5일"
29,[제목 : [오아시스] 유상증자 공시네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=370190&no=35,2021-07-07,대단하네요130만원대에서 증자를 하다니
