,titles,links,dates,contents
0,[제목 : [이브이알스튜디오] 안녕하세요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=268,2021-04-13,반갑습니다
1,[제목 : [이브이알스튜디오] 제2의 크래프톤 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=269,2021-04-13,회사에 응원을 보냅니다.
2,[제목 : [이브이알스튜디오] 설레발 금지 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=270,2021-04-15,
3,[제목 : [이브이알스튜디오] 쉿!조용히 하고있습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=271,2021-04-15,
4,[제목 : [이브이알스튜디오] 회사에서 개발중인 것들 볼수 있는곳. ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=272,2021-04-15,"www.artstation****/artwork/kD8XZn?fbclid=IwAR11GeBHPliKnyDs3HV2FkVCBGS9cbVKByalz1-xoU46crrpi1Woi1qfwS8개발자 분이 직접 올리신 시라 만들어지는 과정을 올려주신 곳입니다.혹시나 링크가 안되시면 ""ARTSTAION"" 검색후 들어가셔서 ""EVR STUDIO"" 검색하시면 보실수 있습니다~너튜브에도 EVR STUDIO 검색하시면 SIRA 영상 감상하실수 있습니다~^^현재까지 게임개발하면서 나온 결과물이네요. 많지는 않지만, 이런 과정들을 보면서 모든 주주분들 생각들 잘해보시고 본인에게 맞는 좋은 투자하시기 바랍니다.끝으로 EVR STUDIO 주변에 홍보 많이 부탁드립니다. 회사도 비지니스적으로 올한해 열심히 활동한다고 하니, 저희 주주님들께서도 여기저기 많이 홍보해 주시기 바랍니다."
5,[코멘트 : [이브이알스튜디오] 감사합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=273,2021-04-18,감사합니다
6,"[제목 : [이브이알스튜디오] 유상증자 4,000원에 들어온게 사실인가요? ]",https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=274,2021-04-19,"이번에 유상증자 4,000원에 들어왔다고 ****에 올라와 있던데 사실인가요?****에선 어느분은 추천하고 있고 실제 주가도 높고 조심."
7,"[코멘트 : [이브이알스튜디오] 기관들 들어 온 가격이 5,000원입니다 ]",https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=275,2021-04-19,"기관들 들어 온 가격이 5,000원입니다"
8,"[제목 : [이브이알스튜디오] 루닛은 1,500원.. ]",https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=276,2021-04-20,"루닛 현재 무상증자 전  주당 5십만원..기관 투자 1회차   주당 1,500원에 상환우선주 발행..5000원이면 기관 투자 금액 높네요..장외주식 좀더 공부하시길..."
9,[제목 : [이브이알스튜디오] 시간은 흐르고 있고 어떻게 시장에 나올런지 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=277,2021-05-02,기대해봅시다
10,[제목 : [이브이알스튜디오] 뉴스주세요.심심합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=278,2021-05-07,
11,[코멘트 : [이브이알스튜디오] 죄송합니다.제가 잘 못 알고 글을 올렸네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=280,2021-05-12,죄송합니다.제가 잘 못 알고 글을 올렸네요사과드립니다
12,[제목 : [이브이알스튜디오] 다시 제대로 알게된사실을 올려주세요~^^ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=281,2021-05-12,
13,"[코멘트 : [이브이알스튜디오] 기관 투자 추가로 다음주에 들어온다고 하네요
정확 ]",https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=282,2021-05-12,기관 투자 추가로 다음주에 들어온다고 하네요정확히 얼마인지는 다음주에 발표 보시죠
14,[제목 : [이브이알스튜디오] 정말 모르고 올렸을까요~ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=283,2021-05-12,각계각층 구석구석에 전문가들이 얼마나 많은데...사과까지 하는 센스~ㅋ
15,[제목 : [이브이알스튜디오] ???? ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=284,2021-05-12,무슨말이신지 설명한번부탁드립다^^내용을 몰라서요;;
16,[코멘트 : [이브이알스튜디오] 귀신 같은 직감을 가지셨군요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=285,2021-05-13,귀신 같은 직감을 가지셨군요
17,[제목 : [이브이알스튜디오] 저만 무슨말인지 모르나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=286,2021-05-13,내용 이해가 안됩니다~^^좀풀어서 이야기해주세요두분무슨말인지 이해가전혀안되요ㅎ
18,[제목 : [이브이알스튜디오] 다음주 기대 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=287,2021-05-14,
19,[제목 : [이브이알스튜디오] 제2의 크래프톤 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=288,2021-05-14,
20,[코멘트 : [이브이알스튜디오] 어떤 사람이 유언비어 퍼뜨린 겁니다싸게 살려고~ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=289,2021-05-16,어떤 사람이 유언비어 퍼뜨린 겁니다싸게 살려고~그 어떤 사람이 바로 근처에 있지요ㅋ
21,[제목 : [이브이알스튜디오] 어떤 사람이 유언비어 퍼뜨린 겁니다싸게 살려고~ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=290,2021-05-17,아 원래 어떤이야기가 있었는지 몰랐거든요.어떤 안좋은 이야기를 했나요?
22,[제목 : [이브이알스튜디오] 누적 250억 투자유치 완료 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=291,2021-05-20,주관사 선정 후 상장준비 
23,[코멘트 : [이브이알스튜디오] 크래프톤 따라 가네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=292,2021-05-20,크래프톤 따라 가네요
24,[제목 : [이브이알스튜디오] 상장준비박차!  👍 대박 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=293,2021-05-20,
25,[제목 : [이브이알스튜디오] 시가총액이 800억 정도 되는데 250억 기관투자 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=294,2021-05-21,알토스 벤처스는 글로벌 탑 투자그룹인데현재까지 알토스벤처스가 투자했던 국내기업이브이알스튜디오쿠팡크래프톤쏘카토스배달의민족직방잡플래닛지그재그비바리퍼블리카하이퍼커넥트 등등대단한 실력입니다
26,[제목 : [이브이알스튜디오] 정답입니다.너무 저평가입니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=295,2021-05-21,
27,[제목 : [이브이알스튜디오] 2021년 결과가 나오기 시작 한답니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=296,2021-05-21,년말에 5만원 이상 예상합니다
28,[제목 : [이브이알스튜디오] 시총 23조 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=297,2021-05-21,크래프톤 잡으러 갑니다
