,titles,links,dates,contents
0,[제목 : [지아이이노베이션] 우편으로 신청하면되요 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=105,2020-08-13,우선주를 매수하신 곳에전화해서 알아보던지아님 회사 주담하고통화하면 되요
1,[제목 : [지아이이노베이션] 이분 잘 모르시네 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=106,2020-08-13,지금 기관이 보유하고 있던 우선주가 얼마나 많이 풀렸는지 잘 모르시는 것 같네요.이번에 가격이 5만원대로 떨어진것도 우선주가 때문이예요.
2,"[코멘트 : [지아이이노베이션] 기관이 초기에산거 판거겠지..생각좀하자.
머리가폼 ]",https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=107,2020-08-14,기관이 초기에산거 판거겠지..생각좀하자.머리가폼은 아니자나
3,[제목 : [지아이이노베이션] 올해 상장  하나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=108,2020-08-14,"기사신문에는 올해 하반기에 상장 예정이라고 하는데, 주주님들 현재 상장 관련 진행 현황이나 계획 일정 아시는분 있나요 애기 좀 해주세요"
4,"[코멘트 : [지아이이노베이션] 지인에게 들으니 
진행중인 추가계약건이 잇어서 상 ]",https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=109,2020-08-14,지인에게 들으니 진행중인 추가계약건이 잇어서 상장 내년말로 연기되었다고 하네요.
5,[제목 : [지아이이노베이션] 올해 상장진행합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=110,2020-08-14,
6,[코멘트 : [지아이이노베이션] 내년말은 아니고 내년초로 봅니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=111,2020-08-14,내년말은 아니고 내년초로 봅니다
7,[코멘트 : [지아이이노베이션] 내년초는 아니고 올해말로 당겨졌다고 뉴스나왔어요 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=112,2020-08-14,내년초는 아니고 올해말로 당겨졌다고 뉴스나왔어요
8,[코멘트 : [지아이이노베이션] 결국 아무도  오른다는 말이네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=113,2020-08-14,결국 아무도  오른다는 말이네요
9,[제목 : [지아이이노베이션] 전환우선주.. ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=114,2020-08-15,전환우선주..다신 안 살라고요 ㅋㅋ 전환하기 귀찮네요.. 풀때 전환하고 팔던가 하시지..전 다신 전환우선주 안삽니다 ㅋ
10,[제목 : [지아이이노베이션] 대주주라면 상장은 연말보다 내년초가 더 좋습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=116,2020-08-15,"특히 상장후 대주주기준(시총 3억으로 하향조정)에 부합하는 주주라면 (본인포함) 연말에 상장시 세금폭탄을 맞을수 있어 전 오히려 내년초에 상장이 완료되면 좋겠네요.7월에 기술성평가를 신청한다고 했는데 아직까지 소식이 없는거 보면 기술성평가도 아직 신청 안한것 같은데 그럼 더욱더 상장시점이 내년초가 될 가능성이 높아보입니다.GI-101 1상 시작, 새로운 유력 파이프라인 발굴, 기술성평가 신청이 요즘 제가 가장 기다리고 있는 뉴스인데요. 인내심 갖고 기다리면 여기 모든 주주들 내년 상반기엔 크게 웃을수 있을겁니다. 그만큼 아주 파급력이 큰 회사이구요. 개인적으론 파이프라인만 놓고 봤을땐 알테오젠보다 더 큰 파급력이 있을거라 생각합니다.모두들 성투하시고 곧 지아이이노베이션 관련 좋은소식들이 들리길 바랍니다."
11,[코멘트 : [지아이이노베이션] 기술성평가는 완료했습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=117,2020-08-16,기술성평가는 완료했습니다
12,[제목 : [지아이이노베이션] 기술성평가는 완료했습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=118,2020-08-16,신청을 완료했다는건가요 아님 통과를 했다는건가요?들은소식이 없는데..
13,[코멘트 : [지아이이노베이션] 신청해서 좋은 점수 받았다고 들었습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=119,2020-08-16,신청해서 좋은 점수 받았다고 들었습니다
14,[코멘트 : [지아이이노베이션] 와우!!! 이 좋은소식이 왜 기사로 안나온거지ㅠ.ㅠ ],https://www.38.co.kr/html/forum/board/?o=v&code=358570&no=121,2020-08-17,와우!!! 이 좋은소식이 왜 기사로 안나온거지ㅠ.ㅠ
