,titles,links,dates,contents
0,[제목 : [지엔티파마] 안티 업자들이 아침부터 발악을 발악을 하는구나 ㅋㅋㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3393,2021-12-12,
1,[제목 : [지엔티파마] 지엔티주주님들 부러워요 대박소식 대기중이군여 축 ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3396,2021-12-12,축하드립니다  짝 짝 짝
2,[제목 : [지엔티파마] 이번달에 기대하겠어용 ^^ ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3397,2021-12-12,대박
3,[제목 : [지엔티파마] 지엔티파마 궁금해요. ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3398,2021-12-12,지인이 그러던데  지엔티기술은 20년 넘은 기술이라던데 맞나요? 뉴로 2000?그리고 뉴로테크라는 사명으로 우회상장했다가 상폐된것도 맞나요?  그때도 뉴로 2000인가로 밀고간거 아닌가요?상폐되고 다시 회사명만 바꾸고 이 기술 미는건가요?뉴로테크당시 회계라던가 자금횡령등의 내용이 있었다던데 혹시 사실인가요?궁금해서 물어봐요. 아시는 분 답변부탁해요.
4,[제목 : [지엔티파마] 파이프라인 좋습니다 엄청나군여 ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3399,2021-12-12,
5,[제목 : [지엔티파마] 지엔티파마는 정보 얻을 곳 뉴스밖에 없음? ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3400,2021-12-12,일일이 기사 다 찾아야 하나. 정보 얻을만한 곳 추천 좀요
6,[코멘트 : [지엔티파마] 뉴로테크의 뇌졸중 치료신약 'Neu2000'은 현재 미국 ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3401,2021-12-12,"뉴로테크의 뇌졸중 치료신약 'Neu2000'은 현재 미국 식품의약국(FDA)의 승인하에 임상1상 시험 중이며 내년 상반기 중 임상2상을 진행할 것으로 예상된다. 일반적으로 뇌졸중 치료제는 높은 용량의 약물을 사용할 경우 독성에 따른 부작용이 문제점으로 지적돼 왔다. 세계적 제약사인 아스트라제네카의 'NYX-059'가 임상3상에서 실패했고 일본 미쯔비시제약의 '에다라본'은 일본 내에서만 판매되고 있는 실정이다.뉴로테크의 신약은 임상1상 진행 결과 고용량 투여가 가능하고 높은 안정성이 확보됨에 따라 치료제로서의 성공가능성이 높게 평가받고 있다는 게 업체측의 설명이다.임상수탁기관인 퀸타일즈에 따르면 지난 2003년 기준 미국의 뇌졸중 치료제 시장규모는 10억2700만달러, 세계적으로는 98억달러에 달하는 것으로 추정되며 약효가 뛰어난 치료제가 개발되면 시장규모는 더욱 커질 것으로 회사는 전망하고 있다.한편 뉴로테크는 유럽에서 치매치료제로 개발하고 있는 AAD-2004가 전임상 마지막 단계를 수행하고 있어 내년 중 임상 1상에 진입할 계획으로 있는 등 뇌질환 관련 파이프라인(신약후보물질)들에 대한 연구에 전력하고 있다.또 지난 8월 바이오 의약품 생산용 세포주 전문 개발 회사인 팬젠과 합병을 통해 바이오의약본부를 출범, 단기적인 캐시카우 확보에도 나섰다. 바이오의약본부는 세포치료제용 단백질 등을 생산, 공급하고 국내외 15개사에 세포주 및 생산공정을 판매하는 등 내년부터 본격적인 기술로열티을 포함한 바이오의약품 관련 매출이 기대된다.현재 뉴로테크파마는 신약들의 임상진행 자금 확보를 위해 전환사채 발행을 준비 중이며 일반공모 형식으로 발행할 계획이다. 또 이르면 올해 안에 중견 규모의 제약사를 인수, 제품 제조에 필요한 공정도 확보할 방침이다.곽병주 대표는 ""늦어도 내년초에는 국내 중견 제약사의 인수가 마무리될 것""이라며 ""미주, 유럽 등은 기술 수출 방식으로, 한국 및 아시아지역은 직접 마케팅을 할 계획이기 때문에 아시아전역을 커버할 수 있는 규모의 제약사가 대상""이라고 전했다."
7,[코멘트 : [지엔티파마] 소름돋 ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3402,2021-12-12,소름돋
8,[제목 : [지엔티파마] 홈페이지 보면 정말 대단해요 지엔티 ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3403,2021-12-12,
9,[제목 : [지엔티파마] 저도 형님이 추천해서 가입했어요 잘될거에요 ],https://www.38.co.kr/html/forum/board/?o=v&code=228980&no=3404,2021-12-12,
