,titles,links,dates,contents
0,[제목 : [컬리] 이거 마켓컬리 게시판 맞는거죠? ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=3,2019-05-02,저 투자했습니다~~
1,[제목 : [컬리] 마켓컬리 투자 어떤 경로로 하셨는지요? ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=4,2019-05-19,"마켓컬리(더파머스)에 관심있어서 알아보고 있습니다.어떤 경로로 투자하셨는지 궁금해서 여쭤봅니다.그냥 인터넷 검색으로 나오는 장외주식거래하시는 브로커 분들은 불안해서요..홈페이지에서 회사소개하는 코너가 없어서매출액, 영업이익, 이런걸 알수는 없는지요?"
2,"[코멘트 : [컬리] 마켓컬리 이전근무자로 주식을 가지고 있습니다.
회 ]",https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=6,2019-06-11,마켓컬리 이전근무자로 주식을 가지고 있습니다.회사통해서 저의 주식 매수하실 의향 있으신지요?
3,[코멘트 : [컬리] 한 주에 얼마에 파시고 또 총 몇 주 까지 파실 수 있 ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=7,2019-06-11,한 주에 얼마에 파시고 또 총 몇 주 까지 파실 수 있나요?
4,[제목 : [컬리] 마켓컬리 이전근무자로 주식을 가지고 있습니다.회 ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=11,2019-06-26,안녕하세요.저도 매수의향 있습니다. tina0516네이버 메일로 연락 부탁드려도 될까요?
5,[제목 : [컬리] 저도 투자햇읍니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=12,2019-07-03,안녕하세요 죄송하지만 어떻게 투자하셨는지 주당 얼마에 투자하셨는지 정보 공유 부탁드립니다 감사합니다
6,[제목 : [컬리] 컬리 주식 ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=15,2019-09-23,
7,[코멘트 : [컬리] 투자에 정답은 없지만 SSG 같은 대기업에서도 새벽 배 ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=16,2019-10-07,"투자에 정답은 없지만 SSG 같은 대기업에서도 새벽 배송 뛰어든 거 보면 미래에 소비자가 장보기를 어떻게 할 지 방향이 보이죠. SSG, 오아시스 등 새벽배송 경쟁자가 있기는 하지만 마켓컬리는 가격이 조금 비싼 대신 유기농, 수입식품 등 좋은 제품을 선호하는 소비자들이 타겟이예요. 1~2인 가족, 아이가 있어도 하나만 낳는 인구 구조 변화에 저는 이 소비 패턴이 맞다고 생각해서 매수 했습니다. 도움 되셨기를 ^^"
8,[제목 : [컬리] 컬리주식보유 ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=17,2019-11-03,컬리 주식 보유했네요.대박나길 기원합니다
9,[제목 : [컬리] 컬리 드디어 매수했네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=408480&no=18,2020-02-28,고생 끝에 수천주 가량 매수했습니다. 컬리 화이팅~ 
