,titles,links,dates,contents
0,[제목 : [케이뱅크] 거래가 가능하긴 하는건가요??? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=1,2020-12-13,거래가 가능하긴 하는건가요???
1,[코멘트 : [케이뱅크] 등기 보면 21년 1월 25일부터 거래 가능한 걸로 되어 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=2,2021-01-01,등기 보면 21년 1월 25일부터 거래 가능한 걸로 되어있습니다
2,[코멘트 : [케이뱅크] 오~ 그렇군요^^ ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=3,2021-01-12,오~ 그렇군요^^
3,[제목 : [케이뱅크] 물량이없는건가요?? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=4,2021-02-05,냉무
4,[제목 : [케이뱅크] 거래물량 왜 없는거죠 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=5,2021-04-07,계속 예금 10조  기사나고 하던데 아직 거래가 없는건가요 
5,[제목 : [케이뱅크] 주식 샀습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=7,2021-08-27,저 케이뱅크 주식 샀습니다.매도자 찾아서 성공했네요.뉴스에 뜰 듯 합니다 ㅎㅎ
6,[제목 : [케이뱅크] 주식 샀습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=8,2021-08-27,주식 미발행확인서까지 발급 완료 받았습니다여기저기 동네 잘 찾아보세요 ㅎㅎ 있습니다 물량
7,[코멘트 : [케이뱅크] 얼마에요? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=9,2021-09-02,얼마에요?
8,"[코멘트 : [케이뱅크] 1차 12,000원
2차 더 올랐음 ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=11,2021-09-04,"1차 12,000원2차 더 올랐음"
9,[제목 : [케이뱅크] 오 저도 케이뱅크은행 샀습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=13,2021-09-06,딱 한 군데서 파는군요. 좀 작아도 알짜만 쏙쏙 나오네요. 오아시스도 거기서 처음 70에 샀는데.필요하신분들은 잘 찾아보세요. 
10,"[제목 : [케이뱅크]
 매수완료 ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=14,2021-09-06,핫한종목이라 매도자 금방 찾았네요통일주권이라 곧 신금투계좌로도 바로 거래할 수 있겠네요
11,[제목 : [케이뱅크] 18천원 부르던데 3만원도 있고 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=16,2021-09-07,
12,"[제목 : [케이뱅크] 32,000원이네요. ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=18,2021-09-07,조금 가지고 있는데 대박이군요. 
13,[제목 : [케이뱅크] 케뱅 샀습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=19,2021-09-07,저도 샀습니다.낼 명의개서하러 갑니다.
14,[제목 : [케이뱅크] 매수완료하신 분들 주주명부 확인했나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=24,2021-09-08,이번 통주 풀릴만한 개인 물량이 어느정도일지 궁금하네요
15,[코멘트 : [케이뱅크] 17000원 매도호가가 안보이냐? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=25,2021-09-08,17000원 매도호가가 안보이냐?
16,[제목 : [케이뱅크] 카뱅..폭락중...반토막 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=27,2021-09-10,인뱅투자 조심하세요정부규제 대폭강화 + 오프뱅크도 머지않아 인뱅사업 시작합니다!
17,[코멘트 : [케이뱅크] 그래도 33조 ㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=28,2021-09-10,그래도 33조 ㅋㅋㅋ
18,[코멘트 : [케이뱅크] 12월에는 20조 아래로 떨어집니다 지켜보시죠 ㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=29,2021-09-10,12월에는 20조 아래로 떨어집니다 지켜보시죠 ㅋㅋ
19,[제목 : [케이뱅크] 케뱅 사면 위험한가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=30,2021-09-10,"헐.. 케뱅 파는곳 있다고 하길래 곧 사기로 했는데,,, "
20,[코멘트 : [케이뱅크] 언론에서 10조인정 받았고 2023년까지 상장 못하면 구 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=31,2021-09-10,언론에서 10조인정 받았고 2023년까지 상장 못하면 구주주환매신청 가능한데 이보다 안전한게 어딧나요
21,"[코멘트 : [케이뱅크] 케이뱅크 주식 문의드립니다.
안녕하세요. 질문이 있 ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=32,2021-09-11,"케이뱅크 주식 문의드립니다.안녕하세요. 질문이 있어서 댓글 드립니다.제가 케이뱅크 주식을 사고 싶은데, 매매하시는 분을 알 수 있을까요? 또한 계좌이체로 바로 매매가 가능한지 궁금합니다.현재 바로 거래가 가능한 상황인가요?"
22,[제목 : [케이뱅크] 케이뱅크 주식 어디서 살 수 있는지 알 수 있을까요? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=34,2021-09-11,안녕하세요.케이뱅크 주식 사고 싶습니다. 힌트를 주시면 감사합니다.그리고 계좌이체로 바로 거래 가능한가요?
23,[코멘트 : [케이뱅크] SSSSS ????? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=35,2021-09-11,SSSSS ?????
24,[코멘트 : [케이뱅크] 현장직원들은? 노조는? 지점은?ㅎ  노인네들 기존 고 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=36,2021-09-11,현장직원들은? 노조는? 지점은?ㅎ  노인네들 기존 고객은?
25,"[코멘트 : [케이뱅크] 011없애는데  10년넘게 걸림 
노인고객들 죽지도않고 ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=37,2021-09-11,011없애는데  10년넘게 걸림 노인고객들 죽지도않고  지점들락날락 거리는데오프뱅크가 인뱅이 됨?
26,[코멘트 : [케이뱅크] 현재 거품임~카뱅 시총 12조 될때까지 기다리세요KB ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=42,2021-09-12,현재 거품임~카뱅 시총 12조 될때까지 기다리세요KB국민은행이 21조임~ 잘 생각하세요 케뱅 적정주가는 1만원정도로 생각합니다1만원일때 현재기준 3.8조앞으로 증자 계속할것임.저는 케뱅  비추합니다!
27,[코멘트 : [케이뱅크] 현재는 인뱅에 대한 진입장벽이 있지만 현재  영업중 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=43,2021-09-12,현재는 인뱅에 대한 진입장벽이 있지만 현재  영업중인 은행에 대해서는  인뱅 허용할겁니다
28,[코멘트 : [케이뱅크] 말씀 감사합니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=46,2021-09-13,말씀 감사합니다.
29,[제목 : [케이뱅크] 케뱅 실제 매물 등장 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=48,2021-09-13,확인 매물 나왔습니다.
30,[코멘트 : [케이뱅크] 카뱅상장하고 못잡았나벼 그러니 거지꼴 못면하지 계 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=49,2021-09-13,카뱅상장하고 못잡았나벼 그러니 거지꼴 못면하지 계속 12조 될때까지 기다리라 ㅋㅋ
31,"[코멘트 : [케이뱅크]
 난 매수함 ㅎㅎ ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=50,2021-09-13,난 매수함 ㅎㅎ
32,[제목 : [케이뱅크] 난도 매수 최소5만까지봄 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=51,2021-09-15,
33,[제목 : [케이뱅크] 오 저도 케이뱅크은행 샀습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=52,2021-09-15,오데서 얼마쯤요??
34,[제목 : [케이뱅크] 언론에서 10조인정 받았고 2023년까지 상장 못하면 구 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=53,2021-09-15,맞습니다맞고요~10조는 가야조 기존 토스16조 카뱅33조니
35,[코멘트 : [케이뱅크] 나도 5만원에 내놓음 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=54,2021-09-15,나도 5만원에 내놓음
36,"[코멘트 : [케이뱅크] 카카오뱅크가 얼마나 올라갔는데, KB가 허빵이지요. ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=55,2021-09-15,"카카오뱅크가 얼마나 올라갔는데, KB가 허빵이지요. 상장만하면 20조 우습지요."
37,[코멘트 : [케이뱅크] 그럼 사보시던가 ㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=56,2021-09-15,그럼 사보시던가 ㅋ
38,[제목 : [케이뱅크] 오늘 토스 20조 기사 나옴 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=57,2021-09-15,그럼 캐뱅도 20조!
39,[제목 : [케이뱅크] 오늘 토스 20조 기사 나옴 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=58,2021-09-15,최소10조는 달성20조향해가즈아~%
40,[제목 : [케이뱅크] 어줍잖은 지식은 모두를 부끄럽게 하지. 버블 너 말이야. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=59,2021-09-15,투자를 누가 그렇게 하냐?
41,[제목 : [케이뱅크] 환매 가능하다는건 어디서 확인 할 수 있나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=61,2021-09-15,
42,[코멘트 : [케이뱅크] 기평 떨어지는 그 회사? ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=63,2021-09-16,기평 떨어지는 그 회사?
43,[제목 : [케이뱅크] 163까지 떨어짐 ㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=64,2021-09-16,어제 얼마나 많이 거래되었으면 수도권 거래소에서 1.63까지 떨어짐? ㅋㅋㅋ
44,"[코멘트 : [케이뱅크] 덜 떨어지는 늠
학교 다닐적에 공부 못했지?
떨어지 ]",https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=65,2021-09-16,덜 떨어지는 늠학교 다닐적에 공부 못했지?떨어지는 늠같으니라고
45,[제목 : [케이뱅크] 그니까 지금 쓸어야지 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=66,2021-09-16,고고
46,[제목 : [케이뱅크] 그니까 지금 쓸어야지 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=67,2021-09-16,지금이 가장 저렴할때 이거 시총 10조는 100%무조건 간다 제전재산 몰빵 한다~~가즈아~~시총 10조 향해~
47,[제목 : [케이뱅크] 케이뱅크.. ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=68,2021-09-16,비상장주식 얼마정도에 거래되나요?그리고 상장예정일은 많이 멀엇죠?
48,[코멘트 : [케이뱅크] 23년 상장합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=279570&no=69,2021-09-16,23년 상장합니다
