,titles,links,dates,contents
0,[제목 : [큐라티스] 상장궁금 ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2200,2021-08-24,큐라티스는  언제쯤 코스닥 상장될까요?
1,[코멘트 : [큐라티스] 하반기 심사청구 한다고 기사 떴음 ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2201,2021-08-24,하반기 심사청구 한다고 기사 떴음
2,[제목 : [큐라티스] 아즈텍WB 급등중(부럽네요) ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2202,2021-08-24,한꺼번에 얼마나 뛰~려고 하는지기대만땅~~행복만땅~~
3,"[코멘트 : [큐라티스] 내년 이 맘때쯤 되어있을 겁니다. 
올해 가기 어렵습 ]",https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2203,2021-08-24,내년 이 맘때쯤 되어있을 겁니다. 올해 가기 어렵습니다.
4,[코멘트 : [큐라티스] 어느 신문?  기사를 자세히 읽어 보셔! ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2204,2021-08-24,어느 신문?  기사를 자세히 읽어 보셔!
5,[제목 : [큐라티스] 아즈텍WB 상한가 ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2205,2021-08-24,큐라티스에 투자좀했다는걸로 상한가 가는데 정작 큐랒디스는 조용하네요~ 폭풍전야인가?가기시작하면 잡지도 못할건데~ 조용히 모아갑니다~^^
6,[제목 : [큐라티스] 어느 신문?  기사를 자세히 읽어 보셔! ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2206,2021-08-24,아래 제목 따끈따끈한 뉴스 읽어봐라 하반기 준비중이라고 나와 있다밥숟가락만 들고 다니지?
7,[제목 : [큐라티스] 잘알고 얘기를 하시길... ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2207,2021-08-24,제발 좀 잘알고 쓰세요...주식  아직 못샀나요...?  어서 사세요
8,[코멘트 : [큐라티스] 기평이랑. 심사청구 올해안에 진행할건데 ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2208,2021-08-24,기평이랑. 심사청구 올해안에 진행할건데
9,[제목 : [큐라티스] 장내 와 장외가 하늘과 땅 차이네요..ㅠㅠ ],https://www.38.co.kr/html/forum/board/?o=v&code=348080&no=2209,2021-08-24,
