,titles,links,dates,contents
0,[제목 : [티쓰리엔터테인먼트] 티쓰리기업 어떤가요.. ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=2,2021-11-08,매수고민중이라..
1,"[코멘트 : [티쓰리엔터테인먼트] 작년 실적도 좋았지만, 올해 실적이 역대급이라고 합 ]",https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=3,2021-11-10,"작년 실적도 좋았지만, 올해 실적이 역대급이라고 합니다.아직 예비심사 청구 움직임이 약해 거래가 뜸한데, 내년에는 심사청구 진행되지 않을까요?메타버스 관련주이기도 하고, K컨텐츠 붐을 타고 지속적인 성장이 예상되는바 투자면에서는 적기라고 할 수 있을 거 같네요.다만, 매수매도 호가 차이가 너무커서 거래 성사 가능성이 문제겠죠"
2,[제목 : [티쓰리엔터테인먼트] 티쓰리 공모가 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=4,2022-01-07,"어느정도일까옷, ??"
3,[제목 : [티쓰리엔터테인먼트] 티쓰리 공모가 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=5,2022-01-10,2500~3000원
4,[제목 : [티쓰리엔터테인먼트] 티쓰리 공모가 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=6,2022-01-10,하반기라 했는데올해 증시하반기는 안좋다고 하네요기관 1500원이라는데..2000원이하는 진입해볼수도 있을듯요시간이 많이 필요합니다.
5,[제목 : [티쓰리엔터테인먼트] 허매수 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=7,2022-01-10,왜 업체들은3000원 허매수인가요죄다 허매수..ㅜㅜ
6,[제목 : [티쓰리엔터테인먼트] 대표이사가 전문경영인으로 변경되었네요. ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=9,2022-02-16,"오너인 김기영대표에서 전문경영인 홍민균씨로 변경되었네요.상장수순을 밟고 있는 거 같네요.실적도 계속 상승중이니, 올해는 꼭 상장되길 바래 봅니다."
7,[제목 : [티쓰리엔터테인먼트] 주담과통화했는데 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=10,2022-04-03,6-7월쯤 심사청구한다고.  그럼 하반기는 상장되겠죠??
8,[제목 : [티쓰리엔터테인먼트] 21년도 영업이익 전년 대비 2.5배 상승...100억이상 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=11,2022-04-05,"게임회사에서 100억이상 영업이익을 시현하는 회사는 정말 많지 않습니다.사내유보금도 엄청나고 하여튼 21년도 경영성과가 좋아서 상장가 3,000원(시총 1500~1800억)이상은 책정되리라 봅니다.예비심사도 3-4개월안에 청구한다는 소식입니다.가치 제대로 받아서 상장하면 좋겠네요."
9,[제목 : [티쓰리엔터테인먼트] 청구 안허냐 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=12,2022-05-31,지긋지긋 허네
10,[제목 : [티쓰리엔터테인먼트] 예심신청 직전인지 주담이 연락 돌리네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=13,2022-06-02,"보유물량 등 상장 전 주주정보 파악 때문에 전화 돌리고 있다고 합니다.몇가지 물어봤는데, 심사청구 서류 준비중이라고 하고, 1-2개월안에 청구 들어간다고 합니다.늦여도 7-8월에는 청구하지 싶네요. "
11,[제목 : [티쓰리엔터테인먼트] 6/14부로 예심 청구했네요. ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=14,2022-06-15,서서히 끝이 보이기 시작하는 군요.작년 실적이 너무 좋아 기대가 됩니다.
12,[제목 : [티쓰리엔터테인먼트] 시총 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=15,2022-06-16,수요예측시 밸류 3000억~3500억(4500~5500원) 예상 볼듯~게임주 당기순이익 101억 되는상장사(피어그룹) 몇 안됩니다.상장시 시총 5000억이상(7500원) 갈듯합니다.지금 3500원 가격대 들어가도 늦지않습니다.
13,[제목 : [티쓰리엔터테인먼트] 시총 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=16,2022-06-16,지금 진입하면 30%이상으로엑싯 가능한지요6월14일 청구했으니대략 하반기 10월말~11월초 되겠네요
14,[제목 : [티쓰리엔터테인먼트] 보호예수 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=17,2022-06-16,대주주 47.66% 펀드외기관 42.62%기타소액주주 9.72%기타외에는 락자회사가 코스닥 상장사네요
15,[제목 : [티쓰리엔터테인먼트] 2천억 이하 밸류로 공모가 산정해서 따상 노릴 듯 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=18,2022-06-17,"공모가 적게 잡아 따상 전략을 노리는 게 증권사들의 일반적인 전략이라 지켜봐야겠습니다.티쓰리 밸류 3-4천억은 이견을 없으나, 흥행을 위해 저가 공모가를 통한 따상을 갈지, 초기부터 공모가를 높게 가져갈지 궁금하긴 하네요."
16,"[제목 : [티쓰리엔터테인먼트] 현재 대량거래는 주당 3천원, 소량거래는 3500원 정도 거래되는 듯요 ]",https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=19,2022-06-17,워낙 실적이 좋아서 주당 3천원 정도가 공모가가 되지 않을까 합니다.주당 3천원이면 밸류 1950억에 상장하는 거네요.
17,[제목 : [티쓰리엔터테인먼트] 자회사 한빛소프트 반기보고서를 볼때 ],https://www.38.co.kr/html/forum/board/?o=v&code=204610&no=20,2022-08-12,"반기 당기순이익이 전년보다 상당히 좋게 나왔습니다.티쓰리가 작년 역대급 이익을 냈는데, 작년보다도 좋은 반기실적으로 예비심사 청구된 상황이니 승인에는 큰 문제 없겠네요.순이익이 좋은 만큼 적정한 가치를 인정받았으면 좋겠습니다."
