,titles,links,dates,contents
0,[제목 : [펨트론] AMOLED 장비주(360 만주) ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=1,2012-12-25," 미국·일본이 선점하고 있는 SPI 장비 시장에서도 펨트론은 3D 기술을 통한 최고 기술로 경쟁 우위를 가지고 있으며 나날이 매출이 커가고 있다는 업계 소식고성능 전자현미경(SEM), 솔더페이스트 검사기(SPI), 터치패널 필름 자동검사기(TPI), AMOLED패턴 분석기를 생산하는 영업이익 급성장하는 우량 실적주 (2013년 EPS = 2,000 원 전후 수준으로 예상)"
1,[제목 : [펨트론] 펩트론(화학회사) 와 구별해야되요 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=2,2012-12-25,"펩트론(화학물질 제조업) 과 발음이 비슷하지만 Amoled 장비주인 이것과 구별을 잘해야 되겠군요. 펩트론은 영업손실회사이고 펨트론은 흑자 우량인 차이도 있지만,자본금도 비슷하여 잘 못 구해주는 수도 있을 듯"
2,[제목 : [펨트론] 2013년~~! ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=3,2012-12-26,2013년 ipo 추진 예정이라네요~
3,[제목 : [펨트론] 2013년~~! ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=4,2012-12-26," 하반기에 청구 예정이랍니다. 즉, 2013년에 영업이익이 대폭 신장 될것이므로 3 분기 실적 본 후 청구할 가능성이 높습니다."
4,[제목 : [펨트론] 요 회사 주식 어떻게 구해야 하나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=5,2012-12-28, 매물이 없네요... 장외 업자는 못 구한다고 하구.....
5,[제목 : [펨트론] 재무재표 부탁드려요 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=8,2013-01-01,"관련 터치패널검사기(TPI), 주사전자 현미경 (SEM)동급 최강의 검사속도, 10 년 역사의 AMOLED 검사기 주특기 회사아시는 분 계시면 재무 재표 좀 부탁해요"
6,[제목 : [펨트론] 순익 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=9,2013-01-01,작년 아마 삼십억정도 나왔다고 합니다. 올해는 삼성전자 물량이 많이 늘어나서 실적이 마니 늘어날거라. 얘기하네요. 삼성납품 재고가 백오십억이 이월 되서 올해 매출에 잡힌다고 하더라고요
7,[제목 : [펨트론] 년말결산 법적 기일은 담달 15 일 이내 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=11,2013-01-02,"이므로 이달 안으로 거의 추계가 잡힐 것으로 보이는 군요 . 2011 년은 160 억 확정 매출이고, 2012 년은 전년 대비 2 배 이상이라는 것이 장외 정보의 견해입니다."
8,[제목 : [펨트론] 작년매출 상당액이 올해로 이월되어 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=12,2013-01-19,"2013 년 매출 증가율과 , 영업이익 증가율이 급증할 전망입니다. 이 결과를 가지고 2014년 초에 심사 청구한다네요......"
9,"[코멘트 : [펨트론] 난 진짜 개인주주인데요, 누굴 지적하시는 지요 
펨 ]",https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=14,2013-01-31,"난 진짜 개인주주인데요, 누굴 지적하시는 지요 펨트론 회사를 유심히 관찰하는 중인데요.... 근데 누구세요 ?"
10,[제목 : [펨트론] 요 회사 주식 어떻게 구해야 하나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=15,2013-02-25,가격은 대략 주당 얼마 정도인가요?
11,[제목 : [펨트론] 요 회사 주식 어떻게 구해야 하나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=17,2013-02-26,monetapp ◎ＮＡＶＥＲ.ＣＯＭ메일주시면 알려드릴께요~
12,[제목 : [펨트론] 펨트론 요즘 시세 어떻게 되나요??? ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=18,2013-05-04,안녕하세요. 매도할 경우 주당 얼마나 받을 수 있을까요??? 감사합니다.
13,[제목 : [펨트론] 1 만원이면 팔려고 대기 중입니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=19,2013-05-06,회사 실적이 아주 좋다는 이야기를 듣고 하반기까지의 실적으로 내년 청구 예정이래서 일만원에 팔려구 대기 중입니다.
14,[코멘트 : [펨트론] 흙 속에 진주 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=20,2013-06-18,흙 속에 진주
15,[제목 : [펨트론] 기술평가 삼성전자 통과 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=21,2013-11-11,"AOT에 대한 기술평가가 삼성전자에서 통과되었다는 소식이 있네요^^  내년도 삼성 발주물량이 약500~600억원을 예상하니 그중에 250~300억원, 즉 그 절반만 수주해도 ㅎㅎ 대박입니다.곧 내년 발주물량이 나온다니 ㅋ ㅋ오랜시간 기다린 보람이 ~~IPO는 내후년으로 늦어져도 주당10,000원 이상은 곧 현실로^^"
16,[제목 : [펨트론] 펨트론 올해 발주 물량 ? ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=22,2014-03-03,Pemtron's color 3D solder paste inspection (3D SPI) device 의 발주 물량은 어느정도인지 회사측은 답변 바랍니다.
17,[제목 : [펨트론] 아프리카 오지의 다이아몬드 ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=23,2014-03-24,와도 같이 캐기 전까지는 빛나지가 않네... 에휴 언제나 빛을 보려나
18,[제목 : [펨트론] 망했네.. ],https://www.38.co.kr/html/forum/board/?o=v&code=168360&no=24,2014-04-03,적자라니.. 상장 가망이 없네..
