,titles,links,dates,contents
0,[제목 : [현대엔지니어링] 상장시기 멀중요하나 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105794,2022-04-16,부도만 안나도 다행이지
1,[제목 : [현대엔지니어링] 공모 허는거여 안허는거여. 그라믄 철회하는거여 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105796,2022-04-17,빨랑 결정하라
2,[코멘트 : [현대엔지니어링] 아직 모릅니다 어떻게 할지 발표도 안하네 이것들은 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105797,2022-04-17,아직 모릅니다 어떻게 할지 발표도 안하네 이것들은
3,[코멘트 : [현대엔지니어링] 오늘 발표할라나 아니면 세벽 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105798,2022-04-17,오늘 발표할라나 아니면 세벽
4,[코멘트 : [현대엔지니어링] 철회한지 언젠데 무슨 헛다리 집어 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105799,2022-04-18,철회한지 언젠데 무슨 헛다리 집어
5,"[제목 : [현대엔지니어링] HEC, 스마트 건설을 이룩하는 BIM기술 ]",https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105800,2022-04-18,"✅ HEC, 스마트 건설을 이룩하는 BIM기술IT기술의 급격한 진보와 함께 큰 변화를 맞이하고 있는 건설산업. 여기서 고민되는 부분은 '어떻게 하면 신속하고 효과적이게 스마트건설(Smart Construction)을 구현할 수 있을까'인데요."
6,[제목 : [현대엔지니어링] ✅ 현대ENG에게 듣는 스마트 컨스트럭션 이야기 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105801,2022-04-18,✅ 현대ENG에게 듣는 스마트 컨스트럭션 이야기
7,"[제목 : [현대엔지니어링]
 안티님, 왜 현엔에서 맨날 징징대나요? ]",https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105802,2022-04-18,
8,[제목 : [현대엔지니어링] 애플 신사옥 시사점/현대ENG의 신기술 모듈러 공법 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105803,2022-04-18,"애플 신사옥, 애플파크가 시사 하는 것, 현대ENG의 신기술 모듈러 공법죽기 전 애플 창업자 스티브 잡스가 계획한 애플 신사옥 애플 파크 ,하이테크 건축의 대명사네요.비행기에서 내려다 보면 우주선 처럼 생긴 둥근 도넛/고리 모양(직경 461m, 원둘레 1마일)의 애플 사옥 본관의 연면적은 26만128㎡(약 7만8688평), 지하6층, 지상 4층 짜리 1개 동. 이 본관 건물은 전 세계에서 가장 큰 곡면 유리 패널로 둘러싸여 있죠.공사 기간 50개월, 공사비용 50억 달러로 세계 최고 수준. 3.3㎡당 건축비 6600만원이 들었다고 해요. 1만1000대가 동시에 주차할 수 있는 지하주차장. 자연/환경 친화적인 놀라운 발상, 스스로 숨쉬는 건축물잡스 최후의 작품답게 디테일에 심혈을 쏟았다고 합니다. 즉, 주차장은 전부 지하화해 자연 경관을 훼손치 않게 하거나 세계 최대 태양광 지붕으로 건물 전체를 태양광으로 발전, 전력을 공급하는 친환경 발상.애플 신사옥의 공기는 당초 26개월, 실제는 이보다 2년이 더 소요 됨. 태양광 지붕공사, 애플파크 한 가운데 71만 평방미터의 빈 공간에 9천그루 과일 나무로 수풀을 만들어 전체부지의 80%를 공원화, 3.2km 산책로 조성 등의 조경공사로 공기는 추가로 소요됐다고 해요.에어컨과 히터, 환풍기 사용을 최소화 하자는 스티브 잡스의 뜻에 따라 친환경적인 공조 시스템과 함께 사옥전체가 스스로 숨쉬는 건축물로 탄생했다고 합니다.최적화된 공기와 현장시공을 최소화한 모듈러 공법잡스는 새로운 기술적용과 추가 자금에는 관대했지만, 그가 애플제품 개발 때 목표일정을 무섭게 밀어 붙였던 것처럼 공사 기간에는 타협치 않았다고 합니다.스티브 잡스가 원하는 최적화된 공사기간을 위한 공정계획, 여기에 동원된 창의력이 번뜩이는 공법이 있었다고 합니다. 이것은 현장시공을 최소화하여 인력과 시간을 낭비치 않게 구조물과 설비 시공은 사전제작(PC=precast), 사전 공장제작 조립(prefab.)하는 모듈러 공법을 택했다고 합니다.애플 신사옥 건설에 도입된 이와 같은 건설방식(공법)이 세계시장에 준 충격도 크지만 많은 것을 시사하고 있습니다.  공기를 단축하려면 전통적 공법이 아닌 제조업 방식으로  바뀌어야 함을 기존 건설사들이 받아 들이게 될 것으로 보입니다. 애플파크 적용 모듈러 공법, 현엔의 진화된 같은 공법, 국내유일 최초 신기술·신공법 애플 신사옥 애플파크의  공기 최적화를 가능케 한 것은 모듈러 신공법의 힘입니다. 인력과 시간 낭비를 최소화 하는 모듈러 공법.  끊임없는 기술개발 없이는 소비자의 요구를 따라갈 수 없고 기술경쟁에서 뒤처지면 도태를 면할 수 없죠.예전부터 내려온 공법이지만 제작비와 소요 공기 때문에 대량 수요가 없으면 적용키 어려운 공법이었고, 그동안 획기적인 진화가 없었습니다.국내에서는 6층 이하의 중저층에만 모듈러 공법을 적용했는데, 현대ENG이 이를 획기적으로 발전시켜 국내 유일의 신기술을 개발 국내 최초로 13층 건물에 이를 적용한 겁니다. 이것이 바로, 모듈러 유니트(unit)간 접합부 강화로 모듈러 구조물의 내진성을 향상시켜 13층 건설도 가능케한 (건설 신기술 770호)입니다.이는 중고층 모듈러 구조설계 분야에서 현대ENG의 기술이 국내 최초이며 유일하다고 하네요.현대엔지니어링은 지난 1월말, 국내 최고 13층, 모듈러 공법 적용으로 지하1층 ~지상 13층 총 106세대를 공급하는 공공주택을 착공하였습니다.이를 위해 현대엔지니어링은 주택사업의 노하우와 연구개발을 통해 축적해 온 모듈러, 스마트건설 분야의 기술을 결집시켰다고 합니다. 특히, 모듈러 구조물의 내진성능을 향상시킨 업계 최초이자 국내 유일한 건설신기술 제770호에 기반한 노하우 및 다양한 프로젝트의 구조설계 경험을 바탕으로 구조 안전성을 확보했고, 스마트 건설기술을 활용해 정밀하고 균일한 공장 제작 및 현장 품질관리를 수행한다고 합니다.다음은 현대엔지니어링의 신기술 모듈러 주택 상세 내용 입니다.====================================================현대ENG개발 국내유일 신기술, 국내 최초, 최고층 모듈러 공공주택 「용인영덕 경기행복주택」본격 착공▲ 국내 최고 13층, 모듈러 공법 적용으로 지하1층 ~지상 13층 총 106세대를 공급▲ 기존보다 공사기간 짧고 친환경 건설기술 적용으로 건설안전성도 크게 향상▲ 당사 모듈러 건축기술과 스마트 건설기술, 주택사업 노하우 결집해 모듈러 건축분야 선두지위 현대엔지니어링이 이달 말 국내 최고층 모듈러 주택사업인 「용인영덕 A2BL 경기행복주택」을 본격적으로 착공한다고 밝혔다.「용인영덕 A2BL 경기행복주택」사업은 민간참여 공공주택사업으로서 경기도시개발공사와 현대엔지니어링 컨소시엄(현대엔지니어링, 금강공업)이 사업협약을 체결하고 수행하는 주택건설 사업이다.​본 사업은 경기도 용인시 기흥구 영덕동 751-3번지 일원에 지상 13층, 전용면적 ▲17m2 102세대 ▲37m2 4세대 등 총 106세대 규모로 조성되며 2023년 초 입주 예정이고, 현대엔지니어링이 공동연구기관으로 참여 중인 중고층 모듈러 국가 R&D 연구단(국토교통부 지원)의 실증사업이기도 하다.​기존 국내 모듈러 주택은 6층 이하의 저층 규모에 한정되었으나, 중고층 모듈러 국가 R&D 연구단과 협력하여 국내 최고층(13층)에 특화된 설계, 제작, 운송 및 시공 기술을 본 사업에 구현 할 계획이다.현대엔지니어링이 시공하는 「용인영덕 A2BL 경기행복주택」에 적용되는 모듈러 공법이란 첨단 건축 기술을 바탕으로 주요 구조물과 건축 마감 등을 공장에서 선 제작한 후 현장으로 운송 및 조립해 건축물을 완성하는 방식이다. 기존 방식과 비교해 20~50%의 공기 단축은 물론 공사 과정에서 소음, 분진이 적고 폐기물도 덜 발생해 최근 차세대 친환경 건설 기술로 각광받고 있다. 또한, 현장 작업을 최소화함으로써 건설안전성을 크게 향상 시킬 수 있다.이를 위해 현대엔지니어링은 주택사업의 노하우와 연구개발을 통해 축적해 온 모듈러, 스마트건설 분야의 기술을 결집시켰다. 특히, 모듈러 구조물의 내진성능을 향상시킨 업계 최초이자 국내 유일한 건설신기술 제770호에 기반한 노하우 및 다양한 프로젝트의 구조설계 경험을 바탕으로 구조 안전성을 확보하였으며, 스마트건설기술을 활용해 정밀하고 균일한 공장 제작 및 현장 품질관리를 수행한다는 계획이다. 또한, 트렌디하고 공간효율성을 극대화한 단위 세대를 계획하였으며, 기존 공공주택 대비 동등 수준 이상의 주거성능을 확보하고자 하였다.한편, 현대엔지니어링은 향후 서울 내 최고층∙최대 규모로 조성되는 모듈러 주택사업 「가리봉 舊 시장부지 복합화 민간참여 공공주택사업(모듈러)」도 성공적으로 건립하여 고층 모듈러 시장에서 입지를 확고히 할 예정이다.현대엔지니어링은 일찍이 미래 건축 기술개발의 일환으로 지난 2012년부터 모듈러 건축기술 연구개발에 돌입해 현재까지 건설신기술 1건, 특허 11건을 획득했으며, SH∙LH 등 공공기관과의 공동연구 및 다수의 OSC(Off-Site Construction) 국가 R&D사업에도 참여하는 등 모듈러 건축 분야에서 풍부한 기술을 축적해 왔다. 또한, 전사 기술개발 조직인 스마트기술센터를 신설하면서 시공 무인화, 설계 자동화 달성을 위해 로보틱스, AI, 빅데이터, ICT 등 4차 산업혁명 관련 R&D에 박차를 가하고 있다.현대엔지니어링 관계자는 “최근 건설현장 안전사고 예방과 ESG 경영 등 환경부하 저감에 대한 중요성이 커지는 환경 속에 모듈러 건축은 미래 핵심 기술로 인정받고 있다”라며, “모듈러 공법을 지속적으로 연구∙개발해 국내 모듈러 건축분야에서 최고의 기술력을 인정받는 건설사로 발돋움할 계획이다.” 라고 말했다."
9,[제목 : [현대엔지니어링] 현대ENG 개발 자연채광 시스템: 뉴욕 맨해튼.서울 종각역 설치 ],https://www.38.co.kr/html/forum/board/?o=v&code=064540&no=105804,2022-04-18,"현대ENG 개발 자연채광 시스템: 뉴욕 맨해튼.서울 종각역 설치현대엔지니어링이 자연채광 시스템 및 신재생에너지 전문회사인 ㈜선포탈과 협력해 태양추적식 집광장치와 투광렌즈 및 산광부를 이용한 자연채광 조명시스템을 개발하고 올 첫 건설신기술(제 925호) 지정을 완료했다.이 신기술은 지상에 자연 태양광을 모으는 집광장치를 설치해 고밀도의 태양광을 실내 및 지하로 전달하는 친환경 스마트건설기술이다.광량과 빛스펙트럼의 소실 없이 고밀도 풀스펙트럼의 태양광을 실내·지하로 전송할 수 있어 지하 식생공원 조성, 도심 스마트팜, 실내 주거 및 생산시설內 자연광 투사 등 다방면에 활용되고 있다.실제로 미국 뉴욕 맨해튼에 4,000여㎡의 버려진 전차터미널 지하공간을 개조해 3,500여종의 다양한 식물이 자생할 수 있는 세계 최초의 지하공원인 ‘로라인 프로젝트(Lowline Project)’, 서울 종각역 지하 ‘태양의 정원’ 등에 현대엔지니어링과 ㈜선포탈이 개발한 이 신기술이 적용됐다.기술에 적용된 집광장치는 집광 효율을 높이기 위해 천체망원경에 쓰이는 비구면거울 원리를 적용했으며, 일몰 전까지 균일한 양의 태양광을 응축할 수 있도록 태양의 움직임을 추적하는 태양추적 기술도 활용했다.현대엔지니어링과 ㈜선포탈은 기존에 수입에 의존할 수밖에 없었던 집광장치 부품 상당부분을 공동연구를 통해 국산화에 성공함으로써 경제성을 확보하고 관련 업계 고용창출에도 기여했다.집광 과정을 통해 고밀도로 응축된 태양광은 빛의 유실을 최소화 하도록 정밀하게 설계된 전송부를 통해 지하 20m에서 최대 150m 깊이까지 태양광을 전송한다. 특히, 이 기술은 기존 태양광 전송 기술보다 20% 높은 광량과 스펙트럼을 전달할 수 있고, 최대 15배 멀리 빛을 이동시킬 수 있다는 설명이다.실내 공간으로 태양광 복사열도 함께 전송함으로써 조리개 조절을 통해 실내 습도조절 및 결로 저감에도 효과가 있어 친환경 공장이나 스마트 팩토리로의 적용성도 높을 것으로 전망되며, 풀스펙트럼 태양광 전송을 기반으로 태양광 패널을 활용한 실내 태양광 발전에까지 적용이 가능하다.IoT기술 접목을 통해 전문가가 실시간으로 원거리 모니터링과 설비 유지관리가 가능하며 집광부 및 전송부에 LED등을 설치해 햇빛이 잘 들지 않는 날에도 일정하게 날씨 광량을 관리할 수 있다는 점이 또 다른 강점으로 꼽힌다.현대엔지니어링은 본 기술을 서울시가 추진 중인 ‘제 2 태양의정원’에 적용을 제안할 예정이며, 관련 주거상품 개발을 통해 현대엔지니어링이 공급하는 주거단지에도 적용을 검토한다는 계획이다.현대엔지니어링 관계자는 “이번 자연채광 조명시스템 개발은 국내 강소기업과의 긴밀한 협력으로 맺어진 결실로 국내뿐만 아니라 해외에서도 널리 인정받는 스마트건설신기술 개발에 성공했다”며, “앞으로도 스마트건설기술분야 선두주자로서 다양한 분야의 기술 개발 및 기술 국산화를 통해 경제성을 확보하고 국내 스마트건설기술 활성화에 기여하겠다”고 말했다. "
