일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/10/18","2720","55","2.06","2690","2770","2680","29756","80634080","38781760000","14258000"
"2022/10/17","2665","60","2.30","2605","2685","2590","20467","54103355","37997570000","14258000"
"2022/10/14","2605","115","4.62","2515","2605","2515","31369","80469085","37142090000","14258000"
"2022/10/13","2490","-160","-6.04","2630","2645","2450","49340","123857970","35502420000","14258000"
"2022/10/12","2650","-30","-1.12","2630","2690","2600","50411","132410175","37783700000","14258000"
"2022/10/11","2680","-225","-7.75","2775","2860","2670","55960","151632545","38211440000","14258000"
"2022/10/07","2905","0","0.00","2875","2915","2850","30711","88809995","41419490000","14258000"
"2022/10/06","2905","45","1.57","2860","2955","2845","49052","142214920","41419490000","14258000"
"2022/10/05","2860","-60","-2.05","2950","2975","2800","19122","55029915","40777880000","14258000"
"2022/10/04","2920","40","1.39","2875","2925","2865","20415","59083310","41633360000","14258000"
"2022/09/30","2880","15","0.52","2905","2910","2700","32018","89656320","41063040000","14258000"
"2022/09/29","2865","0","0.00","2855","2950","2810","34829","100705110","40849170000","14258000"
"2022/09/28","2865","-120","-4.02","2970","3000","2770","35395","101487370","40849170000","14258000"
"2022/09/27","2985","70","2.40","2900","2985","2835","64245","185933090","42560130000","14258000"
"2022/09/26","2915","-290","-9.05","3105","3155","2910","80895","241440980","41562070000","14258000"
"2022/09/23","3205","-60","-1.84","3305","3370","3105","32362","103520140","45696890000","14258000"
"2022/09/22","3265","-75","-2.25","3220","3350","3220","28010","91625265","46552370000","14258000"
"2022/09/21","3340","10","0.30","3330","3425","3305","36759","124414415","47621720000","14258000"
"2022/09/20","3330","90","2.78","3240","3340","3240","33981","111904290","47479140000","14258000"
"2022/09/19","3240","-175","-5.12","3375","3410","3240","63621","209484750","46195920000","14258000"
"2022/09/16","3415","-35","-1.01","3445","3445","3365","22007","74834150","48691070000","14258000"
"2022/09/15","3450","-75","-2.13","3540","3540","3420","40642","141473815","49190100000","14258000"
"2022/09/14","3525","35","1.00","3450","3525","3380","27551","95044015","50259450000","14258000"
"2022/09/13","3490","100","2.95","3395","3495","3395","35730","123103635","49760420000","14258000"
"2022/09/08","3390","-5","-0.15","3410","3435","3380","35412","120668290","48334620000","14258000"
"2022/09/07","3395","-130","-3.69","3525","3540","3365","116049","395408330","48405910000","14258000"
"2022/09/06","3525","55","1.59","3470","3560","3470","70575","249221565","50259450000","14258000"
"2022/09/05","3470","-50","-1.42","3490","3525","3465","48988","170881735","49475260000","14258000"
"2022/09/02","3520","-100","-2.76","3600","3640","3505","112709","402708310","50188160000","14258000"
"2022/09/01","3620","-65","-1.76","3685","3700","3610","34348","124966020","51613960000","14258000"
"2022/08/31","3685","0","0.00","3685","3700","3610","37370","136814145","52540730000","14258000"
"2022/08/30","3685","-10","-0.27","3695","3760","3655","64695","239178420","52540730000","14258000"
"2022/08/29","3695","-150","-3.90","3700","3775","3680","75275","278871595","52683310000","14258000"
"2022/08/26","3845","25","0.65","3825","3880","3825","59205","228249545","54822010000","14258000"
"2022/08/25","3820","65","1.73","3800","3840","3755","72495","276483545","54465560000","14258000"
"2022/08/24","3755","-90","-2.34","3810","3865","3720","144678","546757590","53538790000","14258000"
"2022/08/23","3845","-315","-7.57","4000","4015","3825","338677","1331295515","54822010000","14258000"
"2022/08/22","4160","-130","-3.03","4265","4265","4005","356805","1470319180","59313280000","14258000"
"2022/08/19","4290","-100","-2.28","4360","4390","4290","115491","499237685","61166820000","14258000"
"2022/08/18","4390","-55","-1.24","4395","4545","4390","562346","2492681320","62592620000","14258000"
"2022/08/17","4445","75","1.72","4350","4445","4290","294004","1276762335","63376810000","14258000"
"2022/08/16","4370","200","4.80","4175","4770","4175","4550557","20707068320","62307460000","14258000"
"2022/08/12","4170","160","3.99","4010","4170","4010","102676","422946775","59455860000","14258000"
"2022/08/11","4010","20","0.50","4100","4100","3965","23538","94445150","57174580000","14258000"
"2022/08/10","3990","-140","-3.39","4100","4150","3990","36174","146185085","56889420000","14258000"
"2022/08/09","4130","85","2.10","4070","4195","3975","54650","222599310","58885540000","14258000"
"2022/08/08","4045","30","0.75","4015","4060","3940","19204","76895480","57673610000","14258000"
"2022/08/05","4015","-60","-1.47","4040","4075","4000","46544","187204295","57245870000","14258000"
"2022/08/04","4075","-75","-1.81","4135","4155","4050","47105","193225180","58101350000","14258000"
"2022/08/03","4150","240","6.14","3895","4280","3895","526491","2186112975","59170700000","14258000"
"2022/08/02","3910","-105","-2.62","4140","4140","3910","90503","360749945","55748780000","14258000"
"2022/08/01","4015","-25","-0.62","4040","4040","3925","26515","105574430","57245870000","14258000"
"2022/07/29","4040","-50","-1.22","4090","4115","4030","44553","181422815","57602320000","14258000"
"2022/07/28","4090","140","3.54","3970","4090","3900","64233","256846650","58315220000","14258000"
"2022/07/27","3950","-85","-2.11","3995","4080","3815","68042","271858950","56319100000","14258000"
"2022/07/26","4035","40","1.00","3995","4095","3910","34887","138899840","57531030000","14258000"
"2022/07/25","3995","-60","-1.48","4045","4045","3895","35284","139318895","56960710000","14258000"
"2022/07/22","4055","10","0.25","4045","4130","4015","79225","322288280","57816190000","14258000"
"2022/07/21","4045","100","2.53","3975","4100","3905","100443","404097370","57673610000","14258000"
"2022/07/20","3945","0","0.00","3965","3975","3915","55205","217737045","56247810000","14258000"
"2022/07/19","3945","145","3.82","3780","3960","3755","56281","217218220","56247810000","14258000"
"2022/07/18","3800","165","4.54","3660","3800","3650","48223","179456075","54180400000","14258000"
"2022/07/15","3635","-35","-0.95","3665","3700","3530","59119","212322170","51827830000","14258000"
"2022/07/14","3670","-15","-0.41","3620","3700","3620","26078","95549800","52326860000","14258000"
"2022/07/13","3685","-10","-0.27","3700","3710","3615","23707","86820865","52540730000","14258000"
"2022/07/12","3695","-130","-3.40","3820","3820","3610","35518","131057830","52683310000","14258000"
"2022/07/11","3825","25","0.66","3810","3825","3760","16956","64387760","54536850000","14258000"
"2022/07/08","3800","55","1.47","3760","3815","3605","17739","66672020","54180400000","14258000"
"2022/07/07","3745","95","2.60","3635","3765","3635","60782","225479590","53396210000","14258000"
"2022/07/06","3650","20","0.55","3695","3735","3605","29725","109018605","52041700000","14258000"
"2022/07/05","3630","150","4.31","3505","3700","3505","25958","93607995","51756540000","14258000"
"2022/07/04","3480","-135","-3.73","3600","3655","3480","37228","131331770","49617840000","14258000"
"2022/07/01","3615","-145","-3.86","3715","3785","3590","29422","107499520","51542670000","14258000"
"2022/06/30","3760","-55","-1.44","3760","3875","3730","30051","113384785","53610080000","14258000"
"2022/06/29","3815","-15","-0.39","3800","3830","3725","23966","90714905","54394270000","14258000"
"2022/06/28","3830","0","0.00","3800","3850","3790","25975","99318410","54608140000","14258000"
"2022/06/27","3830","170","4.64","3670","3875","3670","102680","389272755","54608140000","14258000"
"2022/06/24","3660","195","5.63","3470","3700","3470","55355","199668045","52184280000","14258000"
"2022/06/23","3465","-280","-7.48","3750","3770","3465","106676","385965155","49403970000","14258000"
"2022/06/22","3745","-255","-6.38","3990","4045","3705","70158","268739790","53396210000","14258000"
"2022/06/21","4000","5","0.13","3965","4040","3930","40474","160968445","57032000000","14258000"
"2022/06/20","3995","-210","-4.99","4175","4205","3890","128712","512534910","56960710000","14258000"
"2022/06/17","4205","-95","-2.21","4175","4245","4065","80613","332933750","59954890000","14258000"
"2022/06/16","4300","135","3.24","4165","4330","4165","46833","199361675","61309400000","14258000"
"2022/06/15","4165","-195","-4.47","4275","4370","4100","92237","387513080","59384570000","14258000"
"2022/06/14","4360","-115","-2.57","4340","4430","4290","79443","344769595","62164880000","14258000"
"2022/06/13","4475","-155","-3.35","4550","4605","4465","78425","352770850","63804550000","14258000"
"2022/06/10","4630","-110","-2.32","4735","4735","4620","66448","308944835","66014540000","14258000"
"2022/06/09","4740","-110","-2.27","4850","4850","4650","105909","497311720","67582920000","14258000"
"2022/06/08","4850","-40","-0.82","4890","4985","4810","37934","184032355","69151300000","14258000"
