, 선행종합지수(2015=100),　　　 재고순환지표(%p),　　　 경제심리지수,　　　 기계류내수출하지수(선박제외)(2015=100),　　　 건설수주액(실질)(십억원),　　　수출입물가비율(2015=100),　　　코스피(1980.1.4=100),　　　 장단기금리차(%p), 동행종합지수(2015=100),　　　 광공업생산지수(2015=100),　　　 서비스업생산지수(도소매업제외)(2015=100),　　　 건설기성액(실질)(십억원),　　　 소매판매액지수(2015=100),　　　 내수출하지수(2015=100),　　　 수입액(실질)(백만불),　　　 비농림어업취업자수(천명), 후행종합지수(2015=100),　　　 생산자제품재고지수(2015=100),　　　 소비자물가지수변화율(서비스),　　　 소비재수입액(실질)(백만불),　　　 취업자수(천명),　　　 CP유통수익률(%p)
2000.01,58.5,-,-,-,-,-,-,-,52.3,-,-,-,-,-,-,-,54.3,-,-,-,-,-
2000.02,58.7,-,-,-,-,-,-,-,52.6,-,-,-,-,-,-,-,54.8,-,-,-,-,-
2000.03,59,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,55.2,-,-,-,-,-
2000.04,58.8,-,-,-,-,-,-,-,53.5,-,-,-,-,-,-,-,55.5,-,-,-,-,-
2000.05,58.8,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,56,-,-,-,-,-
2000.06,59.1,-,-,-,-,-,-,-,54.5,-,-,-,-,-,-,-,56.5,-,-,-,-,-
2000.07,59.3,-,-,-,-,-,-,-,55.3,-,-,-,-,-,-,-,56.9,-,-,-,-,-
2000.08,59.8,-,-,-,-,-,-,-,55.7,-,-,-,-,-,-,-,57.2,-,-,-,-,-
2000.09,59.5,-,-,-,-,-,-,-,55.8,-,-,-,-,-,-,-,57.6,-,-,-,-,-
2000.10,58.8,-,-,-,-,-,-,-,55.9,-,-,-,-,-,-,-,58,-,-,-,-,-
2000.11,57.5,-,-,-,-,-,-,-,55.9,-,-,-,-,-,-,-,58.6,-,-,-,-,-
2000.12,56.9,-,-,-,-,-,-,-,56,-,-,-,-,-,-,-,59,-,-,-,-,-
2001.01,56.2,-,-,-,-,-,-,-,56.1,-,-,-,-,-,-,-,59.2,-,-,-,-,-
2001.02,56.4,-,-,-,-,-,-,-,56.3,-,-,-,-,-,-,-,59.3,-,-,-,-,-
2001.03,56.7,-,-,-,-,-,-,-,56.5,-,-,-,-,-,-,-,59.7,-,-,-,-,-
2001.04,57.1,-,-,-,-,-,-,-,56.8,-,-,-,-,-,-,-,60.1,-,-,-,-,-
2001.05,57.7,-,-,-,-,-,-,-,57.2,-,-,-,-,-,-,-,60.6,-,-,-,-,-
2001.06,58,-,-,-,-,-,-,-,57.6,-,-,-,-,-,-,-,60.9,-,-,-,-,-
2001.07,58.2,-,-,-,-,-,-,-,57.6,-,-,-,-,-,-,-,61,-,-,-,-,-
2001.08,58.3,-,-,-,-,-,-,-,57.8,-,-,-,-,-,-,-,61.1,-,-,-,-,-
2001.09,58.6,-,-,-,-,-,-,-,58.5,-,-,-,-,-,-,-,61.3,-,-,-,-,-
2001.10,59,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,61.5,-,-,-,-,-
2001.11,60,-,-,-,-,-,-,-,59.6,-,-,-,-,-,-,-,61.8,-,-,-,-,-
2001.12,61.2,-,-,-,-,-,-,-,59.7,-,-,-,-,-,-,-,62.1,-,-,-,-,-
2002.01,62.5,-,-,-,-,-,-,-,60.3,-,-,-,-,-,-,-,62.3,-,-,-,-,-
2002.02,63.6,-,-,-,-,-,-,-,60.9,-,-,-,-,-,-,-,62.5,-,-,-,-,-
2002.03,64.8,-,-,-,-,-,-,-,61.7,-,-,-,-,-,-,-,62.4,-,-,-,-,-
2002.04,65.2,-,-,-,-,-,-,-,62.2,-,-,-,-,-,-,-,62.7,-,-,-,-,-
2002.05,65.2,-,-,-,-,-,-,-,62.4,-,-,-,-,-,-,-,62.9,-,-,-,-,-
2002.06,64.7,-,-,-,-,-,-,-,62.5,-,-,-,-,-,-,-,63.2,-,-,-,-,-
2002.07,64.5,-,-,-,-,-,-,-,62.8,-,-,-,-,-,-,-,63.4,-,-,-,-,-
2002.08,64.3,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,63.7,-,-,-,-,-
2002.09,64.1,-,-,-,-,-,-,-,63.5,-,-,-,-,-,-,-,63.9,-,-,-,-,-
2002.10,63.7,-,-,-,-,-,-,-,63.7,-,-,-,-,-,-,-,64.1,-,-,-,-,-
2002.11,63.8,-,-,-,-,-,-,-,64.1,-,-,-,-,-,-,-,64.2,-,-,-,-,-
2002.12,64,-,-,-,-,-,-,-,64.2,-,-,-,-,-,-,-,64.4,-,-,-,-,-
2003.01,64.1,-0.4,101.4,88.7,8206.3,148.2,604.9,0.99,64.4,55.0,65.2,8552.5,71.8,77.1,20816.0,20182.1,64.9,48.0,2.9,2421.1,22277.1,4.6
2003.02,64.1,-0.9,100.1,87.5,8074.0,148.9,595.1,0.84,64.3,55.1,65.7,8443.2,70.5,76.3,20749.0,20162.3,65.1,48.8,3.1,2390.2,22239.8,4.7
2003.03,64.1,-1.8,98.5,86.4,7907.8,149.7,591.1,0.72,64.3,55.2,66.3,8344.5,69.8,75.6,20673.4,20152.4,65.4,49.5,3.4,2364.9,22206.6,4.8
2003.04,64.0,-6.3,97.5,85.1,7816.1,150.3,576.1,0.61,64.1,55.4,66.9,8228.9,68.0,74.7,20615.6,20122.7,65.7,50.4,3.7,2329.4,22165.5,5.0
2003.05,64.0,-8.6,95.5,84.2,7586.2,151.2,583.4,0.53,64.2,55.3,67.6,8150.7,68.5,74.3,20523.1,20132.7,65.9,50.9,3.8,2315.3,22140.4,5.1
2003.06,64.5,-6.9,95.8,84.0,8916.9,151.6,620.9,0.35,64.4,55.5,68.0,8305.6,68.7,74.4,20500.6,20148.6,66.1,51.3,3.9,2348.2,22131.3,5.0
2003.07,64.7,-7.0,94.0,81.6,9539.9,151.0,660.1,0.45,64.6,55.1,68.1,8529.4,69.2,73.4,20305.5,20213.2,66.2,51.3,3.9,2385.3,22168.1,4.8
2003.08,65.2,-5.3,95.0,80.9,10511.5,150.6,699.5,0.73,64.8,55.7,68.3,8624.0,69.4,73.3,20166.8,20250.1,66.4,51.5,3.9,2432.1,22191.8,4.5
2003.09,65.5,-5.5,97.0,81.0,9731.1,150.6,725.8,0.91,65.0,56.0,68.3,8493.2,69.9,73.6,20398.8,20279.5,66.5,51.4,3.9,2456.2,22210.9,4.3
2003.10,66.0,-2.1,99.0,82.6,9556.1,149.9,743.5,1.06,65.5,57.8,68.1,8493.2,70.1,75.6,20778.4,20295.9,66.7,51.1,3.8,2555.1,22224.8,4.2
2003.11,66.2,-0.7,100.3,82.8,8169.6,149.2,762.6,1.1,65.7,58.6,68.2,8512.9,70.3,76.1,20966.5,20331.2,66.9,50.7,3.8,2656.7,22259.7,4.2
2003.12,66.5,0.6,101.5,81.8,7589.1,148.1,782.3,1.31,66.2,59.5,67.5,8821.3,69.9,76.9,21383.3,20406.4,67.1,50.5,3.6,2787.8,22340.3,4.3
2004.01,66.8,1.9,103.9,82.1,7161.8,147.9,811.9,1.35,66.6,59.8,67.5,9009.1,70.2,77.2,21704.4,20516.6,67.4,50.5,3.5,2841.1,22464.2,4.5
2004.02,67.2,4.3,105.2,82.3,7279.6,147.5,838.1,1.37,67.2,61.1,67.5,9100.2,70.4,78.2,22074.7,20641.5,67.7,51.2,3.5,2833.3,22615.4,4.5
2004.03,67.5,5.8,106.1,82.3,7125.7,146.5,862.9,1.3,67.5,61.7,68.2,9024.3,70.4,77.8,22365.5,20722.2,68.0,51.8,3.4,2900.6,22718.2,4.4
2004.04,67.7,7.9,106.8,82.3,6959.0,145.5,883.4,1.21,67.7,62.5,68.5,8925.4,69.7,77.8,22627.7,20748.6,68.1,52.3,3.2,2950.3,22731.6,4.2
2004.05,67.6,8.8,104.2,81.9,6773.7,144.5,860.5,1.08,67.7,62.7,68.6,8869.0,68.9,77.1,22865.0,20724.4,68.2,52.6,2.9,2954.7,22661.1,4.1
2004.06,67.6,8.7,101.3,82.1,6608.0,144.3,825.8,0.98,67.8,62.6,68.7,8691.1,69.8,76.7,22926.5,20727.4,68.2,52.6,2.7,2738.1,22621.4,4.1
2004.07,67.5,8.0,97.1,81.5,7291.8,144.0,772.2,0.84,67.7,62.1,68.3,8706.4,70.2,75.8,22880.1,20723.6,68.3,52.9,2.8,2567.7,22588.1,4.0
2004.08,67.4,6.2,96.1,81.1,7191.5,143.7,762.7,0.65,67.6,61.5,67.9,8745.8,70.2,75.7,22704.0,20713.4,68.4,53.1,2.9,2433.8,22575.8,4.0
2004.09,67.6,5.4,96.5,80.4,7201.2,144.1,784.1,0.45,67.8,61.8,67.7,8942.8,70.2,75.7,22400.8,20768.4,68.6,53.4,3.0,2415.9,22617.6,3.9
2004.10,67.8,2.3,96.5,80.8,7831.4,144.0,818.4,0.26,68.0,62.4,67.8,8883.6,69.8,76.0,22460.1,20819.1,68.8,53.5,3.0,2416.6,22677.4,3.7
2004.11,67.9,0.5,95.1,79.8,7864.7,144.2,849.4,0.19,68.2,63.0,67.9,8695.5,70.2,76.0,22466.0,20891.0,69.0,53.8,3.1,2366.3,22741.4,3.6
2004.12,68.0,-2.4,92.7,79.7,8890.7,143.4,861.8,0.15,68.1,63.0,67.5,8542.6,69.9,76.1,22614.6,20894.3,69.2,54.5,3.1,2325.9,22777.9,3.6
2005.01,68.1,-4.0,92.7,79.2,8003.1,142.6,879.9,0.31,68.3,63.8,67.9,8492.4,69.8,76.6,22667.1,20884.8,69.4,55.6,3.1,2314.0,22781.2,3.6
2005.02,68.5,-5.9,97.9,79.4,7532.0,141.1,913.7,0.65,68.4,63.7,68.5,8521.2,70.0,76.7,22273.1,20896.8,69.6,56.1,3.1,2304.9,22810.5,3.6
2005.03,69.1,-4.4,104.7,79.6,8092.1,138.6,952.0,0.96,68.8,64.5,69.5,8626.8,70.0,77.0,22297.0,20907.4,69.8,56.3,2.9,2322.8,22808.9,3.7
2005.04,69.3,-5.3,109.6,79.5,8019.6,135.8,969.4,1.04,68.9,64.5,69.6,8766.4,70.7,76.6,22158.4,20931.3,69.9,56.4,2.7,2300.3,22818.4,3.7
2005.05,69.3,-6.0,108.2,79.4,9361.3,133.3,960.9,0.84,69.2,64.8,69.6,9005.2,71.1,76.7,22387.1,20953.5,70.2,57.0,2.5,2374.9,22823.0,3.7
2005.06,69.2,-5.6,105.3,79.5,8597.9,131.6,961.9,0.72,69.5,64.8,70.0,9085.8,71.5,76.9,22618.2,20965.5,70.3,57.1,2.4,2393.6,22803.0,3.7
2005.07,69.6,-3.4,101.6,81.4,9048.7,130.6,996.3,0.82,69.8,65.1,70.5,9084.2,71.8,77.8,22818.9,20984.9,70.5,57.1,2.3,2421.2,22797.7,3.6
2005.08,70.1,0.1,101.5,82.9,8506.9,129.0,1050.6,1.09,70.2,65.6,71.1,9047.6,72.2,78.7,22976.6,20995.4,70.6,56.5,2.2,2443.6,22781.8,3.6
2005.09,70.4,-0.7,103.0,83.2,8016.4,127.8,1110.5,1.38,70.3,65.7,71.2,8991.8,72.5,78.6,23130.4,21022.0,70.8,56.7,2.1,2491.1,22783.9,3.7
2005.10,70.7,-0.7,105.1,82.8,7273.7,127.2,1154.6,1.54,70.6,66.4,71.5,8910.8,72.7,78.6,23323.8,21066.7,71.0,56.6,2.1,2509.5,22815.0,3.9
2005.11,71.1,-0.2,107.0,82.1,6949.3,127.4,1205.1,1.69,71.1,67.9,72.0,8925.6,73.3,79.4,23581.6,21125.2,71.3,57.0,2.0,2525.8,22877.7,4.0
2005.12,71.5,1.9,108.9,82.1,6846.5,127.3,1261.0,1.71,71.6,68.8,72.2,8832.4,74.7,80.5,23962.7,21158.7,71.6,57.5,2.0,2578.7,22929.4,4.2
2006.01,72.1,3.0,112.0,84.7,7051.1,126.1,1323.8,1.69,72.1,70.0,72.9,8719.2,75.2,82.0,24240.0,21206.2,71.9,58.4,2.0,2595.4,23002.3,4.3
2006.02,72.3,2.8,114.3,86.6,7286.8,124.6,1353.3,1.43,72.3,70.0,73.1,8547.2,75.2,82.3,24643.5,21232.0,72.2,59.3,2.1,2619.4,23049.5,4.4
2006.03,72.5,1.0,115.9,88.3,7359.1,123.4,1350.9,1.27,72.6,70.8,73.7,8669.6,74.8,83.0,24773.3,21275.4,72.5,60.2,2.2,2609.5,23104.2,4.4
2006.04,72.5,1.0,116.1,87.4,7108.2,121.8,1363.1,1.15,72.9,70.8,73.7,8842.8,75.2,82.3,24865.7,21310.4,72.9,60.8,2.4,2695.0,23114.6,4.5
2006.05,72.7,1.6,113.8,90.1,7206.6,119.7,1378.8,1.11,73.2,71.3,74.1,8960.8,75.8,82.8,24929.7,21356.1,73.2,61.6,2.6,2737.5,23134.3,4.5
2006.06,72.6,1.0,109.7,90.6,7453.1,118.1,1351.3,1.01,73.3,71.4,74.0,8857.0,76.0,82.7,24969.6,21388.7,73.5,62.2,2.7,2786.6,23142.9,4.5
