,총지수,식료품 및 에너지제외 지수,식료품 및 에너지
2000.01,62.456,64.697,-
2000.02,62.647,64.828,-
2000.03,62.962,65.286,-
2000.04,62.709,65.352,-
2000.05,62.393,65.156,-
2000.06,62.709,65.221,-
2000.07,62.962,65.483,-
2000.08,63.277,65.613,-
2000.09,64.098,65.94,-
2000.10,64.035,66.006,-
2000.11,63.656,66.006,-
2000.12,63.908,66.202,-
2001.01,64.604,66.792,-
2001.02,64.919,67.054,-
2001.03,65.488,67.512,-
2001.04,65.74,67.709,-
2001.05,65.677,67.839,-
2001.06,65.866,67.906,-
2001.07,65.992,67.839,-
2001.08,66.245,67.971,-
2001.09,66.182,68.102,-
2001.10,66.182,68.102,-
2001.11,65.804,68.166,-
2001.12,65.93,68.363,-
2002.01,66.308,68.626,-
2002.02,66.624,68.822,-
2002.03,67.003,69.411,-
2002.04,67.382,69.739,-
2002.05,67.634,69.87,-
2002.06,67.571,69.87,-
2002.07,67.382,69.936,-
2002.08,67.824,70.066,-
2002.09,68.204,70.263,-
2002.10,68.013,70.46,-
2002.11,68.077,70.59,-
2002.12,68.391,70.787,-
2003.01,68.835,71.049,-
2003.02,69.213,71.245,-
2003.03,70.034,71.965,-
2003.04,69.908,72.162,-
2003.05,69.782,72.227,-
2003.06,69.592,72.293,-
2003.07,69.53,72.227,-
2003.08,69.845,72.293,-
2003.09,70.477,72.489,-
2003.10,70.539,72.489,-
2003.11,70.413,72.424,-
2003.12,70.73,72.817,-
2004.01,71.172,73.014,-
2004.02,71.487,73.079,-
2004.03,72.181,73.668,-
2004.04,72.181,73.734,-
2004.05,72.119,73.799,-
2004.06,72.119,73.864,-
2004.07,72.561,74.126,-
2004.08,73.191,74.192,-
2004.09,73.191,74.192,-
2004.10,73.191,74.192,-
2004.11,72.75,74.126,-
2004.12,72.877,74.389,-
2005.01,73.594,74.979,-
2005.02,73.892,75.129,-
2005.03,74.338,75.507,-
2005.04,74.413,75.584,-
2005.05,74.338,75.584,-
2005.06,74.114,75.584,-
2005.07,74.413,75.584,-
2005.08,74.636,75.735,-
2005.09,75.008,75.735,-
2005.10,74.859,75.735,-
2005.11,74.561,75.811,-
2005.12,74.785,75.961,-
2006.01,75.231,76.112,-
2006.02,75.381,76.339,-
2006.03,75.827,76.867,-
2006.04,75.902,76.943,-
2006.05,76.05,77.171,-
2006.06,75.902,77.094,-
2006.07,76.199,77.246,-
2006.08,76.645,77.246,-
2006.09,76.868,77.398,-
