,titles,links,dates,contents
0,[제목 : [LGCNS] 맥쿼리 '대박' ],https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56457,2022-05-02,"[시그널] 맥쿼리 PE, LG CNS에 1조 베팅해 '대박' [서울경제]맥쿼리PE가 이번 리캡을 통해 인수 금융 규모를 7000억 원이나 늘리면서 투자 원금을 회수할 수 있게 된 것은 LG CNS의 몸값이 2년 만에 크게 오른 덕분이다. 맥쿼리 측이 투자를 집행하기 전인 2019년 말 LG CNS의 매출은 3조 2800억 원이었지만 지난해에는 4조 1400억 원으로 증가했다. 특히 영업이익이 같은 기간 2128억 원에서 3285억 원으로 급증하면서 기업 가치 성장을 견인했다. IB 업계의 한 관계자는 “LG CNS의 기업 가치가 2년 만에 1조 원가량 커진 것으로 파악된다”고 설명했다.지난 2년간 LG CNS는 총 1695억 원의 배당을 지급해 맥쿼리PE가 600억 원가량의 배당 수익을 챙기기도 했다. 맥쿼리PE는 리캡이 완료되면 LG CNS 지분 투자금 4500억 원을 전액 회수해 맥쿼리와 연기금 등 주요 출자자에게 특별 배당의 형태로 돌려줄 방침이다.맥쿼리PE는 또 35%의 지분을 보유한 2대주주로 향후 LG CNS의 상장 시 추가 투자 수익도 기대하고 있다. 글로벌 인프라 투자에 명성이 높은 맥쿼리는 LG CNS의 해외 사업 확장에 지원군 역할을 하면서 신규 IT 서비스 육성에도 관심을 보이고 있다.LG CNS는 최근 1년 동안 인더포레스트(운영기술 보안)·로보(AI 음성 합성)·티지360테크놀로지스(비식별 데이터)·라이트브레인(사용자 경험 컨설팅)·오픈소스컨설팅(클라우드) 등 5개 기업들에 투자하며 신규 사업의 보폭을 넓히고 있다.IB 업계에선 맥쿼리PE가 리캡을 추진하는 규모가 LG CNS의 최근 성장세를 넘어서 인수 금융 금리 등을 놓고 진통을 예상하기도 하지만 LG CNS가 이르면 내년 상장이 예상돼 무난히 자금을 확보할 것이라는 관측이 우세하다."
1,"[코멘트 : [LGCNS] 정보 잘 읽었습니다
내년이 아니라  올해 꼭  상장했 ]",https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56458,2022-05-02,정보 잘 읽었습니다내년이 아니라  올해 꼭  상장했음 간전히 간절히  버랍니다 ㅠ
2,"[코멘트 : [LGCNS] 직상장했으면 회사,주주모두좋은걸 죽쒀개줬지 ]",https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56462,2022-05-02,"직상장했으면 회사,주주모두좋은걸 죽쒀개줬지"
3,[코멘트 : [LGCNS] LGCNS가 하루 빨리 상장해야 하는 이유가 이 기사에 ],https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56464,2022-05-02,LGCNS가 하루 빨리 상장해야 하는 이유가 이 기사에 나와 있네요.-제일 마지막 문단
4,"[코멘트 : [LGCNS] 이주식을 3만원대에 산게 베팅이냐?
기자도 무식하고 ]",https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56465,2022-05-02,이주식을 3만원대에 산게 베팅이냐?기자도 무식하고 맥코리도 먹튀고...이래저래 개미들만 죽어나네.
5,"[제목 : [LGCNS] LG CNS, IPO 본격착수~ (인베스트 조선) ]",https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56466,2022-05-02,주요 증권사에 RFP 발송!
6,[코멘트 : [LGCNS] 주식 양도세도 2년간 유예될꺼 같던데~ ],https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56467,2022-05-02,주식 양도세도 2년간 유예될꺼 같던데~
7,[제목 : [LGCNS] 참 반가운 소식이네요 ~ ],https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56469,2022-05-02,지속적인 발전을 ~~^^
8,[제목 : [LGCNS] 설마했는데 진짜 하네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56470,2022-05-02,4월 말에 현직에 있는 동기와 통화했는데 올해 안에 상장한다고 하길래 22년간 안하던 회사가 갑자기 한다는 것은 오바라고 면박 줬는데 그 친구 말이 맞았네요. 친구에게 미안하다고 해야겠네요
9,"[제목 : [LGCNS] LG CNS, 연내 상장한다!!!!! ]",https://www.38.co.kr/html/forum/board/?o=v&code=064400&no=56471,2022-05-02,"LG CNS, 연내 상장한다…""몸값 5兆 이상"" [한경경제]주관사 선정 위한 제안서 발송이달 PT 통해 주관사 선정하반기 코스피 상장 목표조달자금으로 마이데이터 등 투자지분 35% 보유 맥쿼리 잭팟 기대LG그룹 계열의 정보기술(IT) 서비스업체인 LG CNS가 기업공개(IPO)를 추진한다.2일 투자업계에 따르면 LG CNS는 이날 국내외 증권사를 대상으로 IPO 주관사 선정을 위한 입찰제안요청서(RFP)를 발송했다. 이달 경쟁 프레젠테이션을 거쳐 주관사를 선정하고 하반기 유가증권시장에 입성한다는 계획이다. 상장 시 기업가치는 최소 5조원 수준이 될 것으로 업계는 보고 있다. 삼성그룹의 IT 서비스 업체인 삼성SDS의 2일 종가 기준 시가총액은 11조5293억원이다.LG CNS는 상장을 통해 조달한 자금으로 신성장사업에 투자할 것으로 전망된다. 이 회사는 B2B(기업 간 거래) 중심에서 개인 고객을 대상으로 한 B2C 사업으로 사업 영역을 확장하고 있다. 마이데이터 사업이 대표적이다.이제 진짜 상장하려나 보네요~"
