,titles,links,dates,contents
0,[제목 : [뉴로메카] 드디어 ^^ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=1,2021-05-10,예전부터 기다렸는데 이제서야 생겼네요화이팅입니다
1,[제목 : [뉴로메카] 뉴로메카는 언제쯤 다시 도전할까요? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=2,2021-05-11,제가 알기론 기평에서 두번 안된걸로 아는데올 하반기나 내년쯤 생각하는데?혹시 정보 가지고 계신분 없으신지? 
2,[제목 : [뉴로메카] 뉴로메카는 언제쯤 다시 도전할까요? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=3,2021-05-14,저도 궁금합니다
3,[제목 : [뉴로메카] 뉴로메카는 언제쯤 다시 도전할까요? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=4,2021-05-17,바램은 올해지만 내년  정도 아닐까요?레인보우 로보틱스도 늦게 시도했지만 이미 상장됐고 성공도 했으니올해아님 내년봅니다
4,[제목 : [뉴로메카] 뉴로메카는 언제쯤 다시 도전할까요? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=5,2022-01-24,뉴로메카는 기술평가 A를  작년 하반기에 통과하였고 현재는 2월말까지 통일주권  발행사무를 진행하고 있다고 들었습니다.따라서 통일주권 발행이 완료되는 2월말 서류준비해서 3월에 예심청구가 가능하리라 예상해 봅니다.
5,[제목 : [뉴로메카] 통일(전자)증권 발행후 예심심청 가능성 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=6,2022-02-16,"뉴로메카가 통일주권 발행을 진행중에 있고, 22년 2월 22일 통일주권이 발행예정에 있습니다.작년에 예심신청 이야기가 있었으나, 통일주권도 발행하지 않고, 코스닥 예심신청하는게 이치에 맞지않는 터라 이번에는 통일주권 발행 후 이루어지는 걸 보니 예심청구가 가까워 진겁니다.기술특례상장을 위한 기술평가도 A평점 획득으로 상장 걸림돌이 사라졌기에, 올 상반기에는 상장이 이루어질 것으로 보이네요."
6,[제목 : [뉴로메카] 예심청구 했네요^^ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=7,2022-04-04,"3월말 뉴로메카 예심청구 했네요요즘 예심심사가 많이 밀려 있다고하니 이걸 감안하더라도 7,8월이면 거래되겠네요"
7,[제목 : [뉴로메카] 상장시기 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=8,2022-07-20,거래소 승인이 왜이리 안나는 걸까요 ㅜㅜ 
8,[코멘트 : [뉴로메카] 미승인 아닌가요! ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=9,2022-07-20,미승인 아닌가요!
9,[제목 : [뉴로메카] 로봇주? 언제적 로봇주?? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=10,2022-07-20,이딴 주식은 시총 300억이 적정하다고 본다주주구성을 봐라이거 뭐 기관놈들 엑시트 창구도 아니고 개미들 등쳐먹으려고 개수작들이네 통과시켜주는거 자체가 넌센스
10,[제목 : [뉴로메카] 미승인 아닌가요! ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=11,2022-07-20,7월말 8월 승인난다고 하네요~~~!
11,[제목 : [뉴로메카] 로봇주? 언제적 로봇주?? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=12,2022-07-20,너 주식 없지? ㅋㅋㅋ 
12,[제목 : [뉴로메카] 로봇주? 언제적 로봇주?? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=13,2022-07-20,물량 많이 돌렸냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,[제목 : [뉴로메카] 기관 전부 매도 대기중 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=15,2022-07-20,주주명부보니 거의 기관이네 개노답
14,[코멘트 : [뉴로메카] 쓸데없는 소리 하시지 마시고 승인후 공모시 확약보고 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=16,2022-07-20,쓸데없는 소리 하시지 마시고 승인후 공모시 확약보고 얘기해도 안늦음
15,[제목 : [뉴로메카] 야 그놈의 확약? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=17,2022-07-21,그거 한달 석달 걸어놓고 어차피 다 패대기 쳐버릴건데 뭔 개소리야
16,[코멘트 : [뉴로메카] 보호예수 한달걸고나서 풀리는 시점봐서 다 매도할거 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=18,2022-07-21,보호예수 한달걸고나서 풀리는 시점봐서 다 매도할거면서 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ
17,[제목 : [뉴로메카] 야 그놈의 확약? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=19,2022-07-21,그건 모든 종목이 다마찬가지. 기관이 얼마나 더있냐 없냐가 차이인거지 전부 15일.1개월 3개월 6개월 이후 패대기지 마냥 가지고있냐? 주식 갖고싶으면 1주 팔아줄께
18,[제목 : [뉴로메카] 게시판이 왜이리 시끄러워졌어..ㅎㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=20,2022-07-21,승인날때가 되니 여지없이 기어나오네.비상장유통정보보니....며칠전부터 1~3만주가 지속적으로 거래가 되는구만요.8월에 승인난다고 하니 이제 거의 다 왔네.....
19,[제목 : [뉴로메카] 기관 락업 확약은 당연한 수순 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=21,2022-07-21,"소문에 50-60% 기관 락업이라는데, 이정도면 준수한 수준임어차피 시리즈D 물량은 3개월 자진 락업을 기초로 모집되어서 부담은 적을 수 밖에 없죠그리고, 상장된 로봇주중에 영업이익 꾸준히 나는 회사가 몇개나 된다고 잡주라는 거임?시장 보따리 아줌마들 소문에 대기 물량 많다는 헛소문에 놀아나다니...천만주도 안되는 이런 소형주가 시장에 유통되는 물량이 많아봤자 얼마나 된다고...에공"
20,[제목 : [뉴로메카] 기관이 뭐 하도많아서 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=22,2022-07-21,어디서 기어나와서 글 싸지르는지는 모르겠지만 허구헌날 상장전에 좋다는 기업들 상장하고나서 잘가는 회사 몇개 없더라 기관놈아고작 이정도 가지고 실적 운운하고 자빠졌네 참나건담만드는것도 아니고 뭐 이딴게 2000억씩이나실적좋은 기업들 수익나는 기업들 몇백억 시총이 널린 요즘 뭐 2000억 3000억? ****들대표랑 임직원 몇몇 주식 조금 빼고나면 전부 기관나부랭이들이네 누가 먼저 탈출하나 레이스 펼치겠지
21,[제목 : [뉴로메카] 기관이 뭐 하도많아서 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=23,2022-07-21,그런 좋은회사있으면 소개좀 시켜주세요~~~
22,[제목 : [뉴로메카] 게시판 활발해지니 생동감있고 좋네 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=25,2022-07-22,안티들 어여들 들어와~~~~안티 전투력 좀 더 올려주시고^^
23,[제목 : [뉴로메카] ㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=26,2022-07-22,무슨 대단한 로봇기술 갖고 있는줄 알았네 돈도 못버는 기평주가 뭔 2000억이야 한심한 개관들아!!기술도 볼 줄 모르는것들이 입만 살아서 똑똑한척 좋네 나쁘네건담 로보트태권브이 마징가제트 팔이라도 만드냐? ㅎ이 ****들은 지들이 들고 있으면 기평주라도 좋다고 떠들고 없으면 실적없다고 욕해대는 내로남불 한심한 것들이더만~
24,[제목 : [뉴로메카] ㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=27,2022-07-22,너주식없지?ㅋㅋ 사고싶음 얘기해
25,[제목 : [뉴로메카] 다왔다 다왔어 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=29,2022-07-27,기다리고 기다리던 상장이 다왔다!!
26,[제목 : [뉴로메카] 요즘 로봇주 날라댕기네...ㅎㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=30,2022-08-02,"며칠간 레인보우,에스피지, 유일로보틱스 등 로봇주 급등하네요.협동로봇의 최강자 뉴로메카 기대감을 갖게 하네요."
27,[제목 : [뉴로메카] 승인....이거 좀 너무 한거 아니요... ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=31,2022-08-02,뉴로메카보다 늦게 청구한 매출 50억에 손실 140억 나는 회사도 승인났던데 뉴로메카도 이제 승인해주라.거래소 사람들아 일 좀 혀~~~~~~~
28,[제목 : [뉴로메카] 로봇회사라고 다같은 회사가 아니지 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=32,2022-08-02,이런 회사 마구 상장통과시켜주면 안됩니다요
29,[코멘트 : [뉴로메카] 너주식없지?ㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=33,2022-08-02,너주식없지?ㅋㅋㅋ
30,[코멘트 : [뉴로메카] 갖고 있으니 현실을 못보고 찬티짓이지? ㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=34,2022-08-03,갖고 있으니 현실을 못보고 찬티짓이지? ㅋㅋㅋ
31,[제목 : [뉴로메카] 갖고 있으니 현실을 못보고 찬티짓이지? ㅋㅋㅋ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=35,2022-08-03,배아프면 1주 팔게 거래 할까?ㅋㅋㅋ 
32,[제목 : [뉴로메카] 뭐하러 이딴 주식을 사냐 한심한 청춘아 ㅎㅎㅎㅎㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=36,2022-08-03,너나 그냥 갖고 가 ㅋㅋ 장내주식도 좋은게 있는데 뭐하러 이런걸 힘들게 사냐 ㅋㅋ
33,[제목 : [뉴로메카] 커피만드는 짝퉁로봇을 볼게 아니라 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=37,2022-08-03,인탑스같이 삼성전자랑 웨어러블 로봇 만드는 진짜 로봇 회사를 사제대로된 로봇회사는 비상장사에도 별로 안보여 아무리 찾아봐도~이름만 로봇 무늬만 로봇인 가짜 로봇회사들 잘 걸러내자
34,[제목 : [뉴로메카] 커피만드는 짝퉁로봇을 볼게 아니라 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=40,2022-08-03,한주줄까?
35,[제목 : [뉴로메카] 많이 기다렸다...이제 승인 좀 내라~~~~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=42,2022-08-09,거래소 정말 일 좀 혀라....
36,[제목 : [뉴로메카] 거래소사람들보고 일하라네 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=43,2022-08-09,일 제대로하면 이거 승인 바로 못내주지 않을까 싶네그려
37,[제목 : [뉴로메카] 거래소사람들보고 일하라네 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=44,2022-08-09,다음주 좋은소식이 있을겁니다.
38,[제목 : [뉴로메카] 많이 기다렸다...이제 승인 좀 내라~~~~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=45,2022-08-09,다음주 우리 활짝웃어보아요 
39,[제목 : [뉴로메카] 축하드립니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=46,2022-08-11,상장승인 축하드립니다.
40,[제목 : [뉴로메카] 승인 났나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=47,2022-08-11,어디서 확인 하나요?정말 잘 됐네요
41,[코멘트 : [뉴로메카] 확정된거만 올리세요 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=48,2022-08-11,확정된거만 올리세요
42,[제목 : [뉴로메카] 확정된거만 올리세요 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=49,2022-08-11,바래봅니다. 
43,[제목 : [뉴로메카] 축하드립니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=50,2022-08-11,승인 축하드립니다.
44,[제목 : [뉴로메카] 오늘자 심사승인 완료 공시되었네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=52,2022-08-11,축하드립니다 주주님들
45,[코멘트 : [뉴로메카] ㅋㅋㅋ승인 났네요 ㅋㅋ 아 4만 가죵 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=53,2022-08-12,ㅋㅋㅋ승인 났네요 ㅋㅋ 아 4만 가죵
46,[제목 : [뉴로메카] 오늘도 로봇주는 떡상이네요. ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=54,2022-08-12,뉴로메카 상장때까지 로봇테마 떡상 가즈아~~~~~~~~~
47,"[제목 : [뉴로메카]
 드뎌 승인 ~~여러분 힘내세요 ]",https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=55,2022-08-12,드뎌 승인 ~~여러분 힘내세요
48,[제목 : [뉴로메카] 레인보우로보틱스 시총 5천억 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=56,2022-08-12,"뉴로메카가 밴드상단 16,900원에 공모가 결정나면 따상시 4,400억이네요.같은 협동로봇이고, 매출도 거의 비슷해서 레인보우가 시총 5,000~6,000억 유지해준다면 뉴로메카 따상 가능성은 상당히 높겠습니다.다들 성투 하시죠... "
49,[제목 : [뉴로메카] 증권신고서 제출완료 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=57,2022-09-01,"공모가 14,000-16,900원협동로봇의  시장반응 긍금하네요"
50,"[코멘트 : [뉴로메카]
 네 상장을 향해 잘 진�d하고 있네요
화이팅!!!!!!!!! ]",https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=58,2022-09-01,네 상장을 향해 잘 진�d하고 있네요화이팅!!!!!!!!!!!!!!
51,"[제목 : [뉴로메카] 뉴로메카, 10월 코스닥 상장 ]",https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=59,2022-09-02,"뉴로메카가 10월중 코스닥시장에 상장한다. 뉴로메카는 금융위원회에 증권신고서를 제출하고 코스닥 상장 절차에 돌입했다고 1일 밝혔다.뉴로메카에 따르면, 총 공모주식수는 150만주로 주당 공모 희망 범위는 1만4000~1만6900원이며, 공모예정금액은 210억~253억원이다. 기관투자자 대상 수요예측일은 9월 29~30일, 일반 청약은 10월 6~7일 진행할 계획이다. 기술성 특례상장이며 상장 예정 시기는 10월 중순으로, 주관사는 대신증권이 맡았다."
52,[제목 : [뉴로메카] 상장하는날부터 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=60,2022-09-06,물량 야금야금 털어낼거야물량쇼 기대하십시오기관이 한 30군데는 되는거 같네요
53,[제목 : [뉴로메카] 상장하는날부터 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=61,2022-09-06,증권신고서 제출한거보고 얘기좀해라기관은 많지만 상장날 유통물량 확인하고 글좀써라.
54,[제목 : [뉴로메카] 보호예수 건 내역 말하는거냐?? ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=62,2022-09-06,"그 많은 기관들 미확약 20%+ NH랑 유안타, 이케이 이런 애들 다 합치면 일단 10%는 넘고 공모주주 11.63%중 대략 10% 미확약하면 총 20%부터 풀리기 시작하고 1개월, 2개월마다 그 기관들 물량중 40%씩 풀겠단다...그래서 야금야금이라고 썼는데 뭐가 문제냐 한심아~내가 첫날 다 던진다고 했냐? 기관 애들 10%는 첫날 안전하게 잘 팔아먹겠던데~ 불나방들 뛰어들면 ㅋ"
55,[제목 : [뉴로메카] 상장하는날부터 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=63,2022-09-07,꼭 모르면서 이렇게 씨부렁대는 사람들이 있어요. 그럼 기관들도 일부는 엑시트같이 하고 상당 비율 1개월 3개월 확약 걸고 또 그시점에 매도하지 기관인 천년만년 들고있냐? 그리고 상장하고 1개월~3개월은 올려 지네도 던져야되니까 개인들은 눈치껏 들락날락 하면되 삥구야 
56,[제목 : [뉴로메카] 뭘 올려 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=64,2022-09-07,그렇게 올린다면 그게 작전이지 뭐냐 얘 위험한 발언하네 ㅎㅎ허접한 기관놈인지 개미인지 모르겠다만 가만보면 참 수상한 애들 참 많다니까 ㅎㅎ
57,[제목 : [뉴로메카] 레인보우로보틱스 금일 시총 5700억 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=65,2022-09-14,"연일 로봇주가 강세네요.오늘 같이 하방 압력이 강한 날에도 차익실현 매물 이겨내고 양전...같은 협동로봇 peer 기업인 레인보우로보틱스가 시총5700억이니 밴드상단 16,900원 공모가 확정시 따블 시총3700억, 따상4800억이네요.보수적으로 봐도 따블은 잡아놓고 갈듯 하고, 레인보우가 뉴로메카 상장시점에 시총6천억 넘어준다면 따상도 노려볼만 하네요."
58,[제목 : [뉴로메카] 레인보우로보틱스 금일 시총 5700억 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=66,2022-09-15,그렇다면 뉴로메카는 570억이 적정하지
59,[제목 : [뉴로메카] 레인보우로보틱스 금일 시총 5700억 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=67,2022-09-16,이런 애덜 땜시 내가 돈을 벌지..ㅎ
60,[제목 : [뉴로메카] 일정 연기다 ..금감원에서 브레이크 ],https://www.38.co.kr/html/forum/board/?o=v&code=348340&no=68,2022-09-20,
