,titles,links,dates,contents
0,[코멘트 : [밴코리아] 내년 중반기 상장예정 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=6,2022-08-16,내년 중반기 상장예정
1,[제목 : [밴코리아] 주주등록 완료 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=7,2022-08-19,루시드 총판 기대되는 기업이라서 주주 300주 등록 완료입니다~ 좋은 글 많이 올려주세요~
2,[제목 : [밴코리아] 밴코리아 매출액이 크게 증가했던데 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=8,2022-08-19,보니까 매출액이 1년사이에 엄청 증가했더라고요 여러곳에서 투자도 받는것 같은데 주주 가 되서 기쁩니다
3,[제목 : [밴코리아] 얼마남지 않았네요 기대됩니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=9,2022-08-19,7천만정도 들어갔습니다.4분기면 이제 얼마 안남았네요~성장이 기대됩니다^^
4,[제목 : [밴코리아] 이걸왜사나 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=10,2022-08-19,밴 파는곳을 왜사.?
5,[제목 : [밴코리아] 저두 주주가 되었습니다!!! ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=12,2022-08-19,오늘 수량 크게 들어갔는데 너무 좋네용 기대가됩니다!!
6,[제목 : [밴코리아] 지인한테 추천받아서 매입했는데 엄청 괜찮은 종목같아요 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=14,2022-08-19,매출도 좋고 계속 좋은소식만 들리네요~
7,[제목 : [밴코리아] 밴코리아 가즈아 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=15,2022-08-19,밴코리아 너무 기대됩니다!!!!!!!!!!!!!!!!!!!!!!
8,[제목 : [밴코리아] 언제쯤상장될까요~4분기에 상장된다는데 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=16,2022-08-19,기다려지네요~
9,[제목 : [밴코리아] 밴코리아 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=17,2022-08-19,"밴코리아 1주 20,000원에 300주 매수하였는데 만족합니다."
10,[제목 : [밴코리아] 밴코 기대x10000000 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=18,2022-08-19,얼마만큼 오를지 궁금하네요~
11,[제목 : [밴코리아] 얼마남지 않았네요 기대됩니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=21,2022-08-22,내년상장됩니다
12,[코멘트 : [밴코리아] 내년에는 상장되나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=29,2022-08-23,내년에는 상장되나요?
13,"[코멘트 : [밴코리아] 당신은 매수 하지도 않은 양반이...
왜 남의 집에와 ]",https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=30,2022-08-24,당신은 매수 하지도 않은 양반이...왜 남의 집에와서 헛지거리 하고있어? 자객이냐?
14,[코멘트 : [밴코리아] 너도 매수하지 않았으면 얘길하지마러 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=31,2022-08-24,너도 매수하지 않았으면 얘길하지마러
15,[제목 : [밴코리아] 밴코리아 상장임박 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=32,2022-08-24,밴코리아 상장이 얼마 안남았다고 하던데 투자금을 더 늘릴지 고민이네요....
16,"[제목 : [밴코리아] 매출액도 급증하고 있고, 좋은 기사 많네요 ]",https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=33,2022-08-24,천천히 기다려보면 좋은 날 얼마 남지 않은 것 같습니다.편안하게 기다려보아요^^
17,[제목 : [밴코리아] 뉴스가 많이 나오네요! ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=34,2022-08-24,보니까 독일하고 미국에 수출한다고 하는것 같은데 어마무시한것같네요 매출이 이렇게 크게 나는거 보니 다른것 같읍니다
18,[제목 : [밴코리아] 주주등록 맞나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=35,2022-08-24,소액으로 100만원 주주 되었어요여기에 등록하라고 했어요 
19,[제목 : [밴코리아] 밴코리아 담았습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=36,2022-08-24,밴코리아 담았습니다 다들얼마나 담으셨나요 ??전 15000원에 3000주정도 담았습니다.
20,[코멘트 : [밴코리아] 저는 반정도 되네요ㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=42,2022-08-24,저는 반정도 되네요ㅎ
21,[제목 : [밴코리아] 먹을게 많아지는지 여기도 날파리들이 꼬이네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=43,2022-08-24,밴코리아 좋은 소식들이 많은거 같은데 먹을게 많아보이는지 날파리들이 꼬이기 시작하나봅니다ㅎ좋은 회사는 좋은 실적과 가치로 보상받을거라 믿고 투자했어요~
22,[제목 : [밴코리아] 비상장주식 매수 대금지불 궁금증 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=44,2022-08-24,비상장주식 매수하고 대금을 지불하는데 계좌는 해당 종목 회사명과 다른던데요문제 없는 건가요?물론 주식은 증권계좌로 들어온 거 확인하였습니다
23,[코멘트 : [밴코리아] 주식 들어오고 주주명부에 등록되면 끝 아닌가요 ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=46,2022-08-26,주식 들어오고 주주명부에 등록되면 끝 아닌가요
24,[제목 : [밴코리아] 계좌대체가 뭐죠? ],https://www.38.co.kr/html/forum/board/?o=v&code=433820&no=53,2022-08-29,계좌대체가 무엇인지 설명 부탁드립니다
