,titles,links,dates,contents
0,"[제목 : [비바리퍼블리카] 매수,매도 실매물입니까? ]",https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=9,2020-06-01,궁금하네요
1,[제목 : [비바리퍼블리카] SCI평가정보 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=10,2020-09-26,"5만원간다 3조 토스가 인수할 sci평가정보.세력이 물량 확보하여 6900원에서5000원까지 밑으로 던져서 달라붙은개하수들 투매유도 대성공 했다.25일 시간외 장마감하자 마자.뉴스 띄운 의도는 월요일 부터 상한가 랠리시키겠다는 뜻.마켓인사이트]'핀테크 대장' 토스, 개인신용평가社 SCI평가정보 인수 검토기사입력2020.09.25 18:01최종수정2020.09.25 18:01월요일 부터 상한가 랠리시키기에매수 대기자는 지능순으로6900원 대비저렴할때 입성하라.시총 1조 까지 띄운다.토스의 경쟁업체 카카오페이시가총액 7조 .내년 하반기 이후 공모주 상장 들어온다.2020년 추석전에 반드시 잡아야할 종목이다.금년 상반기 코로나 영향으로 씨젠3만원에서 24만원까지졸라리 상승했제.하반기는 sci평가정보 차례다."
2,[제목 : [비바리퍼블리카] 이거 매물 어떻게 구하나요? 구할수가 없네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=11,2020-10-12,옆동네에서도 거래가 없고이거 매물 어떻게 구하나요
3,[제목 : [비바리퍼블리카] 신규주주 입성합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=12,2020-11-06,잘키워 봅시다
4,[제목 : [비바리퍼블리카] 신규주주 입성했습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=13,2020-11-09,한분이 저번주부터 물량풀기 시작했더군요지금이 기회죠지금 못사면 또 당분간 매물 잠깁니다다음에 나올땐 지금이야 시총 3조~4조사이지만최소 6~7조 수준으로 나올겁니다살수있을때 사야죠
5,[제목 : [비바리퍼블리카] 신규주주 입성했습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=14,2020-11-10,"두 가지만 여쭤봐도 될까요??   1) 혹시, 비바리퍼블리카 매수 단가 어떻게 되는지요?? 2) 최근 약 5개월 이내에 38컴에서 필명 ""김물빵""님이 쓰신 글    조금 봐 왔던 거 같은데,    혹시, 어느 종목에서 뵈었을까요??      카카오게임에서였나요??  아님, 다른 종목에서 뵈었나요??    걍, 궁금해서 여쭤봅니다. "
6,[제목 : [비바리퍼블리카] 매수단가는 정확히 말씀드리긴 어렵습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=15,2020-11-10,다만 시총 3조원 초반대로 평가받는 지금 시점에적정한 단가로 매수했다고 판단은 하고 있습니다전 카카오게임 빅히트 크래프톤 sk바이오사이언스 등굵직한 종목은 모두 주주였거나 주주입니다 자랑은 아니지만 제가 매수한 종목 최소 수익률은100%이상입니다현재도 그렇구요
7,[제목 : [비바리퍼블리카] 매수단가는 정확히 말씀드리긴 어렵습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=16,2020-11-10,네.  저도 경험 많으신 김물빵님 조언 따라 조금씩 매수해보려 합니다.  감사합니다.  
8,[코멘트 : [비바리퍼블리카] 무슨 수량차이로 몇천원 차이도아니고 2만 5천원 차이 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=20,2020-11-12,무슨 수량차이로 몇천원 차이도아니고 2만 5천원 차이가...
9,[제목 : [비바리퍼블리카] 토스가 주식거래 시장에 뛰어들었네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=21,2020-11-14,2030 젊은 친구들이 많이 이용할거 같네요. 토스증권 기존의 증권사들과는 다른 혁신적인 모습을 기대합니다.
10,[제목 : [비바리퍼블리카] 인터넷은행 설립시 슈퍼금융앱으로 거듭난다. ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=22,2020-11-17,토스가 주식거래 시장 진출하고인터넷 은행은 내년 1분기 중 본인가를 신청할 계획입니다.이렇게 될 경우정말 토스앱 하나로 모든 금융을 아우르는슈퍼금융앱이 탄생합니다.토스 정말 엄청난 기대가 됩니다.이상 허접한 개인적인 분석입니다.투자에는 절대 참고하지 마시고본인이 잘 판단해서 투자 하시기 바랍니다.
11,[제목 : [비바리퍼블리카] 토스증권 내년 초 출범 확정…'2030 주린이' 집중 공략 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=23,2020-11-18,"핀테크(금융+기술) 업체 바바리퍼블리카가 만든 '토스증권'이 내년 초 출범을 확정지었다. 12년만에 신규 인가 증권사가 출범하는 셈이다.비바리퍼블리카는 계열사 ‘토스준비법인’이 18일 열린 금융위원회 정례회의에서 증권업 진출을 위한 투자중개업 본인가를 획득했다고 밝혔다. 지난 3월 예비인가 획득 후 본인가 승인이 약 8개월 만에 마무리 됐다. 이로써 IBK투자증권, KTB투자증권 등이 신설된 2008년 이후 12년 만에 신규 증권사가 등장하게 됐다. 핀테크 1호 증권사인 카카오페이증권은 기존의 바로투자증권 인수해 출범한 형태였다.'토스준비법인'은 이달 중 '토스증권'으로 사명을 변경하고 내년 초부터 영업을 개시할 예정이다. 비바리퍼블리카의 지분율 100%인 자회사로 자본금은 340억원, 직원수는 80명이다.토스증권은 오프라인 지점이 없는 모바일 전문 증권사 형태로 영업할 예정이다. 개별 주식거래 중개(브로커리지)를 하지 않고 있는 카카오페이증권과 달리 토스증권은 출범과 동시에 국내 주식 중개를 시작한다. 향후 해외주식 중개, 집합투자증권(펀드) 판매로 서비스도 확장할 계획이다.오프라인 지점이 없는 만큼 계좌 개설부터 투자까지 모든 서비스를 온라인 상에서 제공한다. 가입자 1800만명에 이르는 토스 플랫폼을 통해 고객 접점을 확보한다는 전략이다.투자를 처음 시작하는 20~30대를 집중 공략할 것으로 보인다. 토스 이용자 중 20~30대는 1000만명에 달한다. 주식 초보자들이 쉽고 간편하게 이용할 수 있도록 설계한 모바일트레이딩시스템(MTS)을 내놓는 한편 기존 증권사 보고서와 차별화된 투자 정보, 핀테크 기업 특유의 다양한 아이디어와 빠른 실행속도를 경쟁력으로 내세운다는 방침이다.박재민 토스증권 대표는 ""투자 입문자의 시각에서 MTS의 모든 기능을 설계하고, 메뉴의 구성이나 명칭, 투자 정보의 탐색 등 주요 서비스를 완전히 새롭게 구성했다""며 ""기존 증권사의 MTS가 복잡하게 느껴졌거나 주식에 막연한 두려움을 갖고 있던 투자자에게 토스증권이 대안이 될 것""이라고 강조했다.이민우 기자 "
12,[제목 : [비바리퍼블리카] 쎈놈이 온다 ],https://www.38.co.kr/html/forum/board/?o=v&code=285240&no=24,2020-11-28,지금이 매수기회
