,titles,links,dates,contents
0,[제목 : [빗썸코리아] 실적 ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=13,2018-11-23,작년이 엄청난 이익  올해는 이익 1/10토막 나네요가상화폐가 올라줘야하는디
1,[제목 : [빗썸코리아] 장외로 살만한가??? ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=14,2019-11-06,아직 여기 살만한거???사도되나???
2,[제목 : [빗썸코리아] 특금법 통과로 빗썸 거래소 제도권 진입 ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=17,2020-03-06,특금법 통과로 빗썸 거래소 제도권 진입 빗썸주식 얼마까지 오를까요? 
3,[코멘트 : [빗썸코리아] 아직도 들고계시는지? ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=22,2020-12-18,아직도 들고계시는지?
4,"[코멘트 : [빗썸코리아]
 네. 소유하고 있습니다 얼마에 구매 원하시는지요?? ]",https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=23,2020-12-18,네. 소유하고 있습니다 얼마에 구매 원하시는지요??
5,[제목 : [빗썸코리아] 네. 소유하고 있습니다 얼마에 구매 원하시는지요?? ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=24,2020-12-18,6만원
6,[코멘트 : [빗썸코리아] ㅋㅋ안팔래요 ㅎㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=25,2020-12-19,ㅋㅋ안팔래요 ㅎㅎ
7,[제목 : [빗썸코리아] ㅋㅋ안팔래요 ㅎㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=26,2020-12-19,그럼 얼마에?
8,[코멘트 : [빗썸코리아] 35요 ㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=27,2020-12-19,35요 ㅎ
9,[제목 : [빗썸코리아] 35요 ㅎ ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=28,2021-01-05,시총 1조 이상은 쳐주기 힘든데. 이정도 가치로 의향 있으시면helltoyp 네이년문자요
10,[코멘트 : [빗썸코리아] 어떻게 연락을 드리면 되나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=341650&no=29,2021-01-06,어떻게 연락을 드리면 되나요?
