,titles,links,dates,contents
0,[제목 : [아데나소프트웨어] 리니지 작업장같네 이름만봐선 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=2,2020-06-04,아데나 소프트웨어라니아덴 좀 버셧나 ㅈㅅ
1,[코멘트 : [아데나소프트웨어] Fx 홀짝이들 아님? ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=3,2020-07-21,Fx 홀짝이들 아님?
2,[제목 : [아데나소프트웨어] 이제 슬슬 시세 올라오겠네 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=5,2020-09-29,8만까지만 가자
3,[제목 : [아데나소프트웨어] 개짹팟품절주 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=6,2020-10-05,전례없는 역사적인 주식슈퍼스타 주식카카오겜즈 바이오팜은 비교도 안될듯
4,[제목 : [아데나소프트웨어] 공모가 어느정도 보시나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=7,2020-10-08,예상 공모가 어느 정도 예상 하시나요?지금 3만원선에서 거래가 되고 있는데상장 임박하면 더 오를까요?
5,[제목 : [아데나소프트웨어] 최근 거래가 좀 있나보네요 ~ ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=9,2020-10-09,10월말 정도 의미있는 뭐가 나오나요?
6,[제목 : [아데나소프트웨어] 여기 게시판 너무 조용하네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=10,2020-10-12,절간 처럼 조용해서도를 닦아도 될거 같네요ㅋㅋ주가도 조용히 강하게 가길ㅋㅋ
7,[제목 : [아데나소프트웨어] 이 회사 비즈니스 모델 괜찮나요? ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=11,2020-10-20,이 회사 비즈니스 모델 미래 비젼이 있는건가요?
8,"[코멘트 : [아데나소프트웨어] 여기 핀테크에서는 독보적인 곳입니다.
영업이익율이 ]",https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=12,2020-10-20,여기 핀테크에서는 독보적인 곳입니다.영업이익율이 장난 아닙니다
9,"[코멘트 : [아데나소프트웨어] ㅋㅋ한번보고와봐요,ㅋ,
매년성장률100~400프로
영 ]",https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=13,2020-10-20,"ㅋㅋ한번보고와봐요,ㅋ,매년성장률100~400프로영업이익70% 깡패수준임ㅋㅋ"
10,[제목 : [아데나소프트웨어] 심사 청구한게 5월달인데... ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=14,2020-10-20,왜 아직도 승인이 안나는거죠??대분분 2개월 정도면승인이 나는거 같던데요.거의 반연이 되어 가는데승인이 안나는게 궁금합니다아시는분 친절 답변 부탁드려요~~~
11,"[코멘트 : [아데나소프트웨어] 답변감사합니다.
9월에 심사 시작했다면 
11월중에 ]",https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=16,2020-10-21,답변감사합니다.9월에 심사 시작했다면 11월중에 승인나고 빠르면 올해말늦어도 내년초에는 상장 하겠군요..
12,[코멘트 : [아데나소프트웨어] 사측에서는 11월에 결과 기다리고  있고 상장은 2월정 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=17,2020-10-21,사측에서는 11월에 결과 기다리고  있고 상장은 2월정도 빠르면1월 장좋을때 대장주등극
13,[제목 : [아데나소프트웨어] 다른사람들 잘 모를때 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=18,2020-10-22,좀더 수량좀 모아야 하는데물량이 없네요ㅠ딱 1000개만 모아보자
14,[제목 : [아데나소프트웨어] 다른사람들 잘 모를때 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=19,2020-10-22,물량은 많다 돈이없다 가격이문제다  이거며칠있으면 돈주고도 못산다  내생각이 맞을까
15,[제목 : [아데나소프트웨어] 매물은 거의가 뻥입니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=325380&no=20,2020-10-23,매수물은 진짜 가 60프로 매도물은 거의가 기관물량이네 뭐네하면서 뻥입니다 돈이뭔지
