,titles,links,dates,contents
0,[제목 : [야놀자] 야놀자 장외주식 거래 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=3,2018-03-18,야놀자 장외주식 거래가 이루어지고 있나요?
1,[코멘트 : [야놀자] 야놀자는 유통주식이 없습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=4,2018-04-18,야놀자는 유통주식이 없습니다
2,[제목 : [야놀자] 장외거래 있습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=5,2019-04-20,1.3조-1.5조 밸류에 있습니다.
3,[제목 : [야놀자] 야놀자 장외 주식 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=6,2019-06-03,주식을 너무 사고싶은데방법이 있을까요?
4,[코멘트 : [야놀자] 청와대 국민청원 잘 보시고 결정하세요 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=8,2019-07-12,청와대 국민청원 잘 보시고 결정하세요
5,[제목 : [야놀자] 야놀자 장외 주식 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=9,2019-07-15,개인간 거래 가능합니다.
6,[제목 : [야놀자] 매도가 33만원? 미친 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=16,2020-09-28,"연매출 3,000억 회사가 시총 1조3천억? 미쳐도 단디 미쳤네."
7,[제목 : [야놀자] 온라인플랫폼법 2022년 시행 예고...'공룡 플랫폼 갑질' 예방책 될까 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=17,2020-11-10,"저법 실행전, 공정위 가격 담합 조사 전에 상장하려고 발버둥치는구나..모텔앱이 1조가 넘다니...요즘 개나소나 다 1조네 "
8,[제목 : [야놀자] 적자가 130억이나 된다 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=20,2020-11-22,이런거 손대지마라
9,"[코멘트 : [야놀자] 전형적으로 시세 조작하려는 꾼이시네요
야놀자 물량 ]",https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=22,2020-12-16,전형적으로 시세 조작하려는 꾼이시네요야놀자 물량 구하기 힘듭니다..화이팅하세요
10,[제목 : [야놀자] 야놀자 성투하세요 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=25,2020-12-18,많은 정보 부탁드립니다
11,[제목 : [야놀자] 특별한 정보가 없네  올해상장은 안하는건가? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=26,2021-01-15,개인 주주가 없는가보다올해 상장은 안하는가?내년에는?
12,[제목 : [야놀자] PMS가 그리도 대박? ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=27,2021-01-16,?
13,[제목 : [야놀자] 저두요 ],https://www.38.co.kr/html/forum/board/?o=v&code=350920&no=34,2021-02-01,저도 그가격에 사고 싶어요  연락처좀
