,titles,links,dates,contents
0,[제목 : [제이비케이랩] 게시판 수준이.. ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1234,2021-07-02,"제목은 그럴듯하게 걸어놓고 막상 내용은 암것도 아닌것들이 유독제이비엔 많아보이는군요오래 장외종목한 사람으로서, 여긴 좀 특이하네요 정보라고 할 만한것들은 별로없고 개인적 넋두리내지는 희망회로 뿐..주주로서 좀 실망스럽네요. 이럴바엔 차라리 게시하지 않는게 낫습니다"
1,[제목 : [제이비케이랩] 노유파 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1236,2021-07-02,"노유파~산화되지않은 필수불포화지방산.....볶지않은 식물의 생종자를 원료로약15~25도의 무산화방식으로 추출한자연그대로의 식물성지방산이런기술의가치가 얼마일까요???10억달러이상의 가치가있다고합니다.단순히 건강기능식품회사가 아닙니다.올해실적 아주좋을겁니다.올봄 주주총회에서 대표님이 언급하신매출300억.영업이익140억 가능성이 매우농후합니다.거기에 기술력의 노하우,항암.진통제관련 신약뭐하나 나무랄데가없는바이오 장외주식의 원탑입니다.아직 기관등 큰손들이 무지해서그렇지그리 오래걸리지않을겁니다주식 잘 간수하시길^^^^^^^~~"
2,[제목 : [제이비케이랩] 게시판 수준이.. ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1237,2021-07-02,그럼 댁께서고급지고 품위 있고 내용 빵빵하게올려 보시구료댁도 제이비가 허접한 회사라고 생각되면이 찌질한 회사에 왜 미쳤다고 투자 하셨는지?익명의 게시판에는이런 글도 있고 저런 글도 있고찬피도 있고 안티도 있고선플도 있고 악플도 있고다 그런것 아니겠습니까?참고로 나는 5 년된 주주 올시다
3,"[코멘트 : [제이비케이랩] 노유파
약사친구가 입이 마르게 복용을 권하는 
혁 ]",https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1238,2021-07-02,노유파약사친구가 입이 마르게 복용을 권하는 혁신적 건기식^^그렇지만 기관이나 큰손은 표적항암제나 치매 당뇨 기타  신약에 관련된 기술특허나 연구임상 보유 유무가 중요한 투자 진입 기준.우수한 효과에다 부작용이 덜한 천연 <건기식> 만으로는  아쉽고 한계가 있다는 생각
4,[제목 : [제이비케이랩] 회사의 가치 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1239,2021-07-02,"그렇다면,,이회사의가치가 얼마나됩니까???노유파기술~~1조이상천연물위궤양치료제~~10조이상리리카의5배이상의 진통제~수조이상천연물항암제~수조이상흠냐흠냐♡♡♡♡♡♡♡"
5,[제목 : [제이비케이랩] 회사의 가치 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1240,2021-07-02,지금주가가 2만원상회하는뎨그럼앞으로100배는간다는거임?!
6,[제목 : [제이비케이랩] 시세앞에 겸손한 마음가짐 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1242,2021-07-04,1500억÷140억=12?ㅎㅎㅎㅎㅎ산수공부부터하고오시길누가그랬었죠??주식은 실패한투자자들의 결과로주가가결정된다고이가격도감사하다고생각되면매도하는것이고
7,[제목 : [제이비케이랩] 들이 아니고 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1243,2021-07-04," 혼자 글 쓰고 ?,,,, 답글 쓰고...  곡성 거터"
8,[제목 : [제이비케이랩] 회사관계자분께 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1244,2021-07-05,바이오부분의 굿밸류는 과연언제일까요?실적성장은 계획대로이뤄지는듯한데방귀가 잦으면 화장실가야하는건당연한 이치바이오부분의 현재의 위치와그리멀지않을 미래의비젼이 궁금합니다지금가격에 만족못하신다면궁금증을 풀어주시길!!!!희망고문이 아니라면 꼭답변해주시길간곡히 부탁드립니다******
9,[제목 : [제이비케이랩] 정신감정 ],https://www.38.co.kr/html/forum/board/?o=v&code=238930&no=1245,2021-07-05,감정평가 필요
