,titles,links,dates,contents
0,[제목 : [프리닉스] 통주발행 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=5,2018-04-26,통주 발행 되었네요.
1,[제목 : [프리닉스] 액면가 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=8,2018-06-26,열배가부풀러져있네요
2,[제목 : [프리닉스] 실적이 일취월장하고 있는 프리닉스 !!! ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=10,2018-07-26,상장되면 대박 날 조짐이 보입니다.
3,[제목 : [프리닉스] 여긴 왜 이리 조용한지요? ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=11,2018-08-07,
4,[제목 : [프리닉스] 프리닉스 성장 순항 중 / 근황 리뷰 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=12,2018-11-20,"그저께 프리닉스 입고되있는 증권사에서 반대의사표명 11/23까지 신청하라고 날라와서 이게 뭐지 하며 연락했더니 좋은 소식이 많네요,,그래서 38에도 얼마나 많은 주주분이 계신지는 모르겠으나 공유드리고자 합니다. 1. 일단 반대의사표명 확인이 왔던 사안은 간이 M&A 건입니다.  -IPO 주관사로 NH증권이 선정되어 준비중인데, 사내 협력사를 불법도급 파견업 문제없도록 미리 인수 합병하는 수직계열화의 일환이었고, 세부 파악결과 아주 좋은 합병입니다. 안할 이유도 없고, 잘 마무리 될 것 같습니다. 2. 올해 매출 및 영업이익 전망  -간략하게 말씀드리면 매출 380억 수준, 영업이익도 양호합니다.  -작년대비 2배이상 양적 성장 및 내실기반 다졌으며 IPO 요건 충족완료.  -연말이나 내년초에 정기공시사항이니 세부 내용은 차차 확인하세요~! 3. IPO 예상일정.  -일단 프리닉스 요건상 IPO 신청하면 99.9% 통과합니다.  -다만 IPO의 주 목적은 자금조달이죠?  -자금 조달의 목적성을 고려해 볼 때 1번의 편도티켓이므로,     최적 시기를 잘 노려야 가성비가 매우 높은 효과를 거두겠죠,   -현재 주식 시장의 자금 유동성 흐름과 여러 요건들을 고려하고 있지만,   심사 들어가는 시기는 1차로 내년 2월, 2차로 내년 8월을 보고 있고,   시황이 자금 조달 목표가 충분히 달성되지 못하더라도 부족한 자금분을 메꿀 파이프라인 개발은 충분히 여력이 되므로 프리닉스 중장기 발전 로드맵 스케줄을 맞추기 위해 되도록 이면 진행하겠다는 경영진 의지를 확인했습니다. 조용하지만, 탄탄하게 준비하고 있네요.이상입니다."
5,[코멘트 : [프리닉스] 궁금했는데 정보감사합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=13,2018-11-23,궁금했는데 정보감사합니다
6,[제목 : [프리닉스] 주주총회 소집 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=14,2019-02-27,참여하여 궁금한 사항 물어 봐야겠습니다.
7,[제목 : [프리닉스] 공시실적 좋네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=16,2019-03-23,전년대비 매출액도 크게늘었고 부채 큰 변동없이 자산은 순증하며 재무구조가 건강해진것으로 보이며 당기순이익도 작년 손실에서 이익으로 전환�楹六�어려운 시황에서도 이렇게 호실적 달성한것을 보니 오랜주주로서 뿌듯하며 앞으로 더 잘 될것으로 기대합니다
8,[제목 : [프리닉스] 주총후기 알려주실분 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=17,2019-03-29,부탁드립니다
9,"[제목 : [프리닉스]
 4/8부 액면분할(10배) ]",https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=18,2019-04-01,"4/8일부 10배 액면분할 진행하네요^^!공시된 재무실적도 거의 모든 지표가 좋아졌으며,체질개선을 확실하게 하면서 주관사 상장 예비 컨설팅도 잘 진행되며예정대로 순항중인듯 합니다."
10,[제목 : [프리닉스] 4/8부 액면분할(10배) ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=19,2019-04-01,굿 상장 앞으로
11,[제목 : [프리닉스] 4/8부 액면분할(10배) ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=20,2019-04-14,아직 액분 안되었네요
12,[제목 : [프리닉스] 액면 분할 했습니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=21,2019-04-18,10배 늘어났습니다.상장카운트다운이네요
13,[제목 : [프리닉스] 액면 분할 확인되네요👏 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=22,2019-04-18,액면 분할 완료�映봇� 약속한 절차대로 진행하는 모습보니 대견하네요 앞으로 동남아시장과 유럽의 수요가 증가하고 있어 기대가 됩니다.됩니다
14,[제목 : [프리닉스] 내년 상반기 상장 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=24,2019-07-02,내년 상반기 상장 신청한답니다.
15,[제목 : [프리닉스] NH증권 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=25,2019-07-04,파트너쉽으로 재무구조개선부터 진행중인것은 알고있었는데 구체화된 계획이 추가로 나온건가요?작년에도 이맘때 상장한다고.. 매년..
16,[제목 : [프리닉스] NH증권 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=26,2019-07-04,주담왈 내년상반기라고 했습니다.
17,[제목 : [프리닉스] 요즘 근황 / 향후 계획 아시는분 계신가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=28,2019-11-04,"해외수출사업은 잘되는거같긴한데,상장등과 관련하여 소식 아시는분 계신가요? 조용하네요~! ㅎ"
18,[제목 : [프리닉스] 요즘 근황 / 향후 계획 아시는분 계신가요? ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=29,2019-11-08,계획대로  진행중이랍니다매출은 전년에 너무 좋아서 올핸 조금 못 미치는것 같고요상장은 내년 4월쯤 시작하면 4개월쯤 걸릴걸로 예상합니다
19,[제목 : [프리닉스] 답변감사합니다. ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=30,2019-11-09,"답변감사합니다올해초 경영지원팀과 통화했을때 라인작업 외주 업체도 수직계열화로 통합하고 이런저런 상장 리스크 소거 작업을 하고 있었고, 다행히 수출실적도 잘 나와주고있어서 저도 큰 걱정은 없습니다.내년 상반기 진행이 잘 되면 좋겠네요^^"
20,[제목 : [프리닉스] 프리닉스 거래 시세 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=31,2019-12-15,이 주식을  주당 10만원으로 매수하였고 액면분활되어 주당1만원으로 매수 되었는데  최근의 시세가 얼마나 되는지 알고 싶습니다
21,[제목 : [프리닉스] 프리닉스 거래 시세 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=32,2019-12-15,십만원에 매수 하셨다면 좀 주고 사셨네요저는 약 2년전에 56000원에 샀거든요
22,[제목 : [프리닉스] 현시세 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=33,2019-12-17,그런데 지금 알아보니 4000원 하는것 같네요
23,[코멘트 : [프리닉스] 싸게 사려는 업자 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=34,2019-12-19,싸게 사려는 업자
24,[제목 : [프리닉스] 상장시기 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=36,2020-03-27,올해 상장하나요?
25,[제목 : [프리닉스] 상장시기 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=37,2020-03-31,"상장시기는 나도 궁금해서아래의 내용은 작년 싸이트에  글 중일부입니다   참고하세요프리닉스는 업계 선도기업인 일본의 후지필름 및 캐논을 따라잡기 위해 신제품을 추가로 선보일 예정이며, 2020년까지 코스닥 IPO 상장을 추진 중이다.세계 최초 빅 사이즈 모바일 포토 프린터 개발에 성공한 프리닉스 노광호 대표는 “막막했던 해외시장 진출이 무보 덕분에 일사천리로 진행됐다”며 무보의 전문 컨설팅을 적극 권장했다. 이어 “최근 일본의 수출규제로 원활한 부품 수급이 걱정된다”면서 5일 무보가 발표한 수입처 다변화 지원 대책에 큰 관심을 보였다.  2019.8.12  동아닷컴 에서  발췌"
26,[제목 : [프리닉스] 코닥’ 세계최초 3분 DIY 포토 프린터 폰 케이스 제작 'Kodak PrintaCase' 출시 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=38,2020-04-07,지난 3월12일 시사뉴스입니다코닥’ 세계최초 3분 DIY 포토 프린터 폰 케이스 제작 'Kodak PrintaCase'www.sisa-news****/mobile/article.html?no=123876 위 별표를 ****  으로 해서보세요
27,[제목 : [프리닉스] 올해 상장합니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=295110&no=39,2020-05-06,왜 자꾸 매도를 하지요?회사에 전화 한통화만 해도 알텐데요이미 지정감사 받았고 올하반기에 상장합니다
