,titles,links,dates,contents
0,"[코멘트 : [현대오일뱅크] 오우 센스쟁이시네요.

낚였는데

맘은 속상해요. ]",https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2018,2021-04-13,오우 센스쟁이시네요.낚였는데맘은 속상해요.
1,"[제목 : [현대오일뱅크] 현대오일...SBS드라마 ""모범택시""에 광고나옴 ]",https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2020,2021-04-14,"현대오일뱅크가 SBS 드라마 ‘모범택시’를 통해 자사 윤활유 브랜드 ‘현대엑스티어(HYUNDAI XTeer)’ 알리기에 나섰다.ㅡㅡㅡㅡㅡㅡ현대오일뱅크는 주요 촬영 장소인 택시회사 정비소에 제품 용기와 광고물을 전시해 ‘현대엑스티어’를 자연스럽게 노출할 예정이다. 관련 장면을 연출해 삽입하고 자사 SNS 통합 계정인 ‘현대5일장’에 패러디 영상도 게시해 ‘현대엑스티어’를 적극 알릴 계획이다. 현대오일뱅크 관계자는 “정비소 추천 브랜드에 의존하는 기성세대와 달리 40대 이하 고객은 윤활유 브랜드를 직접 선택하는 비중이 50%에 육박한다”며 “연비와 성능을 중시하는 목표 고객 성향에 맞춰 친환경, 프리미엄 이미지를 강화시킬 계획”이라고 말했다.ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ지금까지 기사들을 보니...회사제품 알리는데에 노력을 많이해 보이는데...회사가치를 올리는것을 목적으로 삼은것같은 생각이 많이 드네요.암튼...올 연말부터 내년초까지...???를 해 봅니당- 기본으로...실적이 상당히 좋을 것은 틀림없을테고...나에게 가장 중요한 것...I P O김치국을 마시는꼴이 될수도 있어보이지만...좀 빠른 속도로 회사가치를 높여나가고 있음이 보여요현오측에서는 IPO 안한다면서 현중이 기업인수에 따른 자금은 마련했다고 하는데...그래도 돈을 상당히 필요한 처지에 있는것 같아 보이고...그나저나...IPO최적기로 보이는 올 연말부터 ""내년초""에는 IPO가 되었으면 하는 바램이...예전에 비해서 올해는 변화가 돋보입니다.그래서 더욱 Ipo 가능성을 보는거고...현중의 자금문제와 별개로 현오도 시장안으로 들어갈때도 되었지 않겠어요우리나라에서는 첫번채...가장 오랜 연혁을 가진 회사인데...현중도 그렇네요거지도 아닌 회사가 돈이나 챙겨가고...현오의 적자는 곧 현중틔 적자로 바로 연결되는것 같던데...차라리 합병을 해서 같이 들어가덩강~옛날부터 현대는 주가관리를 안한다고 소문이 나 있대요삼성은 주가관리를 잘해 나가는데..."
2,[제목 : [현대오일뱅크] 현대자동차...휴게소에 전기차충전소 구축 및 운영 ],https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2021,2021-04-14,"현대자동차도 전기차충전소 시장에 뛰어드는 것으로 보이네요그렇다고해서 현대오일과 경쟁관계가 되는것은 아닌것으로 보여요전기차충전소의 영역을 보니까 현대오일은 ""주유소""에...현대자동차는 ""휴게소""에 설치해서 운영할 것 같아요그리고...휴게소에 설치한 충전소는 언젠가는 현오에게 넘어갈 것으로 보이는데...현자는 단지 먼저 선점을 하는데에 있을 뿐..휴게소와 주유소의 갯수와 간격만을 봐도 경쟁불가쪽으로...같은 현대집안이다보니 현자와 현오가 전기차충전소 시장을 선점..장악을 하겠다는 것으로 보이는데 경쟁관계보다는 시장장악을 위한 협력차원으로 이해되고오~왜냐...아직까지는 현오만으로는 주유소에 설치하는데에도 상당한 기간이 소요될 것이므로 휴게소에까지 설치하는데에는 너무 늦을것 같아서 현자가 먼저 자리를 잡아 놓은것 같아요.아마도 제 생각엔 주유소와 휴게소의 수익에 있어서는 휴게소는 주유소에 상대가 안될것으로 보여요경쟁을 하게될 경우엔 현오가 이기고도 남을 것이다..그말인데...그리고...현자의 경우엔 외국쪽으로 나가는게 돈벌이에 더 좋을 것으로 보여요 차를 팔면서 진입을 하면 되는데 이 부분에 있어서 현오는 진입하기가 어려워 보여요해외쪽은 현오가 현자를 이길 수 없고 진입을 하기도 어려움이...불가능...쪽으로...너무 앞서가는 생각이어서 요기는 고만~  현오는 사업을 해 나가는데 있어서는 스스로의 노력도 많이 보이는데...시기에 따른 운도 좋은 것으로 생각되요요즘 코로나가 백신을 �麗� 다시 확산..속도도 빨라 보입니다.저와 님들 모두가 주투보다도 자신의 건강을 먼저 보아야 할때인 듯....^^"
3,[제목 : [현대오일뱅크] 전기차시대 오뱅한테 호재 ],https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2022,2021-04-20,는 무슨 백날 주유소에 충전소 설치해봐라 그거 돈되나다들 집밥먹이지 주유소에 앉아서 20분?이고 충전 허것니~~~~내연기관 자동차 조은게~~ 소비자는 5분내 주유완료하고 슝~ 갈수있단~~~더부러 판매자 또한 5분내로 빠른 회전 가능한거지~~~~근데 무ㅓ? 20분?? 누가 20분씩 거기 앉앗나? 전기충전보다 빠른 수소충전소도 보쇼 . 국회압에 가�f는지 모르겟지마는.줄을줄을 어디까지 서있는지.나는~~ 춘천닭갈비집 줄선줄 알앗지모야?
4,"[제목 : [현대오일뱅크] 차·반도체 이어 철강·정유도 반전 시동..韓 기업들, 다시 뛴다 ]",https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2023,2021-04-27,"현대오일 주가도 상승 시도를 해야지  ㅡ.ㅡ주식투자의 달인들은 말한다.남들이 쳐다보지 않는 회사의 주식을 사라.나는 말한다.현대오일의 주식을 사라.전문가들은 말한다멀지않아 현대오일이 업계 1위로 올라서는 것은 어렵지 않을 것.짜잔~~~ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ경기 하강과 코로나19로 움츠러들었던 한국 기업들이 다시 실적 신화를 쓸 채비다. 소재와 중간재, 소비재 기업이 동시에 회복의 신호탄을 올렸다. 완성차와 반도체에 이어 오래 침체됐던 철강·정유·화학사도 바닥을 찍고 올라간다. 기업이 뛰자 1분기 GDP(국내총생산)은 예상을 크게 상회했다.말 그대로 릴레이 실적회복이다. 정유사 첫 타자인 에쓰오일은 27일 실적발표를 통해 1분기 연결 영업이익 6297억원을 기록하며 전년 대비 흑자 전환했다고 밝혔다. 시장 기대치를 두 배 가까이 웃돈 깜짝 실적이다. 당기순이익도 3447억원을 기록하며 흑자로 돌아섰다.같은 날 현대제철은 1분기 3039억원의 영업이익을 신고하며 흑자 전환했다. 앞서 1조5500억원(전년 동기 대비 120% 증가) 분기 영업이익을 발표한 포스코(POSCO)와 함께 철강 양대 대표주자가 모두 완연한 회복세다.철강·정유 상승반전은 산업계가 고대하던 터닝포인트다. 앞서 삼성전자가 1분기 전년 대비 44% 늘어난 무려 9조3000억원의 영업이익을 냈고 현대차는 2016년 이후 최대인 1조6566억원 영업이익을 기록했다. 자동차와 반도체·휴대폰 등 소비재와 중간재가 모두 회복세다.여기에 소재산업 대표 격인 철강과 정유, 화학사들마저 상승기류에 올라타면서 산업계에 반전 분위기가 분명해졌다. 전방산업이 호조를 보이는 만큼 수요가 지속적으로 회복될 가능성이 높다. 수출도 지속적으로 늘어나 이를 뒷받침 할 것으로 예상된다.기업이 다시 뛰기 시작하자 국가 경제 전체에 화색이 돈다. 한국은행은 이날 1분기 GDP가 전분기 대비 1.6% 성장했다고 밝혔다. 2~4분기 호조로 연간 경제성장률이 3.5%에 이를거라는 전망도 내놨다.기다리던 낭보다. 문재인 대통령은 GDP보고 직후 국무회의에서 ""올해 1분기에 이미 코로나 이전 경제수준을 넘어섰다""며 ""한국 경제는 코로나의 어둡고 긴 터널을 벗어나 경제성장의 정상궤도에 올라섰다""고 자평했다.또 다른 의미있는 보고서가 같은 날 나왔다. 대한석유협회는 이날 1분기 한국산 정유제품 수출이 전년 동기 대비 27.4% 줄어든 9094만배럴로 집계됐다고 밝혔다. 2011년 1분기 이후 10년 만에 가장 적은 양이다.정유업계는 오히려 반등의 시그널이라고 본다. 손해를 감수한 억지 밀어내기 수출이 줄어들었다는 의미여서다. 외려 수출채산성은 지난해 1분기 배럴당 -1.8달러에서 올 1분기 9.4달러로 대폭 반등했다. 수출 상승 반전이 예상되는 가운데 수출할 수록 이익이 커지는 구조다.경기선행 지표 격인 항공유 대미 수출량은 1월 123만3000배럴에서 3월 331만5000배럴로 크게 늘었다. 코로나19 백신 접종이 확대되며 경기에 화색이 돌면서다. 미국교통안전청(TSA) 집계 미국 공항 이용객은 1월 2360만명에서 3월 3805만명으로 크게 늘었다.철강사들은 가격 인상에도 불구하고 최근 6월분까지 수출계약을 모두 마무리했다. 없어서 못 팔 판이다. 원자재 수요가 급증하면서 조선업엔 수주대박이 터졌다. 대표선수 격인 한국조선해양은 올 1분기에만 총 69척 55억6800만달러를 수주해 연간 목표의 40%에 근접했다.소재 중심의 산업 호조는 당분간 지속될 전망이다. 연관산업에 지속적인 영향을 미치며 산업 전반이 상승 곡선을 그릴 가능성이 높다. 김영중 포스코 마케팅전략실장은 ""글로벌 철강 제품 공급이 수요를 못 따라가는 상황""이라고 말했다."
5,[제목 : [현대오일뱅크] 오뱅 흑자전환 성공 ],https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2025,2021-04-29," 현대오일뱅 4월 29일 공시1분기 연결 기준영업이익 4128억원의 잠정 집계 매출액은 4조5365억원 전년 동기 대비 2.7% 증가 순이익은 1936억원 집계올해 11월 상업 가동을 목표로 하고 있는 중질유 석유화학 분해시설(HPC)이 완공되면 연간 폴리에틸렌 85만t, 폴리프로필렌 50만t의 생산. HPC 사업 손익은 올해 4분기부터 연결 실적으로 반영 석유화학 사업 실적이 크게 개선될 것으로 기대된다. "
6,[제목 : [현대오일뱅크] 소설 ],https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2027,2021-04-30,
7,[제목 : [현대오일뱅크] 동서남북....사우디가 노다 ],https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2028,2021-04-30,"냅두고요, 너나 잘하세요."
8,"[제목 : [현대오일뱅크] 글로벌 석유메이저들, 유가 반등 힘입어 1분기 흑자 행진 ]",https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2029,2021-05-01," 신종 코로나바이러스 감염증(코로나19) 사태의 충격파에 휘청이던 메이저 석유업체들이 최근 유가 반등에 힘입어 줄줄이 흑자 행진을 벌였다. 엑손모빌은 올해 1분기에 27억달러(약 3조원)의 순이익을 올렸다고 30일(현지시간) 밝혔다. 지난해 내내 이어진 4개 분기 연속 적자를 마감하고 1년 만에 흑자 전환에 성공한 것이다. 엑손모빌은 작년 총 220억달러의 순손실을 내 40여년 만에 첫 연간 적자를 기록한 바 있다. 셰브런도 1분기에 14억달러(약 1조6천억원)의 순이익을 거뒀다고 이날 발표했다. 이는 전년 동기보다 62% 급증한 수치다.앞서 BP, 로열더치셸, 토탈 등 유럽의 대형 석유사들도 모두 순이익을 기록했다고 밝혔다. BP의 순이익은 전년 동기의 3배가 넘었다. 글로벌 정유사들의 실적 개선은 작년 바닥을 쳤던 유가가 올해 들어 빠르게 회복된 덕분이다. 셰브런 주유소 로고 [로이터=연합뉴스 자료사진]월스트리트저널(WSJ)에 따르면 국제 유가가 지난 6개월 동안 거의 80% 가까이 오르면서 엑손모빌과 셰브런, 셸의 합산 주가도 같은 기간 65% 급등했다. 대런 우즈 엑손모빌 최고경영자(CEO)는 WSJ과의 인터뷰에서 ""언젠간 일어날 거라고 예상했던 그런 회복이 우리의 예상보다 빨리 일어났다""며 ""경제가 예상보다 빨리 재개되고 반등하면서 수요가 반응하고 있다""고 말했다. 석유 메이저들은 흑자 전환 또는 순이익 증가에 힘입어 주주들에 대한 배당을 늘리고 있다. 셰브런과 셸은 분기 배당을 각각 4% 늘렸고, BP는 5억달러 상당의 자사주 매입 계획을 밝혔다."
9,[제목 : [현대오일뱅크] 현오를 30년 보유하면 떼돈 벌 것 ],https://www.38.co.kr/html/forum/board/?o=v&code=004050&no=2030,2021-05-01,장외주 보니까....최대 10년정도 되니까 주각 엄청 오르더만~현오같은 겨우 배당금만 해도 무시 못할끼고...30년이전에 이미 상장은 되어 있을터~댁은 그때까지 살아 있을지...걱정도 조금은 되네...긍정적인 마음을 가지면 장수할껴~~~
