date,downturn,k_s - p_s,price_month,kospi_month,경제활동인구,예금수신금리,식료품제조업생산지수,음료제조업생산지수,소비자동향조사,주택매매가격지수,재별 및 상품군별 판매액지수,동행종합지수(2015=100),광공업생산지수(전월비)(%),소매판매액지수(전월비)(%),후행종합지수(2015=100),소비재수입액(전월비)(%),소비자물가지수,농축수산물_물가,기타농산물_물가,내구재_물가,kospi전일대비월평균,전일대비등락률_월평균,kospi거래량_m,한국은행기준금리
2019-11,1,0.2926941702,4888.75,2128.794762,3.7,1.62,110.2,93.2,101.5,90,116,113,0.3,0.3,115.1,-3.3,99.481,92.064,95.365,98.976,0.2133333333,0.01380952381,511316.619,1.25
2019-12,1,0.2926941702,4082,2147.0135,3.7,1.6,111,90.2,101.1,90.3,117.1,113.5,0.7,1.4,115.4,0.9,99.719,93.953,96.1,99.085,5.4855,0.2585,509437.6,1.25
2020-01,1,0.08697033043,3942,2203.4425,3.8,1.54,108.9,97.1,104.7,90.6,113.5,114,0.5,0.3,115.6,-0.8,100.09,95.63,97.59,99.68,-3.933,-0.1745,654803.4,1.25
2020-02,0,-0.1283861352,4240.5,2167.1235,3.3,1.43,102.1,90,97.6,90.9,106.2,113.3,-0.6,-2.8,115.9,-0.6,100.16,94.73,95.82,100.21,-6.6,-0.308,697988.3,1.25
2020-03,1,0.01815126666,3444.772727,1786.746364,3.7,1.27,112.6,92.7,79.9,91.4,105.4,112.3,-0.3,-3.5,116,-2.9,99.94,96.57,93.74,98.77,-10.56227273,-0.4790909091,776864.7727,0.75
2020-04,0,-0.2805445495,4375,1849.589,3.8,1.2,110.1,100.2,72.5,91.6,109.9,111,-1.3,-1.1,116.1,-0.7,99.5,95.78,92.73,99.17,9.646,0.5395,1052256.15,0.75
2020-05,0,-0.2840549049,5418.421053,1965.174211,4.2,1.07,105.9,104.3,79.1,91.7,115,110.4,-2.9,2.7,116.4,2.9,99.44,96.98,94.32,99.57,4.317894737,0.2236842105,852973.5263,0.5
2020-06,1,0.2743421623,4960.227273,2134.696818,4.2,0.89,110,115.8,83.2,92.1,117.3,110.8,-1.9,3.6,116.7,1.2,99.71,97.4,92.6,99.87,3.578636364,0.1922727273,902895.5909,0.5
2020-07,1,0.0004361159416,5078.695652,2195.948696,4.2,0.82,113.8,114,85.5,92.7,110.7,111.1,0.5,0.2,116.9,-0.1,99.63,98.45,93.83,100.59,6.132173913,0.2856521739,820295,0.5
2020-08,1,0.07628944478,5160,2349.873,3.6,0.81,104.8,102,89.3,93.1,114.7,112,3.2,-0.1,117.2,1.7,100.19,103.3,96.18,100.42,3.84,0.1785,882156.25,0.5
