,date,label
0,2021.10.05,1
1,2021.10.07,1
2,2021.10.08,1
3,2021.10.11,1
4,2021.10.13,1
5,2021.10.14,1
6,2021.10.15,1
7,2021.10.18,1
8,2021.10.19,1
9,2021.10.20,1
10,2021.10.21,1
11,2021.10.22,1
12,2021.10.25,1
13,2021.10.26,1
14,2021.10.27,1
15,2021.10.28,1
16,2021.10.29,1
17,2021.10.30,1
18,2021.10.31,1
19,2021.11.01,1
20,2021.11.02,1
21,2021.11.03,1
22,2021.11.04,1
23,2021.11.05,1
24,2021.11.07,1
25,2021.11.08,1
26,2021.11.10,1
27,2021.11.11,1
28,2021.11.15,1
29,2021.11.16,1
30,2021.11.17,1
31,2021.11.18,0
32,2021.11.19,1
33,2021.11.20,1
34,2021.11.21,1
35,2021.11.22,0
36,2021.11.23,0
37,2021.11.24,1
38,2021.11.25,1
39,2021.11.27,1
40,2021.11.28,1
41,2021.11.29,1
42,2021.11.30,1
43,2021.12.01,1
44,2021.12.02,1
45,2021.12.03,1
46,2021.12.04,0
47,2021.12.05,1
48,2021.12.06,0
49,2021.12.07,1
50,2021.12.08,1
51,2021.12.09,1
52,2021.12.10,1
53,2021.12.11,1
54,2021.12.12,1
55,2021.12.13,1
56,2021.12.14,1
57,2021.12.15,1
58,2021.12.17,1
59,2021.12.18,1
60,2021.12.19,1
61,2021.12.20,1
62,2021.12.21,1
63,2021.12.22,1
64,2021.12.23,1
65,2021.12.24,1
66,2021.12.26,1
67,2021.12.27,1
68,2021.12.28,1
69,2021.12.29,1
70,2021.12.30,1
71,2021.12.31,1
72,2022.01.01,1
73,2022.01.02,1
74,2022.01.03,1
75,2022.01.04,1
76,2022.01.05,1
77,2022.01.06,1
78,2022.01.07,1
79,2022.01.09,1
80,2022.01.10,0
81,2022.01.11,0
82,2022.01.12,1
83,2022.01.13,1
84,2022.01.16,1
85,2022.01.17,1
86,2022.01.18,1
87,2022.01.19,1
88,2022.01.20,0
89,2022.01.21,0
90,2022.01.22,1
91,2022.01.23,1
92,2022.01.24,0
93,2022.01.25,1
94,2022.01.26,0
95,2022.01.27,1
96,2022.01.28,1
97,2022.01.29,1
98,2022.01.30,1
99,2022.01.31,1
100,2022.02.01,0
101,2022.02.02,1
102,2022.02.03,1
103,2022.02.04,0
104,2022.02.05,1
105,2022.02.06,1
106,2022.02.07,1
107,2022.02.08,1
108,2022.02.09,1
109,2022.02.10,1
110,2022.02.11,1
111,2022.02.13,1
112,2022.02.14,1
113,2022.02.15,1
114,2022.02.17,1
115,2022.02.19,1
116,2022.02.23,1
117,2022.02.24,0
118,2022.02.27,0
119,2022.02.28,1
120,2022.03.01,0
121,2022.03.02,1
122,2022.03.03,1
123,2022.03.04,0
124,2022.03.05,0
125,2022.03.07,0
126,2022.03.08,0
127,2022.03.09,0
128,2022.03.12,0
129,2022.03.13,0
130,2022.03.14,0
131,2022.03.15,0
132,2022.03.16,1
133,2022.03.17,1
134,2022.03.18,1
135,2022.03.20,0
136,2022.03.21,1
137,2022.03.22,1
138,2022.03.24,1
139,2022.03.25,1
140,2022.03.26,1
141,2022.03.27,1
142,2022.03.28,1
143,2022.03.29,1
144,2022.03.30,1
145,2022.03.31,1
146,2022.04.01,0
147,2022.04.04,1
148,2022.04.05,0
149,2022.04.06,1
150,2022.04.10,1
151,2022.04.11,1
152,2022.04.12,0
153,2022.04.13,1
154,2022.04.14,1
155,2022.04.15,0
156,2022.04.16,0
157,2022.04.17,0
158,2022.04.18,1
159,2022.04.19,0
160,2022.04.20,0
161,2022.04.21,0
162,2022.04.22,0
163,2022.04.25,1
164,2022.04.26,1
165,2022.04.27,0
166,2022.04.28,0
167,2022.04.29,0
168,2022.04.30,1
169,2022.05.02,1
170,2022.05.03,0
171,2022.05.04,0
172,2022.05.05,0
173,2022.05.06,0
174,2022.05.07,0
175,2022.05.08,0
176,2022.05.09,0
177,2022.05.10,0
178,2022.05.11,0
179,2022.05.12,0
180,2022.05.13,1
181,2022.05.16,0
182,2022.05.17,0
183,2022.05.18,0
184,2022.05.19,1
185,2022.05.20,0
186,2022.05.23,0
187,2022.05.25,1
188,2022.05.26,0
189,2022.05.27,0
190,2022.05.28,1
191,2022.05.30,0
192,2022.05.31,1
193,2022.06.02,0
194,2022.06.07,1
195,2022.06.08,1
196,2022.06.09,0
197,2022.06.10,0
198,2022.06.11,1
199,2022.06.13,0
200,2022.06.15,0
201,2022.06.17,0
202,2022.06.18,1
203,2022.06.19,0
204,2022.06.20,0
205,2022.06.21,0
206,2022.06.22,0
207,2022.06.24,0
208,2022.06.27,1
209,2022.06.28,1
210,2022.06.29,1
211,2022.06.30,1
212,2022.07.01,1
213,2022.07.02,0
214,2022.07.04,1
215,2022.07.05,1
216,2022.07.06,0
217,2022.07.07,0
218,2022.07.08,1
219,2022.07.10,1
220,2022.07.11,0
221,2022.07.12,0
222,2022.07.13,1
223,2022.07.14,0
224,2022.07.18,1
225,2022.07.20,0
226,2022.07.21,1
227,2022.07.22,1
228,2022.07.23,1
229,2022.07.24,1
230,2022.07.26,1
231,2022.07.27,1
232,2022.07.28,0
233,2022.07.29,0
234,2022.08.02,0
235,2022.08.03,0
236,2022.08.04,0
237,2022.08.05,0
238,2022.08.07,1
239,2022.08.09,0
240,2022.08.10,0
241,2022.08.11,1
242,2022.08.15,0
243,2022.08.16,0
244,2022.08.17,0
245,2022.08.18,0
246,2022.08.19,0
247,2022.08.21,0
248,2022.08.22,1
249,2022.08.23,0
250,2022.08.24,0
251,2022.08.25,0
252,2022.08.26,1
253,2022.08.28,1
254,2022.08.29,1
255,2022.08.30,1
256,2022.08.31,1
257,2022.09.01,0
258,2022.09.02,0
259,2022.09.03,1
260,2022.09.04,1
261,2022.09.05,1
262,2022.09.06,0
263,2022.09.07,1
264,2022.09.08,1
265,2022.09.09,1
266,2022.09.11,1
267,2022.09.13,1
268,2022.09.14,1
269,2022.09.17,0
270,2022.09.18,0
271,2022.09.19,0
272,2022.09.21,1
273,2022.09.22,1
274,2022.09.23,0
275,2022.09.26,1
276,2022.09.27,0
277,2022.09.29,0
278,2022.09.30,1
